,abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,print_section
0,,https://www.nytimes.com/1967/12/06/archives/amy-vanderbilt-sets-marriage-to-lawyer.html,,,53,The New York Times,[],[],1967-12-06T05:00:00+0000,article,None,Archives,Archives,nyt://article/893f575a-c257-5690-858c-ff0a75ccad2d,0,nyt://article/893f575a-c257-5690-858c-ff0a75ccad2d,Amy Vanderbilt Sets Marriage to Lawyer,1,,Amy Vanderbilt Sets Marriage to Lawyer,,,,,[],,
1,"A high school team outscored the New York Knickerbockers at Madison Square Garden last night. It didn't happen in the same game, of course, but it was embarrassing enough in its implications.  ",https://www.nytimes.com/1967/12/03/archives/lakers-set-back-knicks-by-122106-west-excels-with-24-points-molloy.html,,,269,The New York Times,[],[],1967-12-03T05:00:00+0000,article,None,Archives,Archives,nyt://article/743ff681-7168-5bd5-9e10-3431e2ea2c6c,0,nyt://article/743ff681-7168-5bd5-9e10-3431e2ea2c6c,LAKERS SET BACK KNICKS BY 122-106; West Excels With 24 Points --Molloy Breaks Mark on 107 in School Game Offense Is at Fault LAKERS SET BACK KNICKS BY 122-106 Lakers Make Shots Count Burst Ends Competition ,2,,LAKERS SET BACK KNICKS BY 122-106; West Excels With 24 Points --Molloy Breaks Mark on 107 in School Game Offense Is at Fault LAKERS SET BACK KNICKS BY 122-106 Lakers Make Shots Count Burst Ends Competition ,,,,By Leonard Koppett,"[{'firstname': 'Leonard', 'middlename': None, 'lastname': 'Koppett', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,S
2,"56th drive set; participating agencies, trust funds listed",https://www.nytimes.com/1967/12/03/archives/appeal-for-100-neediest-cases-opens-next-sunday-revelation-for.html,"56th drive set; participating agencies, trust funds listed",,68,The New York Times,[],"[{'name': 'subject', 'value': 'HUNDRED NEEDIEST CASES (A FUND COLLECTED ANNUALLY BY THE NY TIMES FOR 8 BENEVOLENT ORGNS)', 'rank': 1, 'major': 'N'}]",1967-12-03T05:00:00+0000,article,None,Archives,Archives,nyt://article/83deff90-c22a-58ff-bf9e-de736ac162d2,0,nyt://article/83deff90-c22a-58ff-bf9e-de736ac162d2,Appeal for 100 Neediest Cases Opens Next Sunday; 'Revelation' for Readers Names Are Omitted All Money Goes to Fund Teacher's Bequest,,,Appeal for 100 Neediest Cases Opens Next Sunday; 'Revelation' for Readers Names Are Omitted All Money Goes to Fund Teacher's Bequest,,,,,[],,
3,"his collection of antique porcelain and furniture to be auctioned, NYC, to pay judgment against him by aircraft co; Guest illus with wife",https://www.nytimes.com/1967/12/01/archives/winston-guest-to-sell-500000-in-antiques-at-auction-tomorrow.html,"his collection of antique porcelain and furniture to be auctioned, NYC, to pay judgment against him by aircraft co; Guest illus with wife",,41,The New York Times,[],"[{'name': 'persons', 'value': 'GUEST, WINSTON FREDERICK CHURCHILL', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'ANTIQUES', 'rank': 2, 'major': 'N'}]",1967-12-01T05:00:00+0000,article,None,Archives,Archives,nyt://article/ec4184b5-e8ac-5d2a-b415-735774657a32,0,nyt://article/ec4184b5-e8ac-5d2a-b415-735774657a32,"Winston Guest to Sell $500,000 in Antiques at Auction Tomorrow; Invested in Airlines",,,"Winston Guest to Sell $500,000 in Antiques at Auction Tomorrow; Invested in Airlines",,,,By Marylin Benderthe New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
4,,https://www.nytimes.com/1967/11/29/archives/obituary-7-no-title.html,,,47,The New York Times,[],[],1967-11-29T05:00:00+0000,article,None,Archives,Archives,nyt://article/0c8623be-0fa5-5ceb-8e53-b82f850e3aa1,0,nyt://article/0c8623be-0fa5-5ceb-8e53-b82f850e3aa1,Obituary 7 -- No Title,1,,Obituary 7 -- No Title,,,,,[],,
5,,https://www.nytimes.com/1967/11/26/archives/obituary-1-no-title.html,,,85,The New York Times,[],[],1967-11-26T05:00:00+0000,article,None,Archives,Archives,nyt://article/fb46354d-721f-5231-a392-4f9df657437b,0,nyt://article/fb46354d-721f-5231-a392-4f9df657437b,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],,
6,"PELHAM MANOR, N.Y., Nov. 25--Our Lady of Perpetual Help Roman Catholic Church was the setting here this afternoon for the marriage of Miss Dolores Lane Cox, daughter of Mr. and Mrs. Francis Milnor Cox Jr. of Pelham Manor...  ",https://www.nytimes.com/1967/11/26/archives/nuptials-for-miss-dolores-lane-cox.html,,,93,The New York Times,[],[],1967-11-26T05:00:00+0000,article,None,Archives,Archives,nyt://article/0d69d410-57c4-5735-8153-7b8ea986262f,0,nyt://article/0d69d410-57c4-5735-8153-7b8ea986262f,Nuptials for Miss Dolores Lane Cox,1,,Nuptials for Miss Dolores Lane Cox,,,,Special to The New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
7,"LAUREL, Md., Nov. 23 (UPI) --Dancer's Image, the odds-on favorite, outraced Martin's Jig and Sky Sailor today to win the $23,000 added Maryland Futurity at Laurel Race Course.  ",https://www.nytimes.com/1967/11/24/archives/dancers-image-wins-at-laurel-favorite-beats-martins-jig-and-returns.html,,,64,The New York Times,[],[],1967-11-24T05:00:00+0000,article,None,Archives,Archives,nyt://article/d8a990d2-4be2-53ca-b21f-46a724177063,0,nyt://article/d8a990d2-4be2-53ca-b21f-46a724177063,DANCER'S IMAGE WINS AT LAUREL; Favorite Beats Martins Jig and Returns $3.80 for $2,1,,DANCER'S IMAGE WINS AT LAUREL; Favorite Beats Martins Jig and Returns $3.80 for $2,,,,,[],,S
8,"Bush, (Mrs) Frances C",https://www.nytimes.com/1967/11/23/archives/obituary-3-no-title.html,"Bush, (Mrs) Frances C",,33,The New York Times,[],"[{'name': 'persons', 'value': 'BUSH, FRANCES C', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'DEATHS', 'rank': 2, 'major': 'N'}]",1967-11-23T05:00:00+0000,article,None,Archives,Archives,nyt://article/fac9555c-2542-51e7-b0ba-cf7df9337fbc,0,nyt://article/fac9555c-2542-51e7-b0ba-cf7df9337fbc,Obituary 3 -- No Title,,,Obituary 3 -- No Title,,,,,[],,
9,"Lillie, Amy Morris",https://www.nytimes.com/1967/11/23/archives/amy-morris-lillie-childrens-author.html,"Lillie, Amy Morris",,33,The New York Times,[],"[{'name': 'persons', 'value': 'LILLIE, AMY MORRIS', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'DEATHS', 'rank': 2, 'major': 'N'}]",1967-11-23T05:00:00+0000,article,None,Archives,Archives,nyt://article/2f5db38f-4b58-5d51-8fa7-5bc246223527,0,nyt://article/2f5db38f-4b58-5d51-8fa7-5bc246223527,"AMY MORRIS LILLIE, CHILDREN'S AUTHOR",,,"AMY MORRIS LILLIE, CHILDREN'S AUTHOR",,,,Special to The New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
