,abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization
0,,https://www.nytimes.com/1968/11/17/archives/amy-bell-engaged-to-william-m-yates.html,,,99,The New York Times,[],[],1968-11-17T05:00:00+0000,article,None,Archives,Archives,nyt://article/5dfced22-f0cf-5037-85e2-24a63b233844,0,nyt://article/5dfced22-f0cf-5037-85e2-24a63b233844,Amy Bell Engaged to William M. Yates,1,,Amy Bell Engaged to William M. Yates,,,,Special to The New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
1,,https://www.nytimes.com/1968/11/17/archives/amy-beth-ziegler-is-married-here.html,,,90,The New York Times,[],[],1968-11-17T05:00:00+0000,article,None,Archives,Archives,nyt://article/449b7bd9-6fd4-56e3-be8f-2ebd259b8eec,0,nyt://article/449b7bd9-6fd4-56e3-be8f-2ebd259b8eec,Amy Beth Ziegler Is Married Here,1,,Amy Beth Ziegler Is Married Here,,,,,[],
2,,https://www.nytimes.com/1968/11/17/archives/obituary-1-no-title.html,,,86,The New York Times,[],[],1968-11-17T05:00:00+0000,article,None,Archives,Archives,nyt://article/cea4158b-11b6-5957-84bc-1448e70aec5f,0,nyt://article/cea4158b-11b6-5957-84bc-1448e70aec5f,Obituary 1 -- No Title,2,,Obituary 1 -- No Title,,,,,[],
3,"Libich, Jean",https://www.nytimes.com/1968/11/13/archives/jean-libich-is-dead-a-government-aide.html,"Libich, Jean",,47,The New York Times,[],"[{'name': 'persons', 'value': 'LIBICH, JEAN', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'DEATHS', 'rank': 2, 'major': 'N'}]",1968-11-13T05:00:00+0000,article,None,Archives,Archives,nyt://article/0c9229f1-1327-5118-ad92-5b8b66dc01cd,0,nyt://article/0c9229f1-1327-5118-ad92-5b8b66dc01cd,JEAN LIBICH IS DEAD A GOVERNMENT AIDE,,,JEAN LIBICH IS DEAD A GOVERNMENT AIDE,,,,,[],
4,,https://www.nytimes.com/1968/11/11/archives/obituary-1-no-title.html,,,47,The New York Times,[],[],1968-11-11T05:00:00+0000,article,None,Archives,Archives,nyt://article/a857ee4b-8f66-518a-8cc7-d21e65f7fbda,0,nyt://article/a857ee4b-8f66-518a-8cc7-d21e65f7fbda,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],
5,K Kusner hurt in spill during internatl jumping competition won by R Fernandez,https://www.nytimes.com/1968/11/11/archives/kathy-kusner-hurt-in-spill-at-show-right-leg-injured-as-mount-falls.html,K Kusner hurt in spill during internatl jumping competition won by R Fernandez,,72,The New York Times,[],"[{'name': 'subject', 'value': 'HORSE SHOWS', 'rank': 1, 'major': 'N'}]",1968-11-11T05:00:00+0000,article,None,Archives,Archives,nyt://article/43506763-fd2d-50a1-a1a4-5f8168cc633e,0,nyt://article/43506763-fd2d-50a1-a1a4-5f8168cc633e,"Kathy Kusner Hurt in Spill at Show; RIGHT LEG INJURED AS MOUNT FALLS Australian, Brazilian Riders Win -- Brooke Hodgson Takes Maclay Trophy",,,"Kathy Kusner Hurt in Spill at Show; RIGHT LEG INJURED AS MOUNT FALLS Australian, Brazilian Riders Win -- Brooke Hodgson Takes Maclay Trophy",,,,By Michael Strauss,"[{'firstname': 'Michael', 'middlename': None, 'lastname': 'Strauss', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
6,"HR tallies; Madden, Brademas, Bray, Myers, Zion, Hamilton, Jacobs also re-elected; Landgrebe, Dennis elected",https://www.nytimes.com/1968/11/10/archives/obituary-1-no-title.html,"HR tallies; Madden, Brademas, Bray, Myers, Zion, Hamilton, Jacobs also re-elected; Landgrebe, Dennis elected",,89,The New York Times,[],"[{'name': 'glocations', 'value': 'Indiana', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Elections', 'rank': 2, 'major': 'N'}]",1968-11-10T05:00:00+0000,article,None,Archives,Archives,nyt://article/e7fec718-7a65-56c0-9556-9524fc4e3d19,0,nyt://article/e7fec718-7a65-56c0-9556-9524fc4e3d19,Obituary 1 -- No Title,,,Obituary 1 -- No Title,,,,,[],
7,,https://www.nytimes.com/1968/11/10/archives/judith-amy-claytor-a-student-married-to-edward-williams.html,,,92,The New York Times,[],[],1968-11-10T05:00:00+0000,article,None,Archives,Archives,nyt://article/093dfc42-74e1-58e8-8a90-2477988e1115,0,nyt://article/093dfc42-74e1-58e8-8a90-2477988e1115,"Judith Amy Claytor, a Student, Married to Edward Williams",1,,"Judith Amy Claytor, a Student, Married to Edward Williams",,,,Special to The New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
8,,https://www.nytimes.com/1968/11/09/archives/obituary-1-no-title.html,,,33,The New York Times,[],[],1968-11-09T05:00:00+0000,article,None,Archives,Archives,nyt://article/10c177d2-c6fd-5f6c-91ff-87f673e0500d,0,nyt://article/10c177d2-c6fd-5f6c-91ff-87f673e0500d,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],
9,"Kubie, Donald A",https://www.nytimes.com/1968/11/08/archives/donald-a-kubie-48-beauty-chain-aide.html,"Kubie, Donald A",,47,The New York Times,[],"[{'name': 'persons', 'value': 'KUBIE, DONALD A', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'DEATHS', 'rank': 2, 'major': 'N'}]",1968-11-08T05:00:00+0000,article,None,Archives,Archives,nyt://article/2e75f416-082d-5476-b0a7-4d27168af6fc,0,nyt://article/2e75f416-082d-5476-b0a7-4d27168af6fc,"DONALD A. KUBIE, 48, BEAUTY CHAIN AIDE",,,"DONALD A. KUBIE, 48, BEAUTY CHAIN AIDE",,,,,[],
