,abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,print_section,print_page,subsection_name
0,THEATER.,https://www.nytimes.com/2007/06/15/theater/15wtheater.html,THEATER.,"Approximate running times are in parentheses. Theaters are in Manhattan unless otherwise noted. Full reviews of current shows, additional listings, show times and tickets: nytimes.com/theater.",The New York Times,[],"[{'name': 'subject', 'value': 'Theater', 'rank': 1, 'major': 'N'}]",2007-06-15T04:00:00+0000,article,Weekend,Theater,Schedule,nyt://article/f577c8fc-9afd-5900-af90-4c6055af2f20,3650,nyt://article/f577c8fc-9afd-5900-af90-4c6055af2f20,Theater Listings,,,,,,,By The New York Times,[],The New York Times,,,
1,POP.,https://www.nytimes.com/2007/06/15/arts/music/15pop.html,POP.,POP,The New York Times,[],[],2007-06-15T04:00:00+0000,article,Weekend,Arts,Schedule,nyt://article/4271fa10-a108-5891-a643-c3d93db2ea67,2363,nyt://article/4271fa10-a108-5891-a643-c3d93db2ea67,Pop and Rock Listings,,,,,,,By The New York Times,[],The New York Times,E,23,Music
2,THEATER.,https://www.nytimes.com/2007/06/10/theater/08wtheater.html,THEATER.,"SKETCHFEST NYC Since the first SketchFest in Seattle eight years ago, sketch comedy festivals have been popping up in cities from Los Angeles to Toronto. New York has plenty of cutups too, and it joined the fun two years ago with Sketchfest NYC, an annual event taking place this weekend. “The goal is to make people realize what sketch comedy is,” said Alexander Zalben, a producer of Sketchfest NYC. “It’s not just people in their fraternities putting on funny skits about their professors.” Unlike improvisation or standup comedy, sketch consists of short written scenes rehearsed in advance. (Think of “Saturday Night Live.”) The content may be funny, but Mr. Zalben and his co-producers, Keith Michel, Becky Poole and Elizabeth Ellis, are serious about this type of humor. “We weren’t going to aim for being the biggest,” Mr. Zalben said. “It’s more important to aim for a consistent level of quality.” Instead of opening the festival to all performers, the producers watched more than 100 live-performance tapes, and chose 21 groups for the festival. ",The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/06/08/theater/Meat600.jpg', 'height': 367, 'width': 600, 'legacy': {'xlarge': 'images/2007/06/08/theater/Meat600.jpg', 'xlargewidth': 600, 'xlargeheight': 367}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/06/08/theater/Meat600.jpg', 'height': 367, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}]","[{'name': 'subject', 'value': 'Theater', 'rank': 1, 'major': 'N'}]",2007-06-10T04:00:00+0000,article,Weekend,Theater,News,nyt://article/65d2480e-c4e9-596e-b483-12bc2170a2f6,4376,nyt://article/65d2480e-c4e9-596e-b483-12bc2170a2f6,Theater Listings,,,,,,,By The New York Times,[],The New York Times,,,
3,POP.,https://www.nytimes.com/2007/06/08/arts/music/08pop.html,POP.,POP,The New York Times,[],[],2007-06-08T04:00:00+0000,article,Weekend,Arts,News,nyt://article/69470930-0ebf-5842-ae37-d7a57fe6295b,2195,nyt://article/69470930-0ebf-5842-ae37-d7a57fe6295b,Pop and Rock Listings,,,,,,,By The New York Times,[],The New York Times,E,4,Music
4,Neil LaBute’s “Things We Said Today” is the most skillful entry in the first evening of the Ensemble Studio Theater’s annual two-part marathon of short plays.,https://www.nytimes.com/2007/06/05/theater/reviews/05ishe.html,Neil LaBute’s “Things We Said Today” is the most skillful entry in the first evening of the Ensemble Studio Theater’s annual two-part marathon of short plays.,Gasp!,The New York Times,"[{'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/06/05/arts/Mara190.jpg', 'height': 239, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}]","[{'name': 'persons', 'value': 'Macleod, Wendy', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Delany, Dana', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'ARONSON, BILLY', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Cho, Julia', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'LaBute, Neil', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Theater', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'McCarthy, Andrew', 'rank': 7, 'major': 'N'}, {'name': 'organizations', 'value': 'Ensemble Studio Theater', 'rank': 8, 'major': 'N'}, {'name': 'persons', 'value': 'Slezak, Victor', 'rank': 9, 'major': 'N'}]",2007-06-05T04:00:00+0000,article,Culture,Theater,Review,nyt://article/73c1ba23-cd20-5721-b005-47217f6341a9,1241,nyt://article/73c1ba23-cd20-5721-b005-47217f6341a9,Sinister Cellphone Brings Marital Pot to Bloody Boil,"Theater Review | Marathon 2007, Series A",,Sinister Cellphone Brings Marital Pot to Bloody Boil,,,,By Charles Isherwood,"[{'firstname': 'Charles', 'middlename': None, 'lastname': 'Isherwood', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,E,5,Theater Reviews
5,POP.,https://www.nytimes.com/2007/06/01/arts/music/01pop.html,POP.,POP,The New York Times,[],[],2007-06-01T04:00:00+0000,article,Weekend,Arts,News,nyt://article/44466617-23a1-5dfc-8211-ce6c024a98a4,2611,nyt://article/44466617-23a1-5dfc-8211-ce6c024a98a4,Pop and Rock Listings,,,,,,,By The New York Times,[],The New York Times,E,19,Music
6,Female solidarity — or the lack of it — seems to be a popular theme on television this summer.,https://www.nytimes.com/2007/05/31/arts/television/31watc.html,Female solidarity — or the lack of it — seems to be a popular theme on television this summer.," Feminism didn’t bridge the divide between men and women, it broke the barriers separating best friends. ",The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/05/31/arts/Starter650.jpg', 'height': 432, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/05/31/arts/Starter190.jpg', 'height': 136, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}]","[{'name': 'organizations', 'value': 'Lifetime Television', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'CBS Corp', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Showtime', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'ABC INC', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Television', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Women', 'rank': 6, 'major': 'N'}, {'name': 'organizations', 'value': 'Home Box Office', 'rank': 7, 'major': 'N'}]",2007-05-31T04:00:00+0000,article,Culture,Arts,News,nyt://article/1817bc83-4f71-5dcd-b6a4-279c5eeba48c,1007,nyt://article/1817bc83-4f71-5dcd-b6a4-279c5eeba48c,Social Climbing to Starting Over: A First Wife’s Lot,The TV Watch,,Social Climbing to Starting Over: A First Wife’s Lot,,,,By Alessandra Stanley,"[{'firstname': 'Alessandra', 'middlename': None, 'lastname': 'Stanley', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,E,1,Television
7,OTTAWA — A recent series of acquisitions of Canadian corporations has prompted a growing public debate over foreign control.,https://www.nytimes.com/2007/05/29/business/worldbusiness/29iht-deal.4.5915316.html,,OTTAWA — A recent series of acquisitions of Canadian corporations has prompted a growing public debate over foreign control.,International Herald Tribune,[],[],2007-05-29T05:00:00+0000,article,IHT News,Business Day,News,nyt://article/e622259f-5293-51de-ae84-815d8b6889e6,538,nyt://article/e622259f-5293-51de-ae84-815d8b6889e6,Doubts grow in Canada about foreign takeovers,,,Doubts grow in Canada about foreign takeovers,,,,By Ian Austen,"[{'firstname': 'Ian', 'middlename': None, 'lastname': 'Austen', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,International Business
8,A recent series of acquisitions of Canadian corporations has prompted a growing public debate over foreign control.,https://www.nytimes.com/2007/05/29/business/worldbusiness/29canada.html,A recent series of acquisitions of Canadian corporations has prompted a growing public debate over foreign control.,"OTTAWA, May 28  A recent series of acquisitions of Canadian corporations has prompted a growing public debate over foreign control. ",The New York Times,[],"[{'name': 'subject', 'value': 'Mergers, Acquisitions and Divestitures', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Foreign Investments', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'ALCAN ALUMINIUM LTD', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'Canada', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'ALCOA INCORPORATED', 'rank': 6, 'major': 'N'}]",2007-05-29T04:00:00+0000,article,Business,Business Day,News,nyt://article/72e28ce6-ab41-5576-8c50-bd46cb80141f,559,nyt://article/72e28ce6-ab41-5576-8c50-bd46cb80141f,"In Canada, Fretting Over Foreign Takeovers",,,"In Canada, Fretting Over Foreign Takeovers",,,,By Ian Austen,"[{'firstname': 'Ian', 'middlename': None, 'lastname': 'Austen', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,C,3,World Business
9,POP.,https://www.nytimes.com/2007/05/25/arts/music/25pop.html,POP.,POP,The New York Times,[],[],2007-05-25T04:00:00+0000,article,Weekend,Arts,News,nyt://article/65ec778c-b3fd-5f94-8284-be3307457bfe,1983,nyt://article/65ec778c-b3fd-5f94-8284-be3307457bfe,Pop and Rock Listings,,,,,,,,[],,E,18,Music
