,abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,subsection_name
0,Jayne Sandman and Barbara Martin produce events that draw a good crowd and take advantage of the heightened profile the Obama administration has brought to Washington.,https://www.nytimes.com/2010/12/26/fashion/26DCgirls.html,Jayne Sandman and Barbara Martin produce events that draw a good crowd and take advantage of the heightened profile the Obama administration has brought to Washington.,"“HAVE you met everyone you want to meet?” Jayne Sandman, flame haired and voluptuous, her pregnant belly layered with gossamer-thin tea-rose silk chiffon, asked her guests. “Is there anyone you need to meet?” echoed Barbara Martin, in a black silk dress adorned with metal chains, accessorized otherwise with a steady stream of acerbic commentary.",ST,1,The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/12/26/fashion/26dcgirls-span/26dcgirls-span-articleLarge.jpg', 'height': 356, 'width': 600, 'legacy': {'xlarge': 'images/2010/12/26/fashion/26dcgirls-span/26dcgirls-span-articleLarge.jpg', 'xlargewidth': 600, 'xlargeheight': 356}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/12/26/fashion/26dcgirls-span/DCGIRLS-jumbo.jpg', 'height': 682, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/12/26/fashion/26dcgirls-span/DCGIRLS-popup.jpg', 'height': 433, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/12/26/fashion/26dcgirls-span/26dcgirls-span-sfSpan.jpg', 'height': 239, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/12/26/fashion/26dcgirls-span/26dcgirls-span-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/12/26/fashion/26dcgirls-span/26dcgirls-span-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'glocations', 'value': 'Washington (DC)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Parties (Social)', 'rank': 2, 'major': 'N'}]",2010-12-23T23:42:56+0000,article,Styles,Fashion & Style,News,nyt://article/577ffdf3-aab6-5777-867b-6a4ff2312cf7,1304,nyt://article/577ffdf3-aab6-5777-867b-6a4ff2312cf7,Stars of the See-and-Be-Seen Upend Washington,,,"Titans in Party Dresses: In staging the see-and-be-seen,
two public-relations partners
are upending Washington.",,,,By Sarah Wildman,"[{'firstname': 'Sarah', 'middlename': None, 'lastname': 'Wildman', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
1,Vice President Joseph R. Biden Jr. discusses a myriad of foreign and domestic issues and Justice Elena Kagan breaks her silence.,https://thecaucus.blogs.nytimes.com/2010/12/19/sunday-breakfast-menu-dec-19/,Vice President Joseph R. Biden Jr. discusses a myriad of foreign and domestic issues and Justice Elena Kagan breaks her silence.,Vice President Joseph R. Biden Jr. tops the Sunday talk show lineup this weekend as Congress wraps up the lame-duck session.,,,The New York Times,[],[],2010-12-19T05:55:45+0000,article,,U.S.,,nyt://article/cdf83bb9-a8df-5a7d-8f9d-0100d854c96e,458,nyt://article/cdf83bb9-a8df-5a7d-8f9d-0100d854c96e,"Sunday Breakfast Menu, Dec. 19",The Caucus,,,,,,By Ashley Southall,"[{'firstname': 'Ashley', 'middlename': None, 'lastname': 'Southall', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Politics
2,"For a hint of how the next Congress will act, follow the paths of two prominent women of the House.",https://opinionator.blogs.nytimes.com/2010/11/05/the-pelosi-bachmann-conundrum/,"For a hint of how the next Congress will act, follow the paths of two prominent women of the House.","While the results of Tuesday’s midterm election are mostly clear — thanks, Washington State, Connecticut and Illinois for beating my deadline; still waiting on you, Alaska  and  Minnesota — there are plenty of questions about the future.",,,The New York Times,[],"[{'name': 'subject', 'value': 'Elections', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Tea Party Movement', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Bachmann, Michele M', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Boehner, John A', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Matthews, Chris', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Pelosi, Nancy', 'rank': 7, 'major': 'N'}, {'name': 'organizations', 'value': 'Democratic Blue Dog Coalition', 'rank': 8, 'major': 'N'}, {'name': 'organizations', 'value': 'Democratic Party', 'rank': 9, 'major': 'N'}, {'name': 'organizations', 'value': 'House of Representatives', 'rank': 10, 'major': 'N'}, {'name': 'organizations', 'value': 'Republican Party', 'rank': 11, 'major': 'N'}, {'name': 'glocations', 'value': 'Minnesota', 'rank': 12, 'major': 'N'}]",2010-11-05T23:37:51+0000,article,,Opinion,,nyt://article/d4682adf-c705-5ac6-96fe-8cfca91cf605,2502,nyt://article/d4682adf-c705-5ac6-96fe-8cfca91cf605,The Pelosi-Bachmann Conundrum,The Thread,,,,,,By Tobin Harshaw,"[{'firstname': 'Tobin', 'middlename': None, 'lastname': 'Harshaw', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
3,The architects of both party’s election strategies offer last-minute messages on Sunday’s political talk shows.,https://thecaucus.blogs.nytimes.com/2010/10/30/sunday-breakfast-menu-oct-31/,The architects of both party’s election strategies offer last-minute messages on Sunday’s political talk shows.,"Two days before voters head to the polls, the architects of Republican and Democratic election strategies offer last-minute messages on Sunday’s political talk shows.",,,The New York Times,[],[],2010-10-30T21:52:18+0000,article,,U.S.,,nyt://article/ad232fd2-0ede-5af3-a93c-651fe6a89185,244,nyt://article/ad232fd2-0ede-5af3-a93c-651fe6a89185,"Sunday Breakfast Menu, Oct. 31",The Caucus,,,,,,By Janie Lorber,"[{'firstname': 'Janie', 'middlename': None, 'lastname': 'Lorber', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Politics
4,It’s becoming increasingly clear that body scanners will soon be a standard part of the air travel experience.,https://www.nytimes.com/2010/07/20/business/20road.html,It’s becoming increasingly clear that body scanners will soon be a standard part of the air travel experience.,YOU may think of this as the summer of the heat wave. I prefer to think of it as the summer of the body scanner.,B,5,The New York Times,"[{'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/07/20/business/20Road/20Road-articleInline.jpg', 'height': 225, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/07/20/business/20Road/20Road-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/07/20/business/20Road/20Road-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Scanning Devices', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Security and Warning Systems', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'AIRLINES AND AIRPLANES', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'AIRPORTS', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Transportation Security Administration', 'rank': 5, 'major': 'N'}]",2010-07-19T23:25:15+0000,article,Business,Business Day,News,nyt://article/12536f9b-5835-5a53-89ab-e589c22f09c0,749,nyt://article/12536f9b-5835-5a53-89ab-e589c22f09c0,Annoyances Mount Over the Body Scanner,On the Road,,Annoyances Mount Over the Body Scanner,,,,By Joe Sharkey,"[{'firstname': 'Joe', 'middlename': None, 'lastname': 'Sharkey', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
5,President Obama will also discuss job creation and clean energy with Bill Clinton and business leaders on Wednesday.,https://thecaucus.blogs.nytimes.com/2010/07/14/senate-democrats-and-president-draw-energy-roadmap/,President Obama will also discuss job creation and clean energy with Bill Clinton and business leaders on Wednesday.,"President Obama has invited select Democratic senators to join him for lunch at the White House on Wednesday to talk about energy legislation as he and Senate Democrats resolve to make a strong push to pass a bill before the August recess, according to an official briefed on the situation.",,,The New York Times,[],[],2010-07-14T14:58:33+0000,article,National,U.S.,,nyt://article/1c8b98fd-1fee-57bc-a053-b6ebfd1f0064,394,nyt://article/1c8b98fd-1fee-57bc-a053-b6ebfd1f0064,Senate Democrats and President Draw Energy Road Map,The Caucus,,,,,,By Peter Baker,"[{'firstname': 'Peter', 'middlename': None, 'lastname': 'Baker', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Politics
6,Questions by members of both parties paint a Congress that seems to want the Supreme Court to save it from any senseless laws it might pass.,https://www.nytimes.com/2010/07/02/us/politics/02assess.html,Questions by members of both parties paint a Congress that seems to want the Supreme Court to save it from any senseless laws it might pass.,WASHINGTON  Supreme Court confirmation hearings are usually designed to probe a nominee’s conception of the role of the justices. But this week’s questioning of Elena Kagan turned into a tutorial on Congressional responsibility.,A,16,The New York Times,[],"[{'name': 'organizations', 'value': 'Senate', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'House of Representatives', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'Supreme Court', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Kagan, Elena', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Law and Legislation', 'rank': 6, 'major': 'N'}]",2010-07-01T22:36:44+0000,article,National,U.S.,News Analysis,nyt://article/0e34f329-3f02-54dd-86a1-0f98fa2dff29,948,nyt://article/0e34f329-3f02-54dd-86a1-0f98fa2dff29,Kagan Reminds Senators: Legislation Is Your Job,News Analysis,,"Kagan Reminds Senators, Legislation Is Your Job",,,,By Adam Liptak,"[{'firstname': 'Adam', 'middlename': None, 'lastname': 'Liptak', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Politics
7,Pressure rose on Solicitor General Elena Kagan at her Supreme Court confirmation hearing to defend her decisions on abortion and gays in the military.,https://www.nytimes.com/2010/07/01/us/01kagan.html,Pressure rose on Solicitor General Elena Kagan at her Supreme Court confirmation hearing to defend her decisions on abortion and gays in the military.,"WASHINGTON  They grilled her on her handling of military recruitment at Harvard Law School. They highlighted how, as an aide to President Bill Clinton, she helped edit a medical group’s statement to strengthen support for the procedure critics call partial-birth abortion.",A,19,The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/07/01/us/01kagan-cnd/01kagan-cnd-popup.jpg', 'height': 437, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/07/01/us/01kagan-cnd/01kagan-cnd-articleInline.jpg', 'height': 128, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/07/01/us/01kagan-cnd/01kagan-cnd-sfSpan.jpg', 'height': 265, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/07/01/us/01kagan-cnd/01kagan-cnd-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/07/01/us/01kagan-cnd/01kagan-cnd-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'organizations', 'value': 'Senate Committee on the Judiciary', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Republican Party', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Supreme Court', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Kagan, Elena', 'rank': 5, 'major': 'N'}]",2010-06-30T19:03:38+0000,article,National,U.S.,News,nyt://article/bd4bc1cd-7cbc-525e-a65c-76c6b338e331,1084,nyt://article/bd4bc1cd-7cbc-525e-a65c-76c6b338e331,Republicans Press Kagan on Social Issues,,,"In 2nd Day of Quizzing, Kagan Sticks to Script",,,,By Sheryl Gay Stolberg and Charlie Savage,"[{'firstname': 'Sheryl', 'middlename': 'Gay', 'lastname': 'Stolberg', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'Charlie', 'middlename': None, 'lastname': 'Savage', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}]",,
8,How crucial is the “Twilight” phenomenon to the cultural fabric of America? Enough that one’s opinion on it is apparently worth knowing before determining whether she should sit on the highest court in the land.,https://thecaucus.blogs.nytimes.com/2010/06/30/kagan-recuses-herself-from-vampire-v-werewolf/,How crucial is the “Twilight” phenomenon to the cultural fabric of America? Enough that one’s opinion on it is apparently worth knowing before determining whether she should sit on the highest court in the land.,"How crucial is the “Twilight” phenomenon to the cultural fabric of America? Enough that one’s opinion on it is apparently worth knowing before determining whether she should sit on the highest court in the land. During her Supreme Court confirmation hearing on Wednesday, Solicitor General Elena Kagan was jokingly asked by Senator Amy Klobuchar, Democrat of Minnesota, for her thoughts on a particularly pressing issue. Dave Itzkoff has more on ArtsBeat…",,,The New York Times,[],[],2010-06-30T17:19:03+0000,article,National,U.S.,,nyt://article/c1543220-054a-5c7b-a642-8dd8fb383ce9,71,nyt://article/c1543220-054a-5c7b-a642-8dd8fb383ce9,Kagan Recuses Herself From Vampire vs. Werewolf,,,,,,,By The New York Times,[],The New York Times,Politics
9,Is Elena Kagan on Team Edward or Team Jacob?,https://artsbeat.blogs.nytimes.com/2010/06/30/kagan-recuses-herself-from-vampire-v-werewolf/,Is Elena Kagan on Team Edward or Team Jacob?,How crucial is the “Twilight” phenomenon to the cultural fabric of America? Enough that one’s opinion on it is apparently worth knowing before determining whether she should sit on the highest court in the land.,,,The New York Times,[],[],2010-06-30T17:08:05+0000,article,Culture,Arts,News,nyt://article/b0d95a65-7c8d-5d7c-83b5-ac3986e7dd7c,192,nyt://article/b0d95a65-7c8d-5d7c-83b5-ac3986e7dd7c,Kagan Recuses Herself From Vampire v. Werewolf,ArtsBeat,,,,,,By Dave Itzkoff,"[{'firstname': 'Dave', 'middlename': None, 'lastname': 'Itzkoff', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
