,abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization
0,"PHILADELPHIA, Nov. 29 -- Army men around the world slept soundly tonight. Their future four-star generals beat Navy in football today, 27-0.  ",https://www.nytimes.com/1969/11/30/archives/army-defeats-navy-270-as-moore-tallies-twice-moore-gains-206-yards.html,,,SPORTSS,1,The New York Times,[],[],1969-11-30T05:00:00+0000,article,None,Archives,Archives,nyt://article/61802181-c8d9-5037-a254-b822aad906cf,0,nyt://article/61802181-c8d9-5037-a254-b822aad906cf,"ARMY DEFEATS NAVY, 27-0, AS MOORE TALLIES TWICE; Moore Gains 206 Yards In 40 Carries for Cadets",2,,"ARMY DEFEATS NAVY, 27-0, AS MOORE TALLIES TWICE; Moore Gains 206 Yards In 40 Carries for Cadets",,,,BY Neil Amdur,"[{'firstname': 'Neil', 'middlename': None, 'lastname': 'Amdur', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
1,,https://www.nytimes.com/1969/11/30/archives/mary-mae-miner-is-bride-of-lieut-robert-c-rude.html,,,,93,The New York Times,[],[],1969-11-30T05:00:00+0000,article,None,Archives,Archives,nyt://article/b8b3aad5-7913-52f7-bb02-d539d1f38648,0,nyt://article/b8b3aad5-7913-52f7-bb02-d539d1f38648,Mary Mae Miner Is Bride Of Lieut. Robert C. Rude,1,,Mary Mae Miner Is Bride Of Lieut. Robert C. Rude,,,,Special to The New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
2,,https://www.nytimes.com/1969/11/29/archives/obituary-1-no-title.html,,,,33,The New York Times,[],[],1969-11-29T05:00:00+0000,article,None,Archives,Archives,nyt://article/ef3797a5-7bee-5d88-8698-83623e994c0a,0,nyt://article/ef3797a5-7bee-5d88-8698-83623e994c0a,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],
3,,https://www.nytimes.com/1969/11/28/archives/obituary-1-no-title.html,,,,39,The New York Times,[],[],1969-11-28T05:00:00+0000,article,None,Archives,Archives,nyt://article/bab2df0f-2159-5d48-be49-eaceb56b37d1,0,nyt://article/bab2df0f-2159-5d48-be49-eaceb56b37d1,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],
4,,https://www.nytimes.com/1969/11/27/archives/obituary-1-no-title.html,,,,29,The New York Times,[],[],1969-11-27T05:00:00+0000,article,None,Archives,Archives,nyt://article/8ee87ca3-d8bf-55d8-ab0d-dc1cc5b8cf83,0,nyt://article/8ee87ca3-d8bf-55d8-ab0d-dc1cc5b8cf83,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],
5,,https://www.nytimes.com/1969/11/24/archives/julius-rosen-50-developer-dies-led-florida-land-firm-that-was-sold.html,,,,47,The New York Times,[],[],1969-11-24T05:00:00+0000,article,None,Archives,Archives,nyt://article/b4711cd1-80fd-508d-8d8c-1b88f588667d,0,nyt://article/b4711cd1-80fd-508d-8d8c-1b88f588667d,"JULIUS ROSEN, 50, DEVELOPER, DIES; Led Florida Land Firm That Was Sold for $230-Million ",1,,"JULIUS ROSEN, 50, DEVELOPER, DIES; Led Florida Land Firm That Was Sold for $230-Million ",,,,Special to The New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
6,"Rosen, Julius Jack",https://www.nytimes.com/1969/11/24/archives/obituary-1-no-title.html,"Rosen, Julius Jack",,,47,The New York Times,[],"[{'name': 'persons', 'value': 'ROSEN, JULIUS JACK', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'DEATHS', 'rank': 2, 'major': 'N'}]",1969-11-24T05:00:00+0000,article,None,Archives,Archives,nyt://article/06ec4732-3706-5a47-8742-fac40842b29d,0,nyt://article/06ec4732-3706-5a47-8742-fac40842b29d,Obituary 1 -- No Title,,,Obituary 1 -- No Title,,,,,[],
7,"The New York State Theater's grand promenade will be turned into a bustling backstage scene on Dec. 8. Performers, directors, choreographers, designers and other City Center personnel have invited the public to a fund-raising bazaar there from 5 to 9 P.M. that day.  ",https://www.nytimes.com/1969/11/24/archives/city-center-friends-to-stage-bazaar.html,,,,54,The New York Times,[],[],1969-11-24T05:00:00+0000,article,None,Archives,Archives,nyt://article/1916542c-6b28-5ad7-9d5b-759f8437609e,0,nyt://article/1916542c-6b28-5ad7-9d5b-759f8437609e,City Center Friends to Stage Bazaar,1,,City Center Friends to Stage Bazaar,,,,,[],
8,"M Cordon 1-man show, Kodak Exhibit Center, Grand Central Terminal, NYC; W Bullock-L Krims show, Witkin Gallery, NYC; P Leibert 1-man show, Portogallo Gallery, NYC; E Stone 1-man show, Parents' Magazine Gallery, NYC; N Starrels 1-man show, Hudson Pk branch, NY Pub Library",https://www.nytimes.com/1969/11/23/archives/variety-of-shows-at-local-galleries.html,"M Cordon 1-man show, Kodak Exhibit Center, Grand Central Terminal, NYC; W Bullock-L Krims show, Witkin Gallery, NYC; P Leibert 1-man show, Portogallo Gallery, NYC; E Stone 1-man show, Parents' Magazine Gallery, NYC; N Starrels 1-man show, Hudson P...",,D,20,The New York Times,[],"[{'name': 'subject', 'value': 'PHOTOGRAPHY AND PHOTOGRAPHIC EQUIPMENT', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'EXHIBITS', 'rank': 2, 'major': 'N'}]",1969-11-23T05:00:00+0000,article,None,Archives,Archives,nyt://article/563f5547-f3c0-528e-9d13-ce3f3b5a2f08,0,nyt://article/563f5547-f3c0-528e-9d13-ce3f3b5a2f08,Variety of Shows At Local Galleries,,,Variety of Shows At Local Galleries,,,,By Jacob Deschin,"[{'firstname': 'Jacob', 'middlename': None, 'lastname': 'Deschin', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
9,"Rabinowitz, Harris M (Dr)",https://www.nytimes.com/1969/11/23/archives/obituary-1-no-title.html,"Rabinowitz, Harris M (Dr)",,,87,The New York Times,[],"[{'name': 'persons', 'value': 'RABINOWITZ, HARRIS M', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'DEATHS', 'rank': 2, 'major': 'N'}]",1969-11-23T05:00:00+0000,article,None,Archives,Archives,nyt://article/bd686c83-0c73-53cd-8cee-dd4b878753a7,0,nyt://article/bd686c83-0c73-53cd-8cee-dd4b878753a7,Obituary 1 -- No Title,,,Obituary 1 -- No Title,,,,,[],
