,abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,subsection_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization
0,"Representative Nancy Pelosi of California has agreed to return as House minority leader, as John A. Boehner of Ohio is expected to be re-elected speaker of the House.",https://www.nytimes.com/2012/11/15/us/politics/nancy-pelosi-agrees-to-stay-on-as-house-minority-leader.html,"Representative Nancy Pelosi of California has agreed to return as House minority leader, as John A. Boehner of Ohio is expected to be re-elected speaker of the House.","WASHINGTON — Representative Nancy Pelosi, a woman who has served as the face of House Democrats and a lightning rod for Republicans, was returned to her role as the party’s leader in the House on Wednesday after weighing whether she would step aside when Democrats failed to regain the majority and return her as speaker.",A,23,The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/15/us/PELOSI-1/PELOSI-1-articleLarge.jpg', 'height': 400, 'width': 600, 'legacy': {'xlarge': 'images/2012/11/15/us/PELOSI-1/PELOSI-1-articleLarge.jpg', 'xlargewidth': 600, 'xlargeheight': 400}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'blog480', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/15/us/PELOSI-1/PELOSI-1-blog480.jpg', 'height': 289, 'width': 480, 'legacy': {}, 'subType': 'blog480', 'crop_name': 'blog480'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/15/us/PELOSI-1/PELOSI-1-jumbo.jpg', 'height': 616, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/15/us/PELOSI-1/PELOSI-1-popup.jpg', 'height': 391, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'superJumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/15/us/PELOSI-1/PELOSI-1-superJumbo.jpg', 'height': 1231, 'width': 2048, 'legacy': {}, 'subType': 'superJumbo', 'crop_name': 'superJumbo'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/15/us/PELOSI-1/PELOSI-1-articleInline.jpg', 'height': 114, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/15/us/PELOSI-1/PELOSI-1-sfSpan.jpg', 'height': 237, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/15/us/PELOSI-1/PELOSI-1-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2012/11/15/us/PELOSI-1/PELOSI-1-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}, {'rank': 0, 'subtype': 'thumbLarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/15/us/PELOSI-1/PELOSI-1-thumbLarge.jpg', 'height': 150, 'width': 150, 'legacy': {}, 'subType': 'thumbLarge', 'crop_name': 'thumbLarge'}]","[{'name': 'organizations', 'value': 'Democratic Party', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'United States', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Women and Girls', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Elections, House of Representatives', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Boehner, John A', 'rank': 6, 'major': 'N'}, {'name': 'organizations', 'value': 'Republican Party', 'rank': 7, 'major': 'N'}, {'name': 'persons', 'value': 'Pelosi, Nancy', 'rank': 8, 'major': 'N'}]",2012-11-15T01:33:23+0000,article,National,U.S.,Politics,News,nyt://article/ef1d9fc9-570d-55c7-9f4f-17421981266d,909,nyt://article/ef1d9fc9-570d-55c7-9f4f-17421981266d,Pelosi ‘Wouldn’t Think of Walking Away’ From Job as Minority Leader,,,Pelosi ‘Wouldn’t Think of Walking Away’ From Job as Minority Leader,,,,By Jennifer Steinhauer,"[{'firstname': 'Jennifer', 'middlename': None, 'lastname': 'Steinhauer', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
1,"Representative Nancy Pelosi of California has decided to stay in Congress and serve as House Democratic leader for another two years, an aide said Wednesday.",https://thecaucus.blogs.nytimes.com/2012/11/14/pelosi-to-remain-in-congress-and-continue-as-democratic-leader/,"Representative Nancy Pelosi of California has decided to stay in Congress and serve as House Democratic leader for another two years, an aide said Wednesday.",8:42 p.m. | Updated  A revised version of this post appears here.,,,The New York Times,[],"[{'name': 'subject', 'value': 'Patient Protection and Affordable Care Act (2010)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Pelosi, Nancy', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'Democratic Party', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'House of Representatives', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'California', 'rank': 6, 'major': 'N'}]",2012-11-14T14:36:20+0000,article,,U.S.,Politics,News,nyt://article/757cdda2-c70f-5f59-8c20-f60a9590c118,727,nyt://article/757cdda2-c70f-5f59-8c20-f60a9590c118,Pelosi Will Remain Democratic Leader in House; Few Changes in Leadership,,,,,,,By Jennifer Steinhauer and John H. Cushman Jr,"[{'firstname': 'Jennifer', 'middlename': None, 'lastname': 'Steinhauer', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'John', 'middlename': 'H.', 'lastname': 'Cushman', 'qualifier': 'Jr', 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}]",
2,"In “This Is 40” Mr. Apatow is at the helm, his wife, Leslie Mann, and their daughters are in the cast, and the characters have grown up.",https://www.nytimes.com/2012/11/18/movies/judd-apatows-life-as-art-in-this-is-40.html,"In “This Is 40” Mr. Apatow is at the helm, his wife, Leslie Mann, and their daughters are in the cast, and the characters have grown up.",LOS ANGELES ,AR,1,The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/18/arts/18APATOW_SPAN/18APATOW-articleLarge.jpg', 'height': 287, 'width': 600, 'legacy': {'xlarge': 'images/2012/11/18/arts/18APATOW_SPAN/18APATOW-articleLarge.jpg', 'xlargewidth': 600, 'xlargeheight': 287}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'blog480', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/18/arts/18APATOW_SPAN/18APATOW-blog480.jpg', 'height': 230, 'width': 480, 'legacy': {}, 'subType': 'blog480', 'crop_name': 'blog480'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/18/arts/18APATOW_SPAN/18APATOW_SPAN-jumbo-v2.jpg', 'height': 490, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/18/arts/18APATOW_SPAN/18APATOW-articleLarge.jpg', 'height': 287, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'slide', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/18/arts/18APATOW_SPAN/18APATOW_SPAN-slide.jpg', 'height': 287, 'width': 600, 'legacy': {}, 'subType': 'slide', 'crop_name': 'slide'}, {'rank': 0, 'subtype': 'superJumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/18/arts/18APATOW_SPAN/18APATOW_SPAN-superJumbo-v2.jpg', 'height': 980, 'width': 2048, 'legacy': {}, 'subType': 'superJumbo', 'crop_name': 'superJumbo'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/18/arts/18APATOW_SPAN/18APATOW-sfSpan.jpg', 'height': 189, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/18/arts/18APATOW_SPAN/18APATOW-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2012/11/18/arts/18APATOW_SPAN/18APATOW-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}, {'rank': 0, 'subtype': 'thumbLarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/18/arts/18APATOW_SPAN/18APATOW-thumbLarge.jpg', 'height': 150, 'width': 150, 'legacy': {}, 'subType': 'thumbLarge', 'crop_name': 'thumbLarge'}]","[{'name': 'persons', 'value': 'Apatow, Maude', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'Knocked Up (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'creative_works', 'value': 'This Is 40 (Movie)', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'APATOW, JUDD', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Rudd, Paul', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Mann, Leslie', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Movies', 'rank': 7, 'major': 'N'}]",2012-11-14T13:00:08+0000,article,Arts&Leisure,Movies,,News,nyt://article/94ae2fb3-18d1-5f6a-a319-6e0496ae14b8,1910,nyt://article/94ae2fb3-18d1-5f6a-a319-6e0496ae14b8,Judd Apatow’s Family Business,,,Family Business,,,,By Dave Itzkoff,"[{'firstname': 'Dave', 'middlename': None, 'lastname': 'Itzkoff', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
3,"Rather than hunker down in negotiations as he did in 2011, aides said, the president will try to rally the public for an accord that could set the tone for his second term.",https://www.nytimes.com/2012/11/12/us/politics/legacy-at-stake-obama-plans-broader-push-for-budget-deal.html,"Rather than hunker down in negotiations as he did in 2011, aides said, the president will try to rally the public for an accord that could set the tone for his second term.","WASHINGTON — President Obama, emboldened by his decisive re-election and lessons learned over four years in office, is looking to the renewal of budget talks with Republicans this week as a second chance to take command of the nation’s policy debates and finally fulfill his promise to end gridlock in Washington, associates say.",A,1,The New York Times,"[{'rank': 0, 'subtype': 'wide', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/12/us/JP-OBAMA/JP-OBAMA-thumbWide.jpg', 'height': 126, 'width': 190, 'legacy': {'widewidth': 190, 'wideheight': 126, 'wide': 'images/2012/11/12/us/JP-OBAMA/JP-OBAMA-thumbWide.jpg'}, 'subType': 'wide', 'crop_name': 'thumbWide'}, {'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/12/us/JP-OBAMA/JP-OBAMA-articleLarge.jpg', 'height': 330, 'width': 600, 'legacy': {'xlarge': 'images/2012/11/12/us/JP-OBAMA/JP-OBAMA-articleLarge.jpg', 'xlargewidth': 600, 'xlargeheight': 330}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'blog480', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/12/us/JP-OBAMA/JP-OBAMA-blog480.jpg', 'height': 325, 'width': 480, 'legacy': {}, 'subType': 'blog480', 'crop_name': 'blog480'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/12/us/JP-OBAMA/JP-OBAMA-jumbo.jpg', 'height': 693, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/12/us/JP-OBAMA/JP-OBAMA-popup.jpg', 'height': 440, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'superJumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/12/us/JP-OBAMA/JP-OBAMA-superJumbo.jpg', 'height': 1386, 'width': 2048, 'legacy': {}, 'subType': 'superJumbo', 'crop_name': 'superJumbo'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/12/us/JP-OBAMA/JP-OBAMA-articleInline.jpg', 'height': 129, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/12/us/JP-OBAMA/JP-OBAMA-sfSpan.jpg', 'height': 267, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/12/us/JP-OBAMA/JP-OBAMA-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2012/11/12/us/JP-OBAMA/JP-OBAMA-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}, {'rank': 0, 'subtype': 'thumbLarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/12/us/JP-OBAMA/JP-OBAMA-thumbLarge.jpg', 'height': 150, 'width': 150, 'legacy': {}, 'subType': 'thumbLarge', 'crop_name': 'thumbLarge'}]","[{'name': 'subject', 'value': 'Income Tax', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Obama, Barack', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'National Debt (US)', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Federal Budget (US)', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Federal Taxes (US)', 'rank': 6, 'major': 'N'}]",2012-11-12T02:29:24+0000,article,National,U.S.,Politics,News,nyt://article/c7c92991-57aa-59dc-a2da-cd5f098ea37b,1279,nyt://article/c7c92991-57aa-59dc-a2da-cd5f098ea37b,"In Debt Talks, Obama Is Ready to Go Beyond Beltway",Washington Memo,,"In Debt Talks, Revived Obama Is Ready to Go Beyond Beltway",,,,By Jackie Calmes,"[{'firstname': 'Jackie', 'middlename': None, 'lastname': 'Calmes', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
4,The football players of a Miami high school know Luther Campbell more as a coach teaching them to be young men than as a rapper with 2 Live Crew who once challenged obscenity laws.,https://www.nytimes.com/2012/11/06/sports/football/luther-campbell-has-a-new-gig-and-a-new-rap-for-his-players.html,The football players of a Miami high school know Luther Campbell more as a coach teaching them to be young men than as a rapper with 2 Live Crew who once challenged obscenity laws.,"MIAMI BEACH — On the 12th hole at Normandy Shores Golf Club, beyond the private gate, amid lush green fairways and clusters of palm trees, Luther Campbell steered his cart past several ibises. He mentioned the yacht he once owned. He cackled.",B,11,The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/06/sports/06CAMPBELL-1/06CAMPBELL-1-articleLarge.jpg', 'height': 380, 'width': 600, 'legacy': {'xlarge': 'images/2012/11/06/sports/06CAMPBELL-1/06CAMPBELL-1-articleLarge.jpg', 'xlargewidth': 600, 'xlargeheight': 380}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'blog480', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/06/sports/06CAMPBELL-1/06CAMPBELL-1-blog480.jpg', 'height': 307, 'width': 480, 'legacy': {}, 'subType': 'blog480', 'crop_name': 'blog480'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/06/sports/06CAMPBELL-1/06CAMPBELL-1-jumbo.jpg', 'height': 656, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/06/sports/06CAMPBELL-1/06CAMPBELL-1-popup.jpg', 'height': 416, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'superJumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/06/sports/06CAMPBELL-1/06CAMPBELL-1-superJumbo.jpg', 'height': 1311, 'width': 2048, 'legacy': {}, 'subType': 'superJumbo', 'crop_name': 'superJumbo'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/06/sports/06CAMPBELL-1/06CAMPBELL-1-articleInline.jpg', 'height': 122, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/06/sports/06CAMPBELL-1/06CAMPBELL-1-sfSpan.jpg', 'height': 253, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/06/sports/06CAMPBELL-1/06CAMPBELL-1-thumbStandard-v2.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2012/11/06/sports/06CAMPBELL-1/06CAMPBELL-1-thumbStandard-v2.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}, {'rank': 0, 'subtype': 'thumbLarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/06/sports/06CAMPBELL-1/06CAMPBELL-1-thumbLarge-v2.jpg', 'height': 150, 'width': 150, 'legacy': {}, 'subType': 'thumbLarge', 'crop_name': 'thumbLarge'}]","[{'name': 'organizations', 'value': '2 Live Crew', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Campbell, Luther', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Football', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Music', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Interscholastic Athletics', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Coaches and Managers', 'rank': 6, 'major': 'N'}, {'name': 'glocations', 'value': 'Miami (Fla)', 'rank': 7, 'major': 'N'}]",2012-11-05T17:00:36+0000,article,Sports,Sports,Pro Football,News,nyt://article/986305ac-ea34-55a5-8f82-9546b868ac0d,3383,nyt://article/986305ac-ea34-55a5-8f82-9546b868ac0d,Former Hip-Hop Artist’s Defense Never Rests,,,The Defense Never Rests,,,,By Greg Bishop,"[{'firstname': 'Greg', 'middlename': None, 'lastname': 'Bishop', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
5,A running diary of the last day of campaigning for President Obama and Mitt Romney before Election Day.,https://thecaucus.blogs.nytimes.com/2012/11/05/campaign-diary-candidates-spending-final-day-in-swing-states/,A running diary of the last day of campaigning for President Obama and Mitt Romney before Election Day.,New York Times political reporters traveled with the presidential candidates and their running mates on the last day of campaigning before Election Day. What follows is a running diary of the day.,A,14,The New York Times,[],[],2012-11-05T15:53:36+0000,article,,U.S.,Politics,News,nyt://article/d4fc7c4d-93cc-57c5-bc5b-3584bbba5445,6861,nyt://article/d4fc7c4d-93cc-57c5-bc5b-3584bbba5445,Campaign Diary: Candidates Spending Final Day in Swing States,The Caucus,,A Frantic Election-Eve Day on the Campaign Trail,,,,By The New York Times,[],The New York Times
6,"In New York City real estate, the word “prewar” speaks volumes, and “postwar” can mean different things to different buyers.",https://www.nytimes.com/2012/11/04/realestate/getting-started-defining-postwar-and-prewar-apartments.html,"In New York City real estate, the word “prewar” speaks volumes, and “postwar” can mean different things to different buyers.","IT is a sliver of a word, and a nonspecific one at that, but in New York City real estate, “prewar” speaks volumes. ",RE,6,The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/28/realestate/1028-getting-started/1028-getting-started-articleLarge.jpg', 'height': 350, 'width': 600, 'legacy': {'xlarge': 'images/2012/10/28/realestate/1028-getting-started/1028-getting-started-articleLarge.jpg', 'xlargewidth': 600, 'xlargeheight': 350}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/28/realestate/1028-getting-started/1028-getting-started-jumbo.jpg', 'height': 1024, 'width': 878, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/28/realestate/1028-getting-started/1028-getting-started-popup.jpg', 'height': 500, 'width': 429, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'superJumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/28/realestate/1028-getting-started/1028-getting-started-superJumbo.jpg', 'height': 2048, 'width': 1756, 'legacy': {}, 'subType': 'superJumbo', 'crop_name': 'superJumbo'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/28/realestate/1028-getting-started/1028-getting-started-articleInline.jpg', 'height': 222, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/28/realestate/1028-getting-started/1028-getting-started-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2012/10/28/realestate/1028-getting-started/1028-getting-started-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}, {'rank': 0, 'subtype': 'thumbLarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/28/realestate/1028-getting-started/1028-getting-started-thumbLarge.jpg', 'height': 150, 'width': 150, 'legacy': {}, 'subType': 'thumbLarge', 'crop_name': 'thumbLarge'}]","[{'name': 'glocations', 'value': 'New York City', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Real Estate and Housing (Residential)', 'rank': 2, 'major': 'N'}]",2012-11-02T00:08:56+0000,article,RealEstate,Real Estate,,News,nyt://article/574655ca-362b-5394-a72d-2a242292ae7d,1010,nyt://article/574655ca-362b-5394-a72d-2a242292ae7d,"Postwar, Prewar and Everything Before",Getting Started,,"Postwar, Prewar and Everything Before",,,,By Jake Mooney,"[{'firstname': 'Jake', 'middlename': None, 'lastname': 'Mooney', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
7,"The patchy recovery from Hurricane Sandy exposed a split region. Lights flickered on in Manhattan and subways rumbled, but in stretches of Staten Island, Queens, New Jersey and Long Island, gasoline and electricity remained scarce as temperatures dropped.",https://cityroom.blogs.nytimes.com/2012/11/01/storm-aftermath-live-updates-4/,"The patchy recovery from Hurricane Sandy exposed a split region. Lights flickered on in Manhattan and subways rumbled, but in stretches of Staten Island, Queens, New Jersey and Long Island, gasoline and electricity remained scarce as temperatures ...","On Monday morning, commuters returned to work on the city’s buses and trains, which were operating on normal or modified schedules, and the majority of students were able to return to classrooms. ",,,The New York Times,[],[],2012-11-01T20:39:21+0000,article,,New York,,News,nyt://article/a876b90a-1d81-525d-bf13-323c4d7643de,41546,nyt://article/a876b90a-1d81-525d-bf13-323c4d7643de,Storm Aftermath: Live Updates,City Room,,,,,,By The New York Times,[],The New York Times
8,"A climate campaigner and a science writer discuss hurricanes, history and the greenhouse effect.",https://dotearth.blogs.nytimes.com/2012/10/30/two-views-of-a-superstorm-in-climate-context/,"A climate campaigner and a science writer discuss hurricanes, history and the greenhouse effect.","4:38 p.m. | Updated with more scientists’ input at the end. }In the hours before Hurricane Sandy thundered ashore, igniting power stations and Queens neighborhoods and darkening urban and rural communities alike, I filed two pieces for Dot Earth. The first, “The #Frankenstorm in Climate Context,” was on the storm in the context of climate history and the science pointing to greenhouse-driven climate change. The second was on the impact of our tribal nature on climate communication, including my own.",,,The New York Times,[],"[{'name': 'subject', 'value': 'AIR POLLUTION', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Challenger (Space Shuttle)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Global Warming', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Greenhouse Gas Emissions', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Hurricane Sandy (2012)', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Oceans and Seas', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Hansen, James E', 'rank': 7, 'major': 'N'}, {'name': 'persons', 'value': 'Miller, Dan', 'rank': 8, 'major': 'N'}, {'name': 'organizations', 'value': 'Massachusetts Institute of Technology', 'rank': 9, 'major': 'N'}, {'name': 'glocations', 'value': 'ARCTIC REGIONS', 'rank': 10, 'major': 'N'}, {'name': 'glocations', 'value': 'Northeastern States (US)', 'rank': 11, 'major': 'N'}]",2012-10-30T20:23:41+0000,article,,Opinion,,News,nyt://article/16ca072e-8e23-526c-b3d2-d6587a13d538,2022,nyt://article/16ca072e-8e23-526c-b3d2-d6587a13d538,Two Views of a Storm in Climate Context,Dot Earth,,,,,,By Andrew C. Revkin,"[{'firstname': 'Andrew', 'middlename': 'C.', 'lastname': 'Revkin', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
9,Get the latest as the city and region endure a once-in-a-generation storm.,https://cityroom.blogs.nytimes.com/2012/10/28/hurricane-sandy-live-updates/,Get the latest as the city and region endure a once-in-a-generation storm.,"Millions of people across the mid-Atlantic region struggled to recover from widespread storm damage on Tuesday amid power failures, high winds, downed trees and powerful flooding. Transit shutdowns and school closings continued, the death toll from the storm rose, and people in New York, New Jersey, Connecticut and elsewhere began assessing the aftermath.",,,The New York Times,[],"[{'name': 'subject', 'value': 'Hurricanes and Tropical Storms', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Metropolitan Transportation Authority', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'New York City', 'rank': 3, 'major': 'N'}]",2012-10-28T14:55:40+0000,article,,New York,,News,nyt://article/3c1bdacb-a975-5ee0-a0b4-3bba5eeab889,22532,nyt://article/3c1bdacb-a975-5ee0-a0b4-3bba5eeab889,Tracking the Storm,City Room,,,,,,By The New York Times,[],The New York Times
