,abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,subsection_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization
0,"A selected guide to pop, rock, R&B, country-pop, indie rock, neo-soul, metal and hip-hop.",https://www.nytimes.com/2012/10/12/arts/music/pop-listings-for-oct-12-18.html,"A selected guide to pop, rock, R&B, country-pop, indie rock, neo-soul, metal and hip-hop.",Pop,C,19,The New York Times,[],"[{'name': 'subject', 'value': 'Music', 'rank': 1, 'major': 'N'}]",2012-10-11T21:48:54+0000,article,Weekend,Arts,Music,Schedule,nyt://article/d6fdf94c-8477-529d-a374-2b222fe1d79c,2055,nyt://article/d6fdf94c-8477-529d-a374-2b222fe1d79c,Pop Listings for Oct. 12-18,,,The Listings,,,,,[],
1,"Specializing in fashionable flatbreads, Gleason’s shows both admirable restraint and whimsicality. The restaurant opened in August.",https://www.nytimes.com/2012/10/07/nyregion/a-review-of-gleasons-in-peekskill.html,"Specializing in fashionable flatbreads, Gleason’s shows both admirable restraint and whimsicality. The restaurant opened in August.","GLEASON’S, which opened in August in Peekskill, joins a thriving patch of scrappy, recession-era eating spots that have sprung up locally — like so many hardy lettuces — in a forbidding economic climate.",WE,10,The New York Times,"[{'rank': 0, 'subtype': 'blog480', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/07/nyregion/07DINEWE1/07DINEWE1-blog480.jpg', 'height': 319, 'width': 480, 'legacy': {}, 'subType': 'blog480', 'crop_name': 'blog480'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/07/nyregion/07DINEWE1/07DINEWE1-jumbo.jpg', 'height': 682, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/07/nyregion/07DINEWE1/07DINEWE1-popup.jpg', 'height': 433, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'superJumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/07/nyregion/07DINEWE1/07DINEWE1-superJumbo.jpg', 'height': 1363, 'width': 2048, 'legacy': {}, 'subType': 'superJumbo', 'crop_name': 'superJumbo'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/07/nyregion/07DINEWE1/07DINEWE1-articleInline.jpg', 'height': 126, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/07/nyregion/07DINEWE1/07DINEWE1-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2012/10/07/nyregion/07DINEWE1/07DINEWE1-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}, {'rank': 0, 'subtype': 'thumbLarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/07/nyregion/07DINEWE1/07DINEWE1-thumbLarge.jpg', 'height': 150, 'width': 150, 'legacy': {}, 'subType': 'thumbLarge', 'crop_name': 'thumbLarge'}]","[{'name': 'subject', 'value': 'Restaurants', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Peekskill (NY)', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': ""Gleason's (Peekskill, NY, Restaurant)"", 'rank': 3, 'major': 'N'}]",2012-10-05T22:54:35+0000,article,Metro,New York,,Review,nyt://article/f7f58a93-31a1-5d71-9d3c-494cfde7677d,776,nyt://article/f7f58a93-31a1-5d71-9d3c-494cfde7677d,"Whimsy, Flatbreads and Away We Go",Westchester Dining | Peekskill,,"Whimsy, Flatbreads And Away We Go",,,,By Alice Gabriel,"[{'firstname': 'Alice', 'middlename': None, 'lastname': 'Gabriel', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
2,"A selected guide to indie rock, garage rock, metal, electronic dance music, punk, folk rock, pop and hip-hop.",https://www.nytimes.com/2012/10/05/arts/music/pop-listings-for-oct-5-11.html,"A selected guide to indie rock, garage rock, metal, electronic dance music, punk, folk rock, pop and hip-hop.",Pop,C,20,The New York Times,[],"[{'name': 'subject', 'value': 'Music', 'rank': 1, 'major': 'N'}]",2012-10-04T22:33:19+0000,article,Weekend,Arts,Music,Schedule,nyt://article/41071bd8-34df-5163-b4fb-176417c5066d,2090,nyt://article/41071bd8-34df-5163-b4fb-176417c5066d,Pop Listings for Oct. 5-11,,,The Listings,,,,,[],
3,"On Sept. 18, the Texas Heart Institute celebrated its 50th anniversary by honoring its 93-year-old founder, Denton A. Cooley.",https://www.nytimes.com/2012/09/30/us/texas-heart-institute-honors-dr-denton-cooley.html,"On Sept. 18, the Texas Heart Institute celebrated its 50th anniversary by honoring its 93-year-old founder, Denton A. Cooley.","Every once in a while, there are moments in Houston that provide a vivid glimpse of the city that was — that aggressively entrepreneurial, insanely individualistic and relentlessly optimistic place of lore. Such a moment was visible the night of Sept. 18, when the Texas Heart Institute celebrated its 50th anniversary by honoring its founder, Denton A. Cooley, whose name is almost always accompanied by the description “world-famous heart surgeon.” ",A,39B,The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/09/30/us/30ttculture/30ttculture-articleLarge.jpg', 'height': 360, 'width': 600, 'legacy': {'xlarge': 'images/2012/09/30/us/30ttculture/30ttculture-articleLarge.jpg', 'xlargewidth': 600, 'xlargeheight': 360}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'blog480', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/09/30/us/30ttculture/30ttculture-blog480.jpg', 'height': 307, 'width': 480, 'legacy': {}, 'subType': 'blog480', 'crop_name': 'blog480'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/09/30/us/30ttculture/30ttculture-jumbo.jpg', 'height': 656, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/09/30/us/30ttculture/30ttculture-popup.jpg', 'height': 416, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'superJumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/09/30/us/30ttculture/30ttculture-superJumbo.jpg', 'height': 1311, 'width': 2048, 'legacy': {}, 'subType': 'superJumbo', 'crop_name': 'superJumbo'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/09/30/us/30ttculture/30ttculture-articleInline.jpg', 'height': 122, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/09/30/us/30ttculture/30ttculture-sfSpan.jpg', 'height': 253, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/09/30/us/30ttculture/30ttculture-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2012/09/30/us/30ttculture/30ttculture-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}, {'rank': 0, 'subtype': 'thumbLarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/09/30/us/30ttculture/30ttculture-thumbLarge.jpg', 'height': 151, 'width': 150, 'legacy': {}, 'subType': 'thumbLarge', 'crop_name': 'thumbLarge'}]","[{'name': 'organizations', 'value': 'Texas Heart Institute', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Cooley, Denton A', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'Houston (Tex)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Heart', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Transplants', 'rank': 5, 'major': 'N'}]",2012-09-29T23:36:18+0000,article,National,U.S.,,News,nyt://article/cb51ec44-771e-566e-a68a-3351750a07f8,911,nyt://article/cb51ec44-771e-566e-a68a-3351750a07f8,Old Houston Salutes an Irreverent Heart Surgeon,Texas Monthly,,Old Houston Salutes an Irreverent Heart Surgeon,,,,By Mimi Swartz,"[{'firstname': 'Mimi', 'middlename': None, 'lastname': 'Swartz', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
4,"A selected guide to retro-soul, R&B, indie rock, electronic dance music, electropop, rock, pop and hip-hop.",https://www.nytimes.com/2012/09/28/arts/music/pop-listings-for-sept-28-oct-4.html,"A selected guide to retro-soul, R&B, indie rock, electronic dance music, electropop, rock, pop and hip-hop.",Pop,C,19,The New York Times,[],"[{'name': 'subject', 'value': 'Music', 'rank': 1, 'major': 'N'}]",2012-09-27T21:02:18+0000,article,Weekend,Arts,Music,Schedule,nyt://article/772fc74a-d0b6-51c4-bd8c-d7763c8620f3,1676,nyt://article/772fc74a-d0b6-51c4-bd8c-d7763c8620f3,Pop Listings for Sept. 28-Oct. 4,,,The Listings,,,,,[],
5,"A selected guide to indie rock, electronic dance music, folk rock, pop, pop and hip-hop.",https://www.nytimes.com/2012/09/21/arts/music/pop-listings-for-sept-21-27.html,"A selected guide to indie rock, electronic dance music, folk rock, pop, pop and hip-hop.",Pop,C,22,The New York Times,[],"[{'name': 'subject', 'value': 'Music', 'rank': 1, 'major': 'N'}]",2012-09-20T20:42:08+0000,article,Weekend,Arts,Music,Schedule,nyt://article/6466190b-ddd5-5046-9248-b6f7de00d27a,2114,nyt://article/6466190b-ddd5-5046-9248-b6f7de00d27a,Pop Listings for Sept. 21-27,,,The Listings,,,,,[],
6,"Stephen Burt, the Harvard professor and poet, has many brilliant peers in his generation of poetry critics, and if one doesn’t inspire you to read poetry, another might.",https://6thfloor.blogs.nytimes.com/2012/09/17/whom-and-what-to-read-to-make-you-like-poetry-and-also-sci-fi/,"Stephen Burt, the Harvard professor and poet, has many brilliant peers in his generation of poetry critics, and if one doesn’t inspire you to read poetry, another might.","Stephen Burt, the Harvard professor and poet whom I wrote about in Sunday’s Education Issue, is a fanboy and an evangelist of poetry. As I wrote in the magazine, Burt defends his positivity by saying, “There’s so little airtime available for any poetry these days that when I get space and time in which I can do whatever I want, I don’t want to say, ‘X sucks.’ I almost always prefer to say, ‘Please check out Y,’ or ‘Z isn’t what you think,’ or ‘Look at what A, B and C have in common.’ ” ",,,The New York Times,"[{'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/09/17/magazine/17-ts-eliot/17-ts-eliot-jumbo.jpg', 'height': 1024, 'width': 734, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/09/17/magazine/17-ts-eliot/17-ts-eliot-popup.jpg', 'height': 500, 'width': 359, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'superJumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/09/17/magazine/17-ts-eliot/17-ts-eliot-superJumbo.jpg', 'height': 2048, 'width': 1468, 'legacy': {}, 'subType': 'superJumbo', 'crop_name': 'superJumbo'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/09/17/magazine/17-ts-eliot/17-ts-eliot-articleInline.jpg', 'height': 265, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/09/17/magazine/17-ts-eliot/17-ts-eliot-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2012/09/17/magazine/17-ts-eliot/17-ts-eliot-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}, {'rank': 0, 'subtype': 'thumbLarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/09/17/magazine/17-ts-eliot/17-ts-eliot-thumbLarge.jpg', 'height': 150, 'width': 150, 'legacy': {}, 'subType': 'thumbLarge', 'crop_name': 'thumbLarge'}]","[{'name': 'subject', 'value': 'Poetry and Poets', 'rank': 1, 'major': 'N'}]",2012-09-17T19:52:05+0000,article,,Magazine,,News,nyt://article/c6d68455-c87b-5d93-af40-039b539614c1,590,nyt://article/c6d68455-c87b-5d93-af40-039b539614c1,Whom and What to Read to Make You Like Poetry (and Also Sci-Fi),The 6th Floor,,,,,,By Mark Oppenheimer,"[{'firstname': 'Mark', 'middlename': None, 'lastname': 'Oppenheimer', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
7,"Mary Weatherford’s works, at Brennan & Griffin, are quite lively, pulled off with verve and an ecumenical historical awareness.",https://www.nytimes.com/2012/09/14/arts/design/mary-weatherford-manhattan.html,"Mary Weatherford’s works, at Brennan & Griffin, are quite lively, pulled off with verve and an ecumenical historical awareness.",Brennan & Griffin,C,27,The New York Times,[],"[{'name': 'subject', 'value': 'Art', 'rank': 1, 'major': 'N'}]",2012-09-13T21:02:14+0000,article,Weekend,Arts,Art & Design,Review,nyt://article/739d36dc-02b7-5acd-8ebb-64f2774dc279,312,nyt://article/739d36dc-02b7-5acd-8ebb-64f2774dc279,Mary Weatherford: ‘Manhattan’,Art In Review,,Mary Weatherford: ‘Manhattan’,,,,By Roberta Smith,"[{'firstname': 'Roberta', 'middlename': None, 'lastname': 'Smith', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
8,"A selected guide to indie rock, psychedelic rock, pop, folk pop and country.",https://www.nytimes.com/2012/09/07/arts/music/pop-listings-for-sept-7-13.html,"A selected guide to indie rock, psychedelic rock, pop, folk pop and country.",Pop,C,17,The New York Times,[],"[{'name': 'subject', 'value': 'Music', 'rank': 1, 'major': 'N'}]",2012-09-06T22:33:15+0000,article,Weekend,Arts,Music,Schedule,nyt://article/5b09e4a1-437d-5e02-bc00-600683485772,1662,nyt://article/5b09e4a1-437d-5e02-bc00-600683485772,Pop Listings for Sept. 7-13,,,The Listings,,,,,[],
9,Some longtime fans of the University of Montana Grizzlies are wrestling with their feelings in the wake of a series of allegations of sexual assaults by football players.,https://www.nytimes.com/2012/09/01/us/sex-charges-cast-a-pall-on-a-montana-college-town.html,Some longtime fans of the University of Montana Grizzlies are wrestling with their feelings in the wake of a series of allegations of sexual assaults by football players.,"MISSOULA, Mont. — Students are back in their classrooms this week, the heat of summer has cooled and new chalk lines have been placed on the football field as the University of Montana Grizzlies and their devoted fans prepare for the opening kickoff on Saturday.",A,16,The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/09/01/us/MISSOULA-1/MISSOULA-1-articleLarge.jpg', 'height': 350, 'width': 600, 'legacy': {'xlarge': 'images/2012/09/01/us/MISSOULA-1/MISSOULA-1-articleLarge.jpg', 'xlargewidth': 600, 'xlargeheight': 350}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'blog480', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/09/01/us/MISSOULA-1/MISSOULA-1-blog480.jpg', 'height': 320, 'width': 480, 'legacy': {}, 'subType': 'blog480', 'crop_name': 'blog480'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/09/01/us/MISSOULA-1/MISSOULA-1-jumbo.jpg', 'height': 683, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/09/01/us/MISSOULA-1/MISSOULA-1-popup.jpg', 'height': 434, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'superJumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/09/01/us/MISSOULA-1/MISSOULA-1-superJumbo.jpg', 'height': 1366, 'width': 2048, 'legacy': {}, 'subType': 'superJumbo', 'crop_name': 'superJumbo'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/09/01/us/MISSOULA-1/MISSOULA-1-articleInline.jpg', 'height': 127, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/09/01/us/MISSOULA-1/MISSOULA-1-sfSpan.jpg', 'height': 264, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/09/01/us/MISSOULA-1/MISSOULA-1-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2012/09/01/us/MISSOULA-1/MISSOULA-1-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}, {'rank': 0, 'subtype': 'thumbLarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/09/01/us/MISSOULA-1/MISSOULA-1-thumbLarge.jpg', 'height': 150, 'width': 150, 'legacy': {}, 'subType': 'thumbLarge', 'crop_name': 'thumbLarge'}]","[{'name': 'subject', 'value': 'Football (College)', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'University of Montana', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Sex Crimes', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'College Athletics', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Football', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Colleges and Universities', 'rank': 6, 'major': 'N'}]",2012-09-01T00:52:28+0000,article,National,U.S.,,News,nyt://article/0d10602d-b58f-5e16-a918-4f7481e52be4,883,nyt://article/0d10602d-b58f-5e16-a918-4f7481e52be4,Sex Charges Cast a Pall on a College Town,Missoula Journal,,Sex Charges Cast a Pall On a College Town,,,,By Jim Robbins,"[{'firstname': 'Jim', 'middlename': None, 'lastname': 'Robbins', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
