,abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,subsection_name
0,"An associate of Rudy Giuliani who is awaiting trial on charges that he made illegal campaign contributions has a ticket to Wednesday's U.S. Senate impeachment trial, but he won't be going.",https://www.nytimes.com/aponline/2020/01/28/us/ap-us-trump-giuliani-associate.html,"An associate of Rudy Giuliani who is awaiting trial on charges that he made illegal campaign contributions has a ticket to Wednesday's U.S. Senate impeachment trial, but he won't be going.","NEW YORK — An associate of Rudy Giuliani who is awaiting trial on charges that he made illegal campaign contributions has a ticket to Wednesday's U.S. Senate impeachment trial, but he won't be going.",AP,[],[],2020-01-29T00:30:44+0000,article,None,U.S.,News,nyt://article/13d03584-825a-5254-acdf-e97469f667dc,416,nyt://article/13d03584-825a-5254-acdf-e97469f667dc,Lev Parnas Blocked From Senate Impeachment Hearing Wednesday,,,Lev Parnas Blocked From Senate Impeachment Hearing Wednesday,,,,By The Associated Press,[],The Associated Press,
1,Senate Majority Leader Mitch McConnell told senators privately Tuesday he does not yet have the votes to block new witnesses in President Donald Trump's impeachment trial.,https://www.nytimes.com/aponline/2020/01/28/us/politics/ap-us-trump-impeachment-witnesses.html,Senate Majority Leader Mitch McConnell told senators privately Tuesday he does not yet have the votes to block new witnesses in President Donald Trump's impeachment trial.,WASHINGTON — Senate Majority Leader Mitch McConnell told senators privately Tuesday he does not yet have the votes to block new witnesses in President Donald Trump's impeachment trial.,AP,[],[],2020-01-28T23:18:32+0000,article,None,U.S.,News,nyt://article/8a40ee1f-75d9-5be3-8924-dfb090fd7522,343,nyt://article/8a40ee1f-75d9-5be3-8924-dfb090fd7522,AP Source: McConnell Says He Can't Yet Block New Witnesses,,,AP Source: McConnell Says He Can't Yet Block New Witnesses,,,,By The Associated Press,[],The Associated Press,Politics
2,Former Vice President Joe Biden wouldn't say Tuesday whether he thinks Bernie Sanders could effectively unify the Democrats if the Vermont senator wins the party's presidential nomination. ,https://www.nytimes.com/aponline/2020/01/28/us/politics/ap-us-election-2020-biden.html,Former Vice President Joe Biden wouldn't say Tuesday whether he thinks Bernie Sanders could effectively unify the Democrats if the Vermont senator wins the party's presidential nomination. ,"MUSCATINE, Iowa — Former Vice President Joe Biden wouldn't say Tuesday whether he thinks Bernie Sanders could effectively unify the Democrats if the Vermont senator wins the party's presidential nomination. ",AP,[],[],2020-01-28T22:46:01+0000,article,None,U.S.,News,nyt://article/dcbb8a66-349a-57d8-83b6-836b89cde580,549,nyt://article/dcbb8a66-349a-57d8-83b6-836b89cde580,Biden Won't Say Whether Sanders Could Unify Dems as Nominee,,,Biden Won't Say Whether Sanders Could Unify Dems as Nominee,,,,By The Associated Press,[],The Associated Press,Politics
3,"The international union representing hotel and casino workers said Tuesday that it will not endorse a candidate in the Democratic presidential primary, casting doubt as to whether its influential Nevada local will follow suit ahead of the state’s caucuses. ",https://www.nytimes.com/aponline/2020/01/28/us/politics/ap-us-election-2020-democrats-union.html,"The international union representing hotel and casino workers said Tuesday that it will not endorse a candidate in the Democratic presidential primary, casting doubt as to whether its influential Nevada local will follow suit ahead of the state’s ...","LAS VEGAS — The international union representing hotel and casino workers said Tuesday that it will not endorse a candidate in the Democratic presidential primary, casting doubt as to whether its influential Nevada local will follow suit ahead of the state’s caucuses. ",AP,[],[],2020-01-28T22:12:39+0000,article,None,U.S.,News,nyt://article/631f3892-73fa-5e2b-aca7-9a43a8a24343,917,nyt://article/631f3892-73fa-5e2b-aca7-9a43a8a24343,Unite Here Labor Union Staying Neutral in Democratic Primary,,,Unite Here Labor Union Staying Neutral in Democratic Primary,,,,By The Associated Press,[],The Associated Press,Politics
4,"As a congressman in the 1990s, Bernie Sanders expressed an openness to making “adjustments"" to the tax and benefit structure of Social Security. He also praised an overhaul of the social safety net program signed into law by President Ronald Reagan that reduced benefits and increased taxes on working families.",https://www.nytimes.com/aponline/2020/01/28/us/politics/ap-us-election-2020-sanders-social-security.html,"As a congressman in the 1990s, Bernie Sanders expressed an openness to making “adjustments"" to the tax and benefit structure of Social Security. He also praised an overhaul of the social safety net program signed into law by President Ronald Reaga...","DES MOINES, Iowa — As a congressman in the 1990s, Bernie Sanders expressed an openness to making “adjustments"" to the tax and benefit structure of Social Security. He also praised an overhaul of the social safety net program signed into law by President Ronald Reagan that reduced benefits and increased taxes on working families.",AP,[],[],2020-01-28T20:42:29+0000,article,None,U.S.,News,nyt://article/836efe42-4282-53db-b0a0-c2d23fe76ca6,1263,nyt://article/836efe42-4282-53db-b0a0-c2d23fe76ca6,Sanders' Social Security 'Adjustments' Undercut Biden Attack,,,Sanders' Social Security 'Adjustments' Undercut Biden Attack,,,,By The Associated Press,[],The Associated Press,Politics
5,"President Donald Trump's lawyers wrapped up their arguments in his impeachment trial on Tuesday with a plea for acquittal, and sought to marginalize former national security adviser John Bolton's explosive allegations as ""inadmissible"".",https://www.nytimes.com/reuters/2020/01/28/us/politics/28reuters-usa-trump-impeachment-quotes-factbox.html,"President Donald Trump's lawyers wrapped up their arguments in his impeachment trial on Tuesday with a plea for acquittal, and sought to marginalize former national security adviser John Bolton's explosive allegations as ""inadmissible"".","WASHINGTON — President Donald Trump's lawyers wrapped up their arguments in his impeachment trial on Tuesday with a plea for acquittal, and sought to marginalize former national security adviser John Bolton's explosive allegations as ""inadmissible"".",Reuters,[],[],2020-01-28T19:31:20+0000,article,None,U.S.,News,nyt://article/5f43602f-77db-541d-9d1c-92f7f74c3344,412,nyt://article/5f43602f-77db-541d-9d1c-92f7f74c3344,'The Nerve and the Gall': Quotes From Day 7 of Trump's Senate Impeachment Trial,,,'The Nerve and the Gall': Quotes From Day 7 of Trump's Senate Impeachment Trial,,,,By Reuters,[],Reuters,Politics
6,"President Donald Trump's impeachment trial may not result in his removal from office, but it could help determine whether his Republicans retain control of the Senate in the November congressional elections.",https://www.nytimes.com/reuters/2020/01/28/us/politics/28reuters-usa-trump-impeachment-politics.html,"President Donald Trump's impeachment trial may not result in his removal from office, but it could help determine whether his Republicans retain control of the Senate in the November congressional elections.","WASHINGTON — President Donald Trump's impeachment trial may not result in his removal from office, but it could help determine whether his Republicans retain control of the Senate in the November congressional elections.",Reuters,[],[],2020-01-28T19:31:15+0000,article,None,U.S.,News,nyt://article/b5e2f92a-59fb-524d-b1e5-22871f132e7a,747,nyt://article/b5e2f92a-59fb-524d-b1e5-22871f132e7a,There's Something Else at Stake in Trump Impeachment: Control of U.S. Senate,,,There's Something Else at Stake in Trump Impeachment: Control of U.S. Senate,,,,By Reuters,[],Reuters,Politics
7,"Pete Buttigieg is betting big on Iowa and New Hampshire, hoping success in the largely white states will help him overcome dismal support from black voters by the time more diverse states weigh in on his bid for the presidency.",https://www.nytimes.com/reuters/2020/01/28/us/28reuters-usa-election-buttigieg.html,"Pete Buttigieg is betting big on Iowa and New Hampshire, hoping success in the largely white states will help him overcome dismal support from black voters by the time more diverse states weigh in on his bid for the presidency.","ORANGEBURG, S.C. — Pete Buttigieg is betting big on Iowa and New Hampshire, hoping success in the largely white states will help him overcome dismal support from black voters by the time more diverse states weigh in on his bid for the presidency.",Reuters,[],[],2020-01-28T19:04:13+0000,article,None,U.S.,News,nyt://article/93a09920-79b2-557f-a582-d0b678a62942,711,nyt://article/93a09920-79b2-557f-a582-d0b678a62942,"As Primaries Near, Buttigieg Struggles to Make Headway With Black Voters",,,"As Primaries Near, Buttigieg Struggles to Make Headway With Black Voters",,,,By Reuters,[],Reuters,
8,"Ask Victor Burch about the impeachment trial of President Donald Trump, and he will rattle off a string of issues of more pressing concern to him, starting with making a living as a barber in this northwestern suburb of Detroit.",https://www.nytimes.com/reuters/2020/01/28/world/europe/28reuters-usa-election-impeachment-michigan.html,"Ask Victor Burch about the impeachment trial of President Donald Trump, and he will rattle off a string of issues of more pressing concern to him, starting with making a living as a barber in this northwestern suburb of Detroit.","LIVONIA, Mich. — Ask Victor Burch about the impeachment trial of President Donald Trump, and he will rattle off a string of issues of more pressing concern to him, starting with making a living as a barber in this northwestern suburb of Detroit.",Reuters,[],[],2020-01-28T19:02:00+0000,article,None,World,News,nyt://article/fefda479-c064-5289-9215-b8a24e33edc8,696,nyt://article/fefda479-c064-5289-9215-b8a24e33edc8,"'Kind of Pointless': In Battleground Michigan, Impeachment Takes Back Seat to Everyday Issues",,,"'Kind of Pointless': In Battleground Michigan, Impeachment Takes Back Seat to Everyday Issues",,,,By Reuters,[],Reuters,Europe
9,"President Donald Trump's lawyers wrapped up their arguments in his impeachment trial on Tuesday with a plea for the Senate to acquit him, and also sought to marginalize former national security adviser John Bolton's explosive allegations about Trump's conduct as ""inadmissible"" in the proceedings.",https://www.nytimes.com/reuters/2020/01/28/world/europe/28reuters-usa-trump-impeachment.html,"President Donald Trump's lawyers wrapped up their arguments in his impeachment trial on Tuesday with a plea for the Senate to acquit him, and also sought to marginalize former national security adviser John Bolton's explosive allegations about Tru...","WASHINGTON — President Donald Trump's lawyers wrapped up their arguments in his impeachment trial on Tuesday with a plea for the Senate to acquit him, and also sought to marginalize former national security adviser John Bolton's explosive allegations about Trump's conduct as ""inadmissible"" in the proceedings.",Reuters,[],[],2020-01-28T19:01:58+0000,article,None,World,News,nyt://article/04558ff2-b5c4-5949-8b35-2a07dfd72b26,1058,nyt://article/04558ff2-b5c4-5949-8b35-2a07dfd72b26,'Time for This to End': Trump Team Asks for Acquittal at Impeachment Trial,,,'Time for This to End': Trump Team Asks for Acquittal at Impeachment Trial,,,,By Reuters,[],Reuters,Europe
