,abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization
0,Rev Dr Coburn named rector; int,https://www.nytimes.com/1969/05/19/archives/coburn-is-named-st-james-rector-exseminary-dean-54-has-been.html,Rev Dr Coburn named rector; int,,96,The New York Times,[],"[{'name': 'persons', 'value': 'Coburn, John B', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'PROTESTANT EPISCOPAL CHURCHES', 'rank': 2, 'major': 'N'}]",1969-05-19T05:00:00+0000,article,None,Archives,Archives,nyt://article/7576db60-ccbe-5f9e-bf60-f8bfc4cf7718,0,nyt://article/7576db60-ccbe-5f9e-bf60-f8bfc4cf7718,"COBURN IS NAMED ST. JAMES' RECTOR; Ex-Seminary Dean, 54, Has Been Teaching in Harlem",,,"COBURN IS NAMED ST. JAMES' RECTOR; Ex-Seminary Dean, 54, Has Been Teaching in Harlem",,,,By Edward B. Fiske,"[{'firstname': 'Edward', 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
1,"C Evers (Miss), R Strauss (Tex), Mrs G Joseph (Minn) apptd at-large members; Rev C Phillips (DC), Mrs F Broderick (Me), Mrs D Banks (Colo) apptd alternates",https://www.nytimes.com/1969/05/18/archives/obituary-1-no-title.html,"C Evers (Miss), R Strauss (Tex), Mrs G Joseph (Minn) apptd at-large members; Rev C Phillips (DC), Mrs F Broderick (Me), Mrs D Banks (Colo) apptd alternates",,87,The New York Times,[],"[{'name': 'organizations', 'value': 'Democratic Party', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'National Committee', 'rank': 2, 'major': 'N'}]",1969-05-18T05:00:00+0000,article,None,Archives,Archives,nyt://article/2c31884d-ffaf-5e80-bd65-2d9fa277d726,0,nyt://article/2c31884d-ffaf-5e80-bd65-2d9fa277d726,Obituary 1 -- No Title,,,Obituary 1 -- No Title,,,,,[],
2,"article on pet show and outdoor charity fete at McClean, Va, estate; illus",https://www.nytimes.com/1969/05/18/archives/guests-at-hickory-hill-find-fun-no-obstacle-to-charity.html,"article on pet show and outdoor charity fete at McClean, Va, estate; illus",,93,The New York Times,[],"[{'name': 'persons', 'value': 'Kennedy, Robert Francis', 'rank': 1, 'major': 'N'}]",1969-05-18T05:00:00+0000,article,None,Archives,Archives,nyt://article/6af335c3-ab6b-566e-98d7-760f47198439,0,nyt://article/6af335c3-ab6b-566e-98d7-760f47198439,Guests at Hickory Hill Find Fun No Obstacle to Charity,,,Guests at Hickory Hill Find Fun No Obstacle to Charity,,,,Special to The New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
3,,https://www.nytimes.com/1969/05/18/archives/birth-notice-1-no-title.html,,,94,The New York Times,[],[],1969-05-18T05:00:00+0000,article,None,Archives,Archives,nyt://article/4cc57bbb-95da-55bf-a4c0-1bd5efa5c7a4,0,nyt://article/4cc57bbb-95da-55bf-a4c0-1bd5efa5c7a4,Birth Notice 1 -- No Title,1,,Birth Notice 1 -- No Title,,,,,[],
4,"Kraus, Jack",https://www.nytimes.com/1969/05/17/archives/jack-kraus-queens-dentist-and-writer-of-wit-49-dies.html,"Kraus, Jack",,33,The New York Times,[],"[{'name': 'persons', 'value': 'KRAUS, JACK', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'DEATHS', 'rank': 2, 'major': 'N'}]",1969-05-17T05:00:00+0000,article,None,Archives,Archives,nyt://article/f472ccd6-81f4-54ae-a064-f8b246c01097,0,nyt://article/f472ccd6-81f4-54ae-a064-f8b246c01097,"Jack Kraus, Queens Dentist And Writer of Wit, 49, Dies",,,"Jack Kraus, Queens Dentist And Writer of Wit, 49, Dies",,,,,[],
5,,https://www.nytimes.com/1969/05/17/archives/obituary-1-no-title.html,,,33,The New York Times,[],[],1969-05-17T05:00:00+0000,article,None,Archives,Archives,nyt://article/fb5b3533-299f-5f68-93f2-15d7e7e0d26c,0,nyt://article/fb5b3533-299f-5f68-93f2-15d7e7e0d26c,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],
6,,https://www.nytimes.com/1969/05/15/archives/obituary-1-no-title.html,,,47,The New York Times,[],[],1969-05-15T05:00:00+0000,article,None,Archives,Archives,nyt://article/f7647515-67f0-5501-9865-0e3a7ab6e48a,0,nyt://article/f7647515-67f0-5501-9865-0e3a7ab6e48a,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],
7,Mrs Eisenhower leaves for Eur; int; illus,https://www.nytimes.com/1969/05/14/archives/mrs-eisenhower-sails-for-europe.html,Mrs Eisenhower leaves for Eur; int; illus,,40,The New York Times,[],"[{'name': 'persons', 'value': 'Eisenhower, Dwight David', 'rank': 1, 'major': 'N'}]",1969-05-14T05:00:00+0000,article,None,Archives,Archives,nyt://article/a0d66d4b-9760-5f9f-8e05-08dc62d9fbc2,0,nyt://article/a0d66d4b-9760-5f9f-8e05-08dc62d9fbc2,Mrs. Eisenhower Sails for Europe,,,Mrs. Eisenhower Sails for Europe,,,,,[],
8,,https://www.nytimes.com/1969/05/14/archives/obituary-1-no-title.html,,,47,The New York Times,[],[],1969-05-14T05:00:00+0000,article,None,Archives,Archives,nyt://article/4dfcfc73-3a7b-5383-aac1-b110ffb9eb39,0,nyt://article/4dfcfc73-3a7b-5383-aac1-b110ffb9eb39,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],
9,"Pvt J D Miles, who heads Ft Bragg antiwar group, petitions post's comdr for permission to circulate leaflet reprinting Army oath of enlistment and Bill of Rights; his antiwar activities noted",https://www.nytimes.com/1969/05/12/archives/the-private-and-the-general-war-foes-petition-poses-challenge.html,"Pvt J D Miles, who heads Ft Bragg antiwar group, petitions post's comdr for permission to circulate leaflet reprinting Army oath of enlistment and Bill of Rights; his antiwar activities noted",,4,The New York Times,[],"[{'name': 'glocations', 'value': 'Vietnam', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'UNITED STATES ARMAMENT AND DEFENSE', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'ARMY', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'GENERAL POLICIES OF BILLIGERENTS, OTHER MAJOR POWERS', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'REACTIONS IN US', 'rank': 5, 'major': 'N'}]",1969-05-12T05:00:00+0000,article,None,Archives,Archives,nyt://article/25b07606-1051-56cd-8cc3-42b4a40aaafd,0,nyt://article/25b07606-1051-56cd-8cc3-42b4a40aaafd,The Private and the General: War Foe's Petition Poses Challenge,,,The Private and the General: War Foe's Petition Poses Challenge,,,,By Ben A. Franklinspecial To the New York Times,"[{'firstname': 'Ben', 'middlename': 'A.', 'lastname': 'Franklinspecial', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
