,abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization
0,,https://www.nytimes.com/1968/04/27/archives/amy-shlossberg-plans-marriage.html,,,23,The New York Times,[],[],1968-04-27T05:00:00+0000,article,None,Archives,Archives,nyt://article/243aa63f-6382-59be-9d96-2535f3292738,0,nyt://article/243aa63f-6382-59be-9d96-2535f3292738,Amy Shlossberg Plans Marriage,1,,Amy Shlossberg Plans Marriage,,,,lctal to Thl New York Tlmem,[],
1,"Article on rising display of nudity in current season, on and off Bway; illus",https://www.nytimes.com/1968/04/25/archives/nudity-moves-into-center-stage-trend-to-nakedness-linked-to-candor.html,"Article on rising display of nudity in current season, on and off Bway; illus",,52,The New York Times,[],"[{'name': 'subject', 'value': 'Theater', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'CENSORSHIP AND BANS', 'rank': 2, 'major': 'N'}]",1968-04-25T05:00:00+0000,article,None,Archives,Archives,nyt://article/4be91786-f11e-5bbd-b179-47aca40b8c29,0,nyt://article/4be91786-f11e-5bbd-b179-47aca40b8c29,Nudity Moves Into Center Stage; Trend to Nakedness Linked to Candor of Other Media,,,Nudity Moves Into Center Stage; Trend to Nakedness Linked to Candor of Other Media,,,,By Dan Sullivan,"[{'firstname': 'Dan', 'middlename': None, 'lastname': 'Sullivan', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
2,"A sure sign of spring is the appearance of the benefit house tour on the social scene. Some of the tours planned during the next five weeks wfil concentrate OnL art collections in private holeS others on houses of architectural interest. In suburban Westchester County, Connecticut and Long Island the emphasis will be on gardens.  ",https://www.nytimes.com/1968/04/24/archives/homes-and-gardens-start-to-bloom-with-benefit-tour-visitors.html,,,57,The New York Times,[],[],1968-04-24T05:00:00+0000,article,None,Archives,Archives,nyt://article/3f89333c-f229-59ad-bd2f-9bd51682c9b2,0,nyt://article/3f89333c-f229-59ad-bd2f-9bd51682c9b2,Homes and Gardens Start to Bloom With Benefit Tour Visitors,1,,Homes and Gardens Start to Bloom With Benefit Tour Visitors,,,,,[],
3,,https://www.nytimes.com/1968/04/22/archives/obituary-1-no-title.html,,,47,The New York Times,[],[],1968-04-22T05:00:00+0000,article,None,Archives,Archives,nyt://article/49489cd4-70c4-599f-9668-fc7d275f616c,0,nyt://article/49489cd4-70c4-599f-9668-fc7d275f616c,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],
4,,https://www.nytimes.com/1968/04/21/archives/birth-notice-1-no-title.html,,,85,The New York Times,[],[],1968-04-21T05:00:00+0000,article,None,Archives,Archives,nyt://article/367865d4-fe9f-50f1-b000-9f4c9df5718e,0,nyt://article/367865d4-fe9f-50f1-b000-9f4c9df5718e,Birth Notice 1 -- No Title,1,,Birth Notice 1 -- No Title,,,,,[],
5,,https://www.nytimes.com/1968/04/21/archives/obituary-1-no-title.html,,,81,The New York Times,[],[],1968-04-21T05:00:00+0000,article,None,Archives,Archives,nyt://article/0f9450aa-5b23-5f2a-ace0-6566b158f060,0,nyt://article/0f9450aa-5b23-5f2a-ace0-6566b158f060,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],
6,,https://www.nytimes.com/1968/04/20/archives/obituary-1-no-title.html,,,33,The New York Times,[],[],1968-04-20T05:00:00+0000,article,None,Archives,Archives,nyt://article/78c59122-5408-570a-8405-4cac150d8ff0,0,nyt://article/78c59122-5408-570a-8405-4cac150d8ff0,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],
7,,https://www.nytimes.com/1968/04/14/archives/dr-frances-ruth-darey-affianced.html,,,64,The New York Times,[],[],1968-04-14T05:00:00+0000,article,None,Archives,Archives,nyt://article/b267a468-9124-5a43-bac0-f18ad40d8021,0,nyt://article/b267a468-9124-5a43-bac0-f18ad40d8021,Dr. Frances Ruth Darey Affianced,1,,Dr. Frances Ruth Darey Affianced,,,,Special to The New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
8,,https://www.nytimes.com/1968/04/14/archives/obituary-1-no-title.html,,,77,The New York Times,[],[],1968-04-14T05:00:00+0000,article,None,Archives,Archives,nyt://article/612d09d6-2006-5fe9-bd5e-947efb0c4b4f,0,nyt://article/612d09d6-2006-5fe9-bd5e-947efb0c4b4f,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],
9,,https://www.nytimes.com/1968/04/13/archives/obituary-1-no-title.html,,,25,The New York Times,[],[],1968-04-13T05:00:00+0000,article,None,Archives,Archives,nyt://article/ccee6231-cb63-5732-9451-cfce8af49473,0,nyt://article/ccee6231-cb63-5732-9451-cfce8af49473,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],
