,abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization
0,,https://www.nytimes.com/1969/07/13/archives/birth-notice-1-no-title.html,,,62,The New York Times,[],[],1969-07-13T05:00:00+0000,article,None,Archives,Archives,nyt://article/2444b733-022b-5655-ac70-c696b8ff363e,0,nyt://article/2444b733-022b-5655-ac70-c696b8ff363e,Birth Notice 1 -- No Title,1,,Birth Notice 1 -- No Title,,,,,[],
1,"Gossage, Howard Luck",https://www.nytimes.com/1969/07/10/archives/howard-gossage-advertising-man-executive-52-was-known-for-unusual.html,"Gossage, Howard Luck",,37,The New York Times,[],"[{'name': 'persons', 'value': 'GOSSAGE, HOWARD LUCK', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'DEATHS', 'rank': 2, 'major': 'N'}]",1969-07-10T05:00:00+0000,article,None,Archives,Archives,nyt://article/b5d4ad18-2253-50fc-9b4a-8e0bc728a732,0,nyt://article/b5d4ad18-2253-50fc-9b4a-8e0bc728a732,"HOWARD GOSSAGE, ADVERTISING MAN; Executive, 52, Was Known for Unusual Campaigns",,,"HOWARD GOSSAGE, ADVERTISING MAN; Executive, 52, Was Known for Unusual Campaigns",,,,Special to The New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
2,,https://www.nytimes.com/1969/07/06/archives/obituary-2-no-title.html,,,45,The New York Times,[],[],1969-07-06T05:00:00+0000,article,None,Archives,Archives,nyt://article/2154afc1-36b5-5b7e-a06d-3b7b3e952115,0,nyt://article/2154afc1-36b5-5b7e-a06d-3b7b3e952115,Obituary 2 -- No Title,1,,Obituary 2 -- No Title,,,,,[],
3,,https://www.nytimes.com/1969/07/06/archives/obituary-1-no-title.html,,,43,The New York Times,[],[],1969-07-06T05:00:00+0000,article,None,Archives,Archives,nyt://article/da2ed852-4a02-5c21-b09f-9aba0b980c47,0,nyt://article/da2ed852-4a02-5c21-b09f-9aba0b980c47,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],
4,,https://www.nytimes.com/1969/07/06/archives/harvard-chapel-scene-of-bridal-of-amy-kovner.html,,,41,The New York Times,[],[],1969-07-06T05:00:00+0000,article,None,Archives,Archives,nyt://article/6ae8e22f-a17a-516b-a6af-725354752e58,0,nyt://article/6ae8e22f-a17a-516b-a6af-725354752e58,Harvard Chapel Scene of Bridal Of Amy Kovner,1,,Harvard Chapel Scene of Bridal Of Amy Kovner,,,,Special to The New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
5,"Ward, Thomas E",https://www.nytimes.com/1969/07/04/archives/obituary-1-no-title.html,"Ward, Thomas E",,21,The New York Times,[],"[{'name': 'persons', 'value': 'WARD, THOMAS E', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'DEATHS', 'rank': 2, 'major': 'N'}]",1969-07-04T05:00:00+0000,article,None,Archives,Archives,nyt://article/ced76a68-6257-5a32-bc1e-72a32b9e538d,0,nyt://article/ced76a68-6257-5a32-bc1e-72a32b9e538d,Obituary 1 -- No Title,,,Obituary 1 -- No Title,,,,,[],
6,"Dutto, Frank G",https://www.nytimes.com/1969/07/03/archives/obituary-1-no-title.html,"Dutto, Frank G",,31,The New York Times,[],"[{'name': 'persons', 'value': 'DUTTO, FRANK G', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'DEATHS', 'rank': 2, 'major': 'N'}]",1969-07-03T05:00:00+0000,article,None,Archives,Archives,nyt://article/5b005ebd-c6b9-5b7c-889e-7a5ed6bd2c23,0,nyt://article/5b005ebd-c6b9-5b7c-889e-7a5ed6bd2c23,Obituary 1 -- No Title,,,Obituary 1 -- No Title,,,,,[],
7,Interior Dept officials and Amer Pub Health Assn spokesmen gather on pier overlooking Potomac and cite it as 'Exhibit A' in US pollution problem; Govt technicians test samples from river; assn pres Breslow comments; Asst Sec Klein says pollution is major concern of Nixon Adm; illus,https://www.nytimes.com/1969/07/03/archives/potomac-is-called-exhibit-a-in-pollution-problem.html,Interior Dept officials and Amer Pub Health Assn spokesmen gather on pier overlooking Potomac and cite it as 'Exhibit A' in US pollution problem; Govt technicians test samples from river; assn pres Breslow comments; Asst Sec Klein says pollution i...,,16,The New York Times,[],"[{'name': 'persons', 'value': 'BOGGS, J CALEB', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Water', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'POLLUTION', 'rank': 3, 'major': 'N'}]",1969-07-03T05:00:00+0000,article,None,Archives,Archives,nyt://article/fb2c3d57-214b-5515-8110-876d1db10598,0,nyt://article/fb2c3d57-214b-5515-8110-876d1db10598,Potomac Is Called 'Exhibit A' in Pollution Problem,,,Potomac Is Called 'Exhibit A' in Pollution Problem,,,,By David E. Rosenbaumspecial To the New York Times,"[{'firstname': 'David', 'middlename': 'E.', 'lastname': 'Rosenbaumspecial', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
8,,https://www.nytimes.com/1969/07/02/archives/obituary-1-no-title.html,,,43,The New York Times,[],[],1969-07-02T05:00:00+0000,article,None,Archives,Archives,nyt://article/e1338db5-234c-52f4-ac8c-a011c5ef3fc4,0,nyt://article/e1338db5-234c-52f4-ac8c-a011c5ef3fc4,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],
9,,https://www.nytimes.com/1969/07/01/archives/obituary-1-no-title.html,,,41,The New York Times,[],[],1969-07-01T05:00:00+0000,article,None,Archives,Archives,nyt://article/ef887172-5bb2-56e1-b3c2-07f65cd73f0c,0,nyt://article/ef887172-5bb2-56e1-b3c2-07f65cd73f0c,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],
