,abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,subsection_name
0,"Republicans near and far are united against a common opponent: San Francisco. In ads and stump speeches, the city is repeatedly flogged as a symbol for out-of-step liberalism.",https://www.nytimes.com/2010/10/31/us/31bcsanfran.html,"Republicans near and far are united against a common opponent: San Francisco. In ads and stump speeches, the city is repeatedly flogged as a symbol for out-of-step liberalism.","The commercial could be mistaken for a low-budget San Francisco tourism advertisement, with images of Fisherman’s Wharf, the Golden Gate Bridge and AT&T Park.",A,33A,The New York Times,"[{'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/10/31/us/31BCSANFRAN3/31BCSANFRAN3-jumbo.jpg', 'height': 683, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/10/31/us/31BCSANFRAN3/31BCSANFRAN3-popup.jpg', 'height': 434, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/10/31/us/31BCSANFRAN3/31BCSANFRAN3-articleInline.jpg', 'height': 127, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}]","[{'name': 'subject', 'value': 'ADVERTISING AND MARKETING', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Political Advertising', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Polls and Public Opinion', 'rank': 4, 'major': 'N'}, {'name': 'glocations', 'value': 'San Francisco (Calif)', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'Democratic Party', 'rank': 6, 'major': 'N'}]",2010-10-31T03:11:57+0000,article,National,U.S.,News,nyt://article/10ba6888-396c-5be2-8ac3-008a19a4a36f,1187,nyt://article/10ba6888-396c-5be2-8ac3-008a19a4a36f,Campaign Ads Portray Liberal Demon by Bay,The Bay Citizen,,Campaign Ads Portray Liberal Demon by Bay,,,,By Zusha Elinson and Gerry Shih,"[{'firstname': 'Zusha', 'middlename': None, 'lastname': 'Elinson', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'Gerry', 'middlename': None, 'lastname': 'Shih', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}]",,
1,"President Obama is in Washington and California today, drumming up support for embattled Democrats — especially among women, and for female candidates.",https://thecaucus.blogs.nytimes.com/2010/10/21/the-early-word-women-out-west/,"President Obama is in Washington and California today, drumming up support for embattled Democrats — especially among women, and for female candidates.","The Election Day outlook for Democrats remains dim, as President Obama, his administration and supporters search for the energy of 2008. Today, women are the focus.",,,The New York Times,[],[],2010-10-21T12:51:39+0000,article,,U.S.,,nyt://article/fb0c2d97-7c95-54b5-8dd7-eadc21455139,630,nyt://article/fb0c2d97-7c95-54b5-8dd7-eadc21455139,The Early Word: Women Out West,The Caucus,,,,,,By Janie Lorber,"[{'firstname': 'Janie', 'middlename': None, 'lastname': 'Lorber', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Politics
2,"Kamala D. Harris, the San Francisco district attorney who has been called the “female Obama,” is the Democratic nominee for state attorney general. She characterizes herself as a child of the civil rights movement.",https://www.nytimes.com/2010/10/01/us/01bckamala.html,"Kamala D. Harris, the San Francisco district attorney who has been called the “female Obama,” is the Democratic nominee for state attorney general. She characterizes herself as a child of the civil rights movement.",LOS ANGELES  The lively gospel singing had barely died down at the First African Methodist Episcopal Church on Sunday when the 800-strong congregation welcomed to the pulpit Kamala D. Harris.,A,21A,The New York Times,"[{'rank': 0, 'subtype': 'wide', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/10/01/us/01bckamala_337-span/01bckamala_337-span-thumbWide.jpg', 'height': 126, 'width': 190, 'legacy': {'widewidth': 190, 'wideheight': 126, 'wide': 'images/2010/10/01/us/01bckamala_337-span/01bckamala_337-span-thumbWide.jpg'}, 'subType': 'wide', 'crop_name': 'thumbWide'}, {'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/10/01/us/01bckamala_337-span/01bckamala_337-395-articleLarge.jpg', 'height': 330, 'width': 600, 'legacy': {'xlarge': 'images/2010/10/01/us/01bckamala_337-span/01bckamala_337-395-articleLarge.jpg', 'xlargewidth': 600, 'xlargeheight': 330}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/10/01/us/01bckamala_337-span/01bckamala_337-395-jumbo.jpg', 'height': 693, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/10/01/us/01bckamala_337-span/01bckamala_337-395-popup.jpg', 'height': 440, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/10/01/us/01bckamala_337-span/01bckamala_337-395-articleInline.jpg', 'height': 132, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/10/01/us/01bckamala_337-span/01bckamala_337-395-sfSpan.jpg', 'height': 250, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/10/01/us/01bckamala_337-span/01bckamala_337-395-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/10/01/us/01bckamala_337-span/01bckamala_337-395-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'persons', 'value': 'Harris, Kamala D', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'District Attorneys', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Cooley, Steve', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Attorneys General', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Elections', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'California', 'rank': 6, 'major': 'N'}]",2010-10-01T03:24:25+0000,article,National,U.S.,News,nyt://article/5074329e-0f3b-50af-a0e0-504a010b1375,1210,nyt://article/5074329e-0f3b-50af-a0e0-504a010b1375,San Francisco District Attorney Is Tireless in State Campaign,The Bay Citizen,,San Francisco District Attorney Is Tireless in State Campaign,,,,By Gerry Shih,"[{'firstname': 'Gerry', 'middlename': None, 'lastname': 'Shih', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
3,"Mayor Gavin Newsom has recently stepped out of the limelight in the debate on same-sex marriage, but the impact on his campaign for lieutenant governor is unclear.",https://www.nytimes.com/2010/08/20/us/20bcnewsom.html,"Mayor Gavin Newsom has recently stepped out of the limelight in the debate on same-sex marriage, but the impact on his campaign for lieutenant governor is unclear.","On the night of Aug. 4, after a federal district judge struck down Proposition 8, California’s ban on same-sex marriage, a gaggle of San Francisco politicians worked their way up the City Hall steps to rally the jubilant crowd of 800 that was roaring its approval for the landmark ruling.",A,17A,The New York Times,"[{'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/08/20/us/20BCnewsom1/20BCnewsom1-jumbo.jpg', 'height': 720, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/08/20/us/20BCnewsom1/20BCnewsom1-popup.jpg', 'height': 457, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/08/20/us/20BCnewsom1/20BCnewsom1-articleInline.jpg', 'height': 230, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/08/20/us/20BCnewsom1/20BCnewsom1-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/08/20/us/20BCnewsom1/20BCnewsom1-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'persons', 'value': 'Newsom, Gavin', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'San Francisco (Calif)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Same-Sex Marriage, Civil Unions and Domestic Partnerships', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Elections', 'rank': 4, 'major': 'N'}, {'name': 'glocations', 'value': 'California', 'rank': 5, 'major': 'N'}]",2010-08-20T01:31:16+0000,article,National,U.S.,News,nyt://article/925be14b-0f02-5a12-a949-db559633a08d,1148,nyt://article/925be14b-0f02-5a12-a949-db559633a08d,Newsom Steps Away From Limelight on Same-Sex Marriage,The Bay Citizen,,Newsom Steps Away From Limelight on Same-Sex Marriage,,,,By Gerry Shih,"[{'firstname': 'Gerry', 'middlename': None, 'lastname': 'Shih', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
4,"The volunteerism of Craig Weber, a self-described nobody, has placed him in the cross hairs of unions vigorously fighting efforts to overhaul San Francisco’s public employee pension fund.",https://www.nytimes.com/2010/07/25/us/25bcjury.html,"The volunteerism of Craig Weber, a self-described nobody, has placed him in the cross hairs of unions vigorously fighting efforts to overhaul San Francisco’s public employee pension fund.","Two years ago, a San Francisco accountant, Craig Weber, noticed a flier posted at the Mission Bay public library. It sought volunteers for the civil grand jury, a panel of 19 citizens empowered to investigate local government. ",A,25A,The New York Times,"[{'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/07/25/us/25BCJURY2/25BCJURY2-jumbo.jpg', 'height': 681, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/07/25/us/25BCJURY2/25BCJURY2-popup.jpg', 'height': 432, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/07/25/us/25BCJURY2/25BCJURY2-articleInline.jpg', 'height': 178, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/07/25/us/25BCJURY2/25BCJURY2-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/07/25/us/25BCJURY2/25BCJURY2-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Pensions and Retirement Plans', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Conflicts of Interest', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'San Francisco (Calif)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Volunteers and Community Service', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Jury System', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Organized Labor', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Ethics', 'rank': 7, 'major': 'N'}]",2010-07-24T23:35:04+0000,article,National,U.S.,News,nyt://article/974ddb6a-1073-58fe-9106-f7074c7c0708,1355,nyt://article/974ddb6a-1073-58fe-9106-f7074c7c0708,Jury Volunteer Stirs Up a Pension Fund Tempest,The Bay Citizen,,Jury Volunteer Stirs Up a Pension Fund Tempest,,,,By Elizabeth Lesly Stevens,"[{'firstname': 'Elizabeth', 'middlename': 'Lesly', 'lastname': 'Stevens', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
5,A cadre of African-American religious leaders have joined against a measure to tax and regulate marijuana.,https://www.nytimes.com/2010/07/20/us/20pot.html,A cadre of African-American religious leaders have joined against a measure to tax and regulate marijuana.,SACRAMENTO  Ron Allen says he knows all too well the ravages of drug addiction.,A,15,The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/07/20/us/20pot2_span/20pot2_span-articleLarge-v2.jpg', 'height': 330, 'width': 600, 'legacy': {'xlarge': 'images/2010/07/20/us/20pot2_span/20pot2_span-articleLarge-v2.jpg', 'xlargewidth': 600, 'xlargeheight': 330}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/07/20/us/20pot2_span/20pot2_span-popup.jpg', 'height': 440, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/07/20/us/20pot2_span/20pot2_span-articleInline.jpg', 'height': 129, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/07/20/us/20pot2_span/20pot2_span-sfSpan-v2.jpg', 'height': 250, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/07/20/us/20pot2_span/20pot2_span-thumbStandard-v2.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/07/20/us/20pot2_span/20pot2_span-thumbStandard-v2.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Law and Legislation', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Marijuana', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Drug Abuse and Traffic', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Blacks', 'rank': 4, 'major': 'N'}, {'name': 'glocations', 'value': 'California', 'rank': 5, 'major': 'N'}]",2010-07-19T20:43:58+0000,article,National,U.S.,News,nyt://article/062f2a66-0716-5900-a0ee-0a731a096c98,1288,nyt://article/062f2a66-0716-5900-a0ee-0a731a096c98,California Blacks Split Over Marijuana Measure,,,"In California, Black Voters Are Deeply Split Over Bid to Legalize Marijuana",,,,By Jesse McKinley,"[{'firstname': 'Jesse', 'middlename': None, 'lastname': 'McKinley', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
6,The union that represents players in Major League Soccer recently released a list of player salaries for the 2010 season.,https://goal.blogs.nytimes.com/2010/06/22/players-union-releases-2010-m-l-s-salaries/,The union that represents players in Major League Soccer recently released a list of player salaries for the 2010 season.,"Under cover of the World Cup and amid Major League Soccer’s first break for it, the union that represents the North American league’s players has released its list of salaries for the 406 players under contract in 2010. And while the world’s most highly compensated soccer players scurry across the fields of South Africa, the more modestly paid M.L.S. players, where the average pay package is $138,169, down 6.6 percent from last season’s $147,945, are preparing to return to action this weekend.",,,The New York Times,[],[],2010-06-22T14:00:04+0000,article,,Sports,,nyt://article/f06e863d-ecce-5151-9bc8-4c9f1f4cc60e,416,nyt://article/f06e863d-ecce-5151-9bc8-4c9f1f4cc60e,Players Union Releases 2010 M.L.S. Salaries,Goal,,,,,,By Jack Bell,"[{'firstname': 'Jack', 'middlename': None, 'lastname': 'Bell', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Soccer
7,"A plan to make sitting or lying on a San Francisco sidewalk illegal in many circumstances is a direct result of a vicious assault last December, but the assault victim does not support the proposal.",https://www.nytimes.com/2010/06/11/us/11bcjames.html,"A plan to make sitting or lying on a San Francisco sidewalk illegal in many circumstances is a direct result of a vicious assault last December, but the assault victim does not support the proposal.","Every fire begins with a spark. For San Francisco’s controversial proposed sit/lie law, the inciting incident happened on a Wednesday night in early December in the Haight  an act of violence so brutal it inspired a grass-roots movement.",A,25A,The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/06/11/us/11bcjames_inline/BC-JAMES-popup.jpg', 'height': 433, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/06/11/us/11bcjames_inline/BC-JAMES-articleInline.jpg', 'height': 126, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/06/11/us/11bcjames_inline/BC-JAMES-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/06/11/us/11bcjames_inline/BC-JAMES-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Assaults', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Bay Citizen, The', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'San Francisco (Calif)', 'rank': 3, 'major': 'N'}]",2010-06-11T04:04:43+0000,article,National,U.S.,News,nyt://article/2bcabec9-44e8-5748-a60e-923f8829d312,842,nyt://article/2bcabec9-44e8-5748-a60e-923f8829d312,"A Violent Incident Leaves Scars, and Perhaps a Tough New Law",The Bay Citizen,,"A Violent Incident Leaves Scars, and Perhaps a Tough New Law",,,,By Scott James,"[{'firstname': 'Scott', 'middlename': None, 'lastname': 'James', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
8,"An unlikely pair, a Republican district attorney and a criminal-defense lawyer, may be the key to reform in California. ",https://www.nytimes.com/2010/05/23/magazine/23strikes-t.html,"An unlikely pair, a Republican district attorney and a criminal-defense lawyer, may be the key to reform in California. ","One day last fall, Norman Williams sat drinking hot chocolate with his lawyer, Michael Romano, at a Peet’s coffee in Palo Alto, Calif. At an outdoor table, Williams began to talk about how he’d gone from serving a life sentence at Folsom State Prison to sitting there in the sun. “After being shut down for so many years. I didn’t believe it,” he said of the judge’s decision to release him in April 2009. ",MM,40,The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/05/23/magazine/23strikes/23strikes-popup.jpg', 'height': 500, 'width': 398, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/05/23/magazine/23strikes/23strikes-articleInline.jpg', 'height': 242, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/05/23/magazine/23strikes/23strikes-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/05/23/magazine/23strikes/23strikes-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'persons', 'value': 'Romano, Michael', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'District Attorneys', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Williams, Norman', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Cooley, Steve', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Sentences (Criminal)', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Law and Legislation', 'rank': 6, 'major': 'N'}, {'name': 'glocations', 'value': 'California', 'rank': 7, 'major': 'N'}]",2010-05-21T14:01:20+0000,article,Magazine,Magazine,News,nyt://article/eb53f12f-2c91-508f-bde7-9df3d6dba7d3,3028,nyt://article/eb53f12f-2c91-508f-bde7-9df3d6dba7d3,Arguing Three Strikes,,,Arguing Three Strikes ,,,,By Emily Bazelon,"[{'firstname': 'Emily', 'middlename': None, 'lastname': 'Bazelon', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
9,A selection of stories of interest to residents of the Bay Area.,https://bayarea.blogs.nytimes.com/2010/05/21/sampler-tesla-toyota-lance-armstrong-and-harvey-milk/,A selection of stories of interest to residents of the Bay Area.,"Telsa and Toyota to Build Electric Cars at Nummi Plant | Electric car manufacturing is coming to Fremont. Tesla Motors announced on Thursday that it would work with Toyota to build its Model S sedan, an all-electric vehicle, at the shuttered Nummi plant. The deal is expected to create more than 1,000 jobs. Toyota will invest $50 million in Tesla, which will buy the plant, where it plans to produce 20,000 electric vehicles a year. The cars are to have a range of 300 miles and sell for $50,000. The operation will occupy a small part of the plant, leaving room for more models to be made there in the future. [The San Jose Mercury News]",,,The New York Times,[],[],2010-05-21T11:31:27+0000,article,,U.S.,,nyt://article/7ee07827-b1f4-5ff5-b823-7a63c1f2f569,864,nyt://article/7ee07827-b1f4-5ff5-b823-7a63c1f2f569,"Sampler: Tesla, Toyota, Lance Armstrong and Harvey Milk",Bay Area,,,,,,By Katharine Mieszkowski,"[{'firstname': 'Katharine', 'middlename': None, 'lastname': 'Mieszkowski', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
