,abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,subsection_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization
0,Turkey dismissed U.S. President Donald Trump's Middle East plan on Tuesday as an attempt to steal Palestinian lands and kill off prospects of establishing a Palestinian state alongside Israel. ,https://www.nytimes.com/reuters/2020/01/29/world/middleeast/28reuters-israel-palestinians-plan-turkey.html,Turkey dismissed U.S. President Donald Trump's Middle East plan on Tuesday as an attempt to steal Palestinian lands and kill off prospects of establishing a Palestinian state alongside Israel. ,ANKARA — Turkey dismissed U.S. President Donald Trump's Middle East plan on Tuesday as an attempt to steal Palestinian lands and kill off prospects of establishing a Palestinian state alongside Israel. ,Reuters,[],[],2020-01-29T07:16:40+0000,article,None,World,Middle East,News,nyt://article/7d19ee8a-0f8a-5405-a7b4-317cc587ca49,72,nyt://article/7d19ee8a-0f8a-5405-a7b4-317cc587ca49,Trump's Middle East Plan Would Steal Palestinian Land-Turkey,,,Trump's Middle East Plan Would Steal Palestinian Land-Turkey,,,,By Reuters,[],Reuters
1,"Jordan said on Tuesday the only path to a comprehensive and lasting Middle East peace was the establishment of an independent Palestinian state based on land captured by Israel in a 1967 war, and with East Jerusalem as its capital.",https://www.nytimes.com/reuters/2020/01/29/world/middleeast/28reuters-israel-palestinians-plan-jordan.html,"Jordan said on Tuesday the only path to a comprehensive and lasting Middle East peace was the establishment of an independent Palestinian state based on land captured by Israel in a 1967 war, and with East Jerusalem as its capital.","BEIRUT — Jordan said on Tuesday the only path to a comprehensive and lasting Middle East peace was the establishment of an independent Palestinian state based on land captured by Israel in a 1967 war, and with East Jerusalem as its capital.",Reuters,[],[],2020-01-29T07:16:30+0000,article,None,World,Middle East,News,nyt://article/ece49d09-c9ef-5a3b-98dc-d2f7893c2097,212,nyt://article/ece49d09-c9ef-5a3b-98dc-d2f7893c2097,Jordan Says Two-State Solution Only Path to Mideast Peace,,,Jordan Says Two-State Solution Only Path to Mideast Peace,,,,By Reuters,[],Reuters
2,"The United Arab Emirates' ambassador to Washington said in a statement on Tuesday that the UAE believes Palestinians and Israelis can achieve lasting peace and genuine coexistence with the support of the international community, the UAE Embassy in Washington said on Twitter.",https://www.nytimes.com/reuters/2020/01/29/world/middleeast/28reuters-israel-palestinians-plan-emirates.html,"The United Arab Emirates' ambassador to Washington said in a statement on Tuesday that the UAE believes Palestinians and Israelis can achieve lasting peace and genuine coexistence with the support of the international community, the UAE Embassy in...","CAIRO — The United Arab Emirates' ambassador to Washington said in a statement on Tuesday that the UAE believes Palestinians and Israelis can achieve lasting peace and genuine coexistence with the support of the international community, the UAE Embassy in Washington said on Twitter.",Reuters,[],[],2020-01-29T07:13:24+0000,article,None,World,Middle East,News,nyt://article/92b0c782-6a97-5602-8fef-e52984ea93a6,155,nyt://article/92b0c782-6a97-5602-8fef-e52984ea93a6,UAE Believes Palestinians and Israelis Can Achieve Lasting Peace-Ambassador to U.S.,,,UAE Believes Palestinians and Israelis Can Achieve Lasting Peace-Ambassador to U.S.,,,,By Reuters,[],Reuters
3,"Egypt called on Tuesday on Palestinians and Israelis to carefully consider a peace plan announced by U.S. President Donald Trump, with a view to resuming negotiations. ",https://www.nytimes.com/reuters/2020/01/29/world/middleeast/28reuters-israel-palestinians-plan-egypt.html,"Egypt called on Tuesday on Palestinians and Israelis to carefully consider a peace plan announced by U.S. President Donald Trump, with a view to resuming negotiations. ","CAIRO — Egypt called on Tuesday on Palestinians and Israelis to carefully consider a peace plan announced by U.S. President Donald Trump, with a view to resuming negotiations. ",Reuters,[],[],2020-01-29T07:10:12+0000,article,None,World,Middle East,News,nyt://article/01f64e9f-b090-5237-9164-c129cea8adea,71,nyt://article/01f64e9f-b090-5237-9164-c129cea8adea,Egypt Calls for Dialogue Over U.S. Mideast Peace Plan,,,Egypt Calls for Dialogue Over U.S. Mideast Peace Plan,,,,By Reuters,[],Reuters
4,"Saudi Arabia's King Salman reassured the Kingdom's commitment to the Palestinian issue and Palestinian rights, in a phone call with Palestinian president Mahmoud Abbas, the Saudi state news agency reported early on Wednesday.",https://www.nytimes.com/reuters/2020/01/29/world/middleeast/28reuters-israel-palestinians-plan-saudi-king.html,"Saudi Arabia's King Salman reassured the Kingdom's commitment to the Palestinian issue and Palestinian rights, in a phone call with Palestinian president Mahmoud Abbas, the Saudi state news agency reported early on Wednesday.","CAIRO — Saudi Arabia's King Salman reassured the Kingdom's commitment to the Palestinian issue and Palestinian rights, in a phone call with Palestinian president Mahmoud Abbas, the Saudi state news agency reported early on Wednesday.",Reuters,[],[],2020-01-29T07:04:08+0000,article,None,World,Middle East,News,nyt://article/b1687458-5243-589e-b81a-b9ba68cb506e,68,nyt://article/b1687458-5243-589e-b81a-b9ba68cb506e,King Salman Reassures Saudi Arabia's Commitment to the Palestinian Issue,,,King Salman Reassures Saudi Arabia's Commitment to the Palestinian Issue,,,,By Reuters,[],Reuters
5,"Senate Republicans plan to meet later on Tuesday and are expected to discuss whether to call witnesses in the impeachment trial of U.S. President Donald Trump, NBC reported, citing four unnamed Republican aides.",https://www.nytimes.com/reuters/2020/01/29/world/europe/28reuters-usa-trump-impeachment-republicans.html,"Senate Republicans plan to meet later on Tuesday and are expected to discuss whether to call witnesses in the impeachment trial of U.S. President Donald Trump, NBC reported, citing four unnamed Republican aides.","WASHINGTON — Senate Republicans plan to meet later on Tuesday and are expected to discuss whether to call witnesses in the impeachment trial of U.S. President Donald Trump, NBC reported, citing four unnamed Republican aides.",Reuters,[],[],2020-01-29T07:01:43+0000,article,None,World,Europe,News,nyt://article/dfd1b325-d75b-5443-acdd-f6aa729069e4,76,nyt://article/dfd1b325-d75b-5443-acdd-f6aa729069e4,U.S. Senate Republicans to Discuss Trump Impeachment Trial Witnesses-NBC,,,U.S. Senate Republicans to Discuss Trump Impeachment Trial Witnesses-NBC,,,,By Reuters,[],Reuters
6,"Britain called on Israeli and Palestinian leaders to give fair consideration to a U.S. plan to bring peace to the Middle East, foreign minister, Dominic Raab, said on Tuesday.",https://www.nytimes.com/reuters/2020/01/29/world/europe/28reuters-israel-palestinians-plan-britain-raab.html,"Britain called on Israeli and Palestinian leaders to give fair consideration to a U.S. plan to bring peace to the Middle East, foreign minister, Dominic Raab, said on Tuesday.","LONDON — Britain called on Israeli and Palestinian leaders to give fair consideration to a U.S. plan to bring peace to the Middle East, foreign minister, Dominic Raab, said on Tuesday.",Reuters,[],[],2020-01-29T06:58:09+0000,article,None,World,Europe,News,nyt://article/5f301fef-dd3a-52cc-8c5b-31715d62591c,168,nyt://article/5f301fef-dd3a-52cc-8c5b-31715d62591c,"Britain Urges Israeli, Palestinian Leaders to Give Fair Consideration to U.S. Plan",,,"Britain Urges Israeli, Palestinian Leaders to Give Fair Consideration to U.S. Plan",,,,By Reuters,[],Reuters
7,"Lebanon's Iran-backed Hezbollah group on Tuesday rejected U.S. President Donald Trump's Middle East peace plan as a means to destroy Palestinians' rights, and accused Arab states of being complicit in a ""deal of shame"" that bodes ill for the region.",https://www.nytimes.com/reuters/2020/01/29/world/middleeast/28reuters-israel-palestinians-plan-hezbollah.html,"Lebanon's Iran-backed Hezbollah group on Tuesday rejected U.S. President Donald Trump's Middle East peace plan as a means to destroy Palestinians' rights, and accused Arab states of being complicit in a ""deal of shame"" that bodes ill for the regio...","DUBAI — Lebanon's Iran-backed Hezbollah group on Tuesday rejected U.S. President Donald Trump's Middle East peace plan as a means to destroy Palestinians' rights, and accused Arab states of being complicit in a ""deal of shame"" that bodes ill for the region.",Reuters,[],[],2020-01-29T06:55:19+0000,article,None,World,Middle East,News,nyt://article/753b363a-08a6-59ef-92dc-6aabf2025b65,110,nyt://article/753b363a-08a6-59ef-92dc-6aabf2025b65,"Trump's 'Deal of Shame' Dangerous for Middle East, Says Lebanon's Hezbollah",,,"Trump's 'Deal of Shame' Dangerous for Middle East, Says Lebanon's Hezbollah",,,,By Reuters,[],Reuters
8,"U.S. President Donald Trump on Tuesday praised Secretary of State Mike Pompeo for his handling of a National Public Radio reporter who Pompeo shouted at, cursed, and called a liar after a contentious interview.  ",https://www.nytimes.com/reuters/2020/01/29/world/europe/28reuters-usa-ukraine-pompeo-media.html,"U.S. President Donald Trump on Tuesday praised Secretary of State Mike Pompeo for his handling of a National Public Radio reporter who Pompeo shouted at, cursed, and called a liar after a contentious interview.  ","WASHINGTON — U.S. President Donald Trump on Tuesday praised Secretary of State Mike Pompeo for his handling of a National Public Radio reporter who Pompeo shouted at, cursed, and called a liar after a contentious interview. ",Reuters,[],[],2020-01-29T06:55:17+0000,article,None,World,Europe,News,nyt://article/17af3b21-2a84-54d4-9cc6-36fc21a2bf19,423,nyt://article/17af3b21-2a84-54d4-9cc6-36fc21a2bf19,Trump Praises Pompeo for Doing 'a Good Job on' NPR Reporter,,,Trump Praises Pompeo for Doing 'a Good Job on' NPR Reporter,,,,By Reuters,[],Reuters
9,"Television viewership for the third presidential impeachment trial in U.S. history rose as President Donald Trump's attorneys began laying out their case for his acquittal by the Senate, according to Nielsen data released on Tuesday.",https://www.nytimes.com/reuters/2020/01/29/us/28reuters-usa-trump-impeachment-ratings.html,"Television viewership for the third presidential impeachment trial in U.S. history rose as President Donald Trump's attorneys began laying out their case for his acquittal by the Senate, according to Nielsen data released on Tuesday.","(Reuters) - Television viewership for the third presidential impeachment trial in U.S. history rose as President Donald Trump's attorneys began laying out their case for his acquittal by the Senate, according to Nielsen data released on Tuesday.",Reuters,[],[],2020-01-29T06:52:37+0000,article,None,U.S.,,News,nyt://article/f620dbb0-d4df-5d20-be80-97104404faf2,326,nyt://article/f620dbb0-d4df-5d20-be80-97104404faf2,Impeachment TV Ratings Rebound as Trump Lawyers Argue His Case,,,Impeachment TV Ratings Rebound as Trump Lawyers Argue His Case,,,,By Reuters,[],Reuters
