,abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,print_section
0,,https://www.nytimes.com/1968/03/10/archives/obituary-1-no-title.html,,,93,The New York Times,[],[],1968-03-10T05:00:00+0000,article,None,Archives,Archives,nyt://article/304f0db3-53b1-52e3-b59e-f05def59ea5c,0,nyt://article/304f0db3-53b1-52e3-b59e-f05def59ea5c,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],,
1,,https://www.nytimes.com/1968/03/09/archives/obituary-1-no-title.html,,,29,The New York Times,[],[],1968-03-09T05:00:00+0000,article,None,Archives,Archives,nyt://article/0ced00c0-b50b-507b-a8bd-62373a1603af,0,nyt://article/0ced00c0-b50b-507b-a8bd-62373a1603af,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],,
2,"Jones, W Rand",https://www.nytimes.com/1968/03/09/archives/w-rand-jones.html,"Jones, W Rand",,29,The New York Times,[],"[{'name': 'persons', 'value': 'JONES, W RAND', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'DEATHS', 'rank': 2, 'major': 'N'}]",1968-03-09T05:00:00+0000,article,None,Archives,Archives,nyt://article/9f969c4a-4dd9-560f-ab6d-7730106e67dc,0,nyt://article/9f969c4a-4dd9-560f-ab6d-7730106e67dc,W. RAND JONES,,,W. RAND JONES,,,,Special to The New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
3,,https://www.nytimes.com/1968/03/04/archives/miriam-brickman-pianist-makes-debut-at-town-hall.html,,,30,The New York Times,[],[],1968-03-04T05:00:00+0000,article,None,Archives,Archives,nyt://article/ba9ac59c-983a-5036-871b-5d335ac25f34,0,nyt://article/ba9ac59c-983a-5036-871b-5d335ac25f34,"Miriam Brickman, Pianist, Makes Debut at Town Hall",1,,"Miriam Brickman, Pianist, Makes Debut at Town Hall",,,,THEODORE STRONGIN,"[{'firstname': 'Theodore', 'middlename': None, 'lastname': 'STRONGIN', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
4,"I AM tired of reading advice on how to travel with children. The articles and books make it sound so complicated. Many of them tell mothers what they already know, like ""bring a box of crayons on the plane to keep the children busy.""  ",https://www.nytimes.com/1968/03/03/archives/children-and-travel.html,,,3,The New York Times,[],[],1968-03-03T05:00:00+0000,article,None,Archives,Archives,nyt://article/3dc0a210-63ab-56c8-bcdd-cd98df479a16,0,nyt://article/3dc0a210-63ab-56c8-bcdd-cd98df479a16,Children and Travel,1,,Children and Travel,,,,AMY HARROWE,"[{'firstname': 'Amy', 'middlename': None, 'lastname': 'HARROWE', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,RESORTS
5,"A Miller and Rev W S Coffin Jr score US policy, rally, Conn; urge support of McCarthy",https://www.nytimes.com/1968/03/03/archives/god-and-that-man-at-yale-chaplain-coffin-cont.html,"A Miller and Rev W S Coffin Jr score US policy, rally, Conn; urge support of McCarthy",,30,The New York Times,[],"[{'name': 'glocations', 'value': 'Vietnam', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Democratic Party', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'COFFIN, WILLIAM SLOANE JR', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'COFFIN, WILLIAM SLOANE JR', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Presidential Election of 1968', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'ASPIRANTS', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'UNITED STATES ARMAMENT AND DEFENSE', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'DRAFT, RECRUITMENT AND MOBILIZATION', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'GENERAL POLICIES OF BELLIGERENTS, OTHER MAJOR POWERS', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'REACTIONS IN US', 'rank': 10, 'major': 'N'}]",1968-03-03T05:00:00+0000,article,None,Archives,Archives,nyt://article/db09c23c-92eb-5ccb-a481-c3c8f3268dce,0,nyt://article/db09c23c-92eb-5ccb-a481-c3c8f3268dce,God and That Man At Yale; Chaplain Coffin (Cont.),,,God and That Man At Yale; Chaplain Coffin (Cont.),,,,By Fred C. Shapiro,"[{'firstname': 'Fred', 'middlename': 'C.', 'lastname': 'Shapiro', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,SM
6,Weds C B Kellar,https://www.nytimes.com/1968/03/02/archives/amy-vanderbilt-curtis-b-kellar-are-wed-here.html,Weds C B Kellar,,21,The New York Times,[],"[{'name': 'persons', 'value': 'Vanderbilt, Amy', 'rank': 1, 'major': 'N'}]",1968-03-02T05:00:00+0000,article,None,Archives,Archives,nyt://article/0b62a6fe-c381-59bf-ae84-b44555e07a5c,0,nyt://article/0b62a6fe-c381-59bf-ae84-b44555e07a5c,"Amy Vanderbilt, Curtis B. Kellar Are Wed Here",,,"Amy Vanderbilt, Curtis B. Kellar Are Wed Here",,,,,[],,
7,,https://www.nytimes.com/1968/03/01/archives/obituary-1-no-title.html,,,37,The New York Times,[],[],1968-03-01T05:00:00+0000,article,None,Archives,Archives,nyt://article/976e1db0-ea32-592e-a664-9ad412bf7e0d,0,nyt://article/976e1db0-ea32-592e-a664-9ad412bf7e0d,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],,
8,,https://www.nytimes.com/1968/02/27/archives/obituary-1-no-title.html,,,43,The New York Times,[],"[{'name': 'persons', 'value': 'Johnson, Lyndon Baines', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Travel and Vacations', 'rank': 2, 'major': 'N'}]",1968-02-27T05:00:00+0000,article,None,Archives,Archives,nyt://article/9fcd2fce-4505-52ee-8fbd-c82849f4ba73,0,nyt://article/9fcd2fce-4505-52ee-8fbd-c82849f4ba73,Obituary 1 -- No Title,,,Obituary 1 -- No Title,,,,,[],,
9,,https://www.nytimes.com/1968/02/25/archives/mrs-g-f-bach-has-child.html,,,66,The New York Times,[],[],1968-02-25T05:00:00+0000,article,None,Archives,Archives,nyt://article/08b18746-14f5-5e71-ad8f-bd2f900e6a4c,0,nyt://article/08b18746-14f5-5e71-ad8f-bd2f900e6a4c,Mrs. G. F. Bach Has Child,1,,Mrs. G. F. Bach Has Child,,,,,[],,
