,abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization
0,,https://www.nytimes.com/1969/06/23/archives/obituary-1-no-title.html,,,39,The New York Times,[],[],1969-06-23T05:00:00+0000,article,None,Archives,Archives,nyt://article/510b6284-f78f-5e70-916c-08533d857447,0,nyt://article/510b6284-f78f-5e70-916c-08533d857447,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],
1,,https://www.nytimes.com/1969/06/22/archives/birth-notice-1-no-title.html,,,66,The New York Times,[],[],1969-06-22T05:00:00+0000,article,None,Archives,Archives,nyt://article/bd185283-37cc-5d7c-b825-d8c2d661c9bc,0,nyt://article/bd185283-37cc-5d7c-b825-d8c2d661c9bc,Birth Notice 1 -- No Title,1,,Birth Notice 1 -- No Title,,,,,[],
2,"More than 200 counselors and staff members who are to serve 2,500 children from poverty neighborhoods of metropolitan New York this summer at the Fresh Air Fund's 3,000-acre camping and nature center on Sharpe Reservation, Fishkill, N.Y., are undergoing a ""learn-in"" there.  ",https://www.nytimes.com/1969/06/22/archives/fresh-air-fund-aides-training-first-campers-to-arrive-friday.html,,,58,The New York Times,[],[],1969-06-22T05:00:00+0000,article,None,Archives,Archives,nyt://article/bf9e69dd-f891-5348-8bb5-06876f8d3c0b,0,nyt://article/bf9e69dd-f891-5348-8bb5-06876f8d3c0b,Fresh Air Fund Aides Training; First Campers to Arrive Friday,1,,Fresh Air Fund Aides Training; First Campers to Arrive Friday,,,,,[],
3,,https://www.nytimes.com/1969/06/22/archives/obituary-1-no-title.html,,,69,The New York Times,[],[],1969-06-22T05:00:00+0000,article,None,Archives,Archives,nyt://article/b1c3f0ac-66a5-524b-983f-76c397b0694b,0,nyt://article/b1c3f0ac-66a5-524b-983f-76c397b0694b,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],
4,,https://www.nytimes.com/1969/06/22/archives/marriage-announcement-1-no-title.html,,,66,The New York Times,[],[],1969-06-22T05:00:00+0000,article,None,Archives,Archives,nyt://article/432f94e4-04f0-5c32-894b-027ae22e82e3,0,nyt://article/432f94e4-04f0-5c32-894b-027ae22e82e3,Marriage Announcement 1 -- No Title,1,,Marriage Announcement 1 -- No Title,,,,,[],
5,"Perkins, Donald (Mrs) (Helen)",https://www.nytimes.com/1969/06/20/archives/obituary-1-no-title.html,"Perkins, Donald (Mrs) (Helen)",,41,The New York Times,[],"[{'name': 'persons', 'value': 'PERKINS, DONALD', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'DEATHS', 'rank': 2, 'major': 'N'}]",1969-06-20T05:00:00+0000,article,None,Archives,Archives,nyt://article/1181c043-75ab-5b4f-8647-1a8e72881d59,0,nyt://article/1181c043-75ab-5b4f-8647-1a8e72881d59,Obituary 1 -- No Title,,,Obituary 1 -- No Title,,,,,[],
6,"apptmt approved, Sen com",https://www.nytimes.com/1969/06/19/archives/obituary-1-no-title.html,"apptmt approved, Sen com",,45,The New York Times,[],"[{'name': 'persons', 'value': 'JOHNSON, DONALD E.', 'rank': 1, 'major': 'N'}]",1969-06-19T05:00:00+0000,article,None,Archives,Archives,nyt://article/e56db50e-18b0-57ea-b267-9a15f1071bbf,0,nyt://article/e56db50e-18b0-57ea-b267-9a15f1071bbf,Obituary 1 -- No Title,,,Obituary 1 -- No Title,,,,,[],
7,,https://www.nytimes.com/1969/06/17/archives/obituary-1-no-title.html,,,47,The New York Times,[],[],1969-06-17T05:00:00+0000,article,None,Archives,Archives,nyt://article/74da3492-9020-5e3a-949a-435784ee4829,0,nyt://article/74da3492-9020-5e3a-949a-435784ee4829,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],
8,,https://www.nytimes.com/1969/06/16/archives/obituary-1-no-title.html,,,47,The New York Times,[],[],1969-06-16T05:00:00+0000,article,None,Archives,Archives,nyt://article/12c29fa3-da1b-527f-a3c5-cac7252d170c,0,nyt://article/12c29fa3-da1b-527f-a3c5-cac7252d170c,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],
9,,https://www.nytimes.com/1969/06/15/archives/marriage-announcement-1-no-title.html,,,66,The New York Times,[],[],1969-06-15T05:00:00+0000,article,None,Archives,Archives,nyt://article/d3cf29bf-c5fe-5a3d-bbd8-10c6f5bd35f9,0,nyt://article/d3cf29bf-c5fe-5a3d-bbd8-10c6f5bd35f9,Marriage Announcement 1 -- No Title,1,,Marriage Announcement 1 -- No Title,,,,,[],
