,abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,print_section
0,,https://www.nytimes.com/1968/10/31/archives/obituary-1-no-title.html,,,47,The New York Times,[],[],1968-10-31T05:00:00+0000,article,None,Archives,Archives,nyt://article/0c6e9cd7-ce8f-55ce-9272-13361022124f,0,nyt://article/0c6e9cd7-ce8f-55ce-9272-13361022124f,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],,
1,"Zucker, Abraham W (Mrs)",https://www.nytimes.com/1968/10/30/archives/obituary-1-no-title.html,"Zucker, Abraham W (Mrs)",,47,The New York Times,[],"[{'name': 'persons', 'value': 'ZUCKER, ABRAHAM W', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'DEATHS', 'rank': 2, 'major': 'N'}]",1968-10-30T05:00:00+0000,article,None,Archives,Archives,nyt://article/f1e8ede9-479c-5bba-8166-92ec83b4ec5f,0,nyt://article/f1e8ede9-479c-5bba-8166-92ec83b4ec5f,Obituary 1 -- No Title,,,Obituary 1 -- No Title,,,,,[],,
2,"Sunay says nation will continue to strengthen defensive alliances, s marking 45th anniv of repub; he and de Gaulle attend Repub Day mil parade; de Gaulle lauds nation's progress, promises France's cooperation",https://www.nytimes.com/1968/10/30/archives/turks-to-bolster-defense-accords-sunay-and-de-gaulle-view-display.html,"Sunay says nation will continue to strengthen defensive alliances, s marking 45th anniv of repub; he and de Gaulle attend Repub Day mil parade; de Gaulle lauds nation's progress, promises France's cooperation",,2,The New York Times,[],"[{'name': 'glocations', 'value': 'Turkey', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'North Atlantic Treaty Organization', 'rank': 2, 'major': 'N'}]",1968-10-30T05:00:00+0000,article,None,Archives,Archives,nyt://article/41c95955-03c7-55e3-b2dd-bafc2935adcc,0,nyt://article/41c95955-03c7-55e3-b2dd-bafc2935adcc,TURKS TO BOLSTER DEFENSE ACCORDS; Sunay and de Gaulle View Display of Military Might,,,TURKS TO BOLSTER DEFENSE ACCORDS; Sunay and de Gaulle View Display of Military Might,,,,By John L. Hessspecial To the New York Times,"[{'firstname': 'John', 'middlename': 'L.', 'lastname': 'Hessspecial', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
3,,https://www.nytimes.com/1968/10/29/archives/obituary-1-no-title.html,,,47,The New York Times,[],[],1968-10-29T05:00:00+0000,article,None,Archives,Archives,nyt://article/323ddc4e-e661-5f4b-9a94-9611cd94204f,0,nyt://article/323ddc4e-e661-5f4b-9a94-9611cd94204f,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],,
4,"Nathanson, Louis (Dr)",https://www.nytimes.com/1968/10/28/archives/obituary-1-no-title.html,"Nathanson, Louis (Dr)",,47,The New York Times,[],"[{'name': 'persons', 'value': 'NATHANSON, LOUIS', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'DEATHS', 'rank': 2, 'major': 'N'}]",1968-10-28T05:00:00+0000,article,None,Archives,Archives,nyt://article/85b64762-8f9e-5ffe-b1ab-3f07bc1cc64e,0,nyt://article/85b64762-8f9e-5ffe-b1ab-3f07bc1cc64e,Obituary 1 -- No Title,,,Obituary 1 -- No Title,,,,,[],,
5,"Braydon, Robert B",https://www.nytimes.com/1968/10/28/archives/robert-b-braydon.html,"Braydon, Robert B",,96,The New York Times,[],"[{'name': 'persons', 'value': 'BRAYDON, ROBERT B', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'DEATHS', 'rank': 2, 'major': 'N'}]",1968-10-28T05:00:00+0000,article,None,Archives,Archives,nyt://article/0b1957eb-a209-5abb-ba1d-dc79267da95f,0,nyt://article/0b1957eb-a209-5abb-ba1d-dc79267da95f,ROBERT B. BRAYDON,,,ROBERT B. BRAYDON,,,,,[],,
6,"Solzhenitsyn, Aleksandr I: The Cancer Ward",https://www.nytimes.com/1968/10/27/archives/a-diseased-body-politic-diseased-body-politic.html,"Solzhenitsyn, Aleksandr I: The Cancer Ward",,2,The New York Times,[],"[{'name': 'persons', 'value': 'SOLZHENITSYN, ALEKSANDR I.', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Solzhenitsyn, Aleksandr I', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'BOOK REVIEWS', 'rank': 3, 'major': 'N'}, {'name': 'creative_works', 'value': 'THE CANCER WARD', 'rank': 4, 'major': 'N'}]",1968-10-27T05:00:00+0000,article,None,Archives,Archives,nyt://article/f0e09469-95ac-5916-88b6-a9fd63a2d3e8,0,nyt://article/f0e09469-95ac-5916-88b6-a9fd63a2d3e8,A Diseased Body Politic; Diseased Body Politic,,,A Diseased Body Politic; Diseased Body Politic,,,,By Patricia Blake,"[{'firstname': 'Patricia', 'middlename': None, 'lastname': 'Blake', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,BR
7,,https://www.nytimes.com/1968/10/27/archives/obituary-1-no-title.html,,,83,The New York Times,[],[],1968-10-27T05:00:00+0000,article,None,Archives,Archives,nyt://article/22d15f12-f976-53d6-98ee-cf9eb71e58e3,0,nyt://article/22d15f12-f976-53d6-98ee-cf9eb71e58e3,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],,
8,"Kressel, Samuel",https://www.nytimes.com/1968/10/23/archives/obituary-1-no-title.html,"Kressel, Samuel",,47,The New York Times,[],"[{'name': 'persons', 'value': 'KRESSEL, SAMUEL', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'DEATHS', 'rank': 2, 'major': 'N'}]",1968-10-23T05:00:00+0000,article,None,Archives,Archives,nyt://article/dc0819d8-e174-5a4b-ba9d-ae4a7b734ef4,0,nyt://article/dc0819d8-e174-5a4b-ba9d-ae4a7b734ef4,Obituary 1 -- No Title,,,Obituary 1 -- No Title,,,,,[],,
9,,https://www.nytimes.com/1968/10/22/archives/amy-e-webersinn-to-be-married.html,,,41,The New York Times,[],[],1968-10-22T05:00:00+0000,article,None,Archives,Archives,nyt://article/a46ab786-ebc6-5d0f-8323-dd05937b34d6,0,nyt://article/a46ab786-ebc6-5d0f-8323-dd05937b34d6,Amy E. Webersinn to Be Married,1,,Amy E. Webersinn to Be Married,,,,Special to The New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
