,abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,subsection_name
0,"Sunday’s Super Bowl broadcast on Fox attracted an average TV audience of 99.9 million, 1.7% above last year, the Los Angeles Times said on Monday, citing Nielsen ratings data.",https://www.nytimes.com/reuters/2020/02/04/arts/03reuters-football-nfl-superbowl-ratings.html,"Sunday’s Super Bowl broadcast on Fox attracted an average TV audience of 99.9 million, 1.7% above last year, the Los Angeles Times said on Monday, citing Nielsen ratings data.","(Reuters) - Sunday’s Super Bowl broadcast on Fox attracted an average TV audience of 99.9 million, 1.7% above last year, the Los Angeles Times said on Monday, citing Nielsen ratings data.",Reuters,[],[],2020-02-04T14:31:18+0000,article,None,Arts,News,nyt://article/e48eacf6-4b7c-5e2c-8f56-d3461281fb15,375,nyt://article/e48eacf6-4b7c-5e2c-8f56-d3461281fb15,Super Bowl TV Audience Up 1.7% From Last Year as Viewers Tune In for More Than Just Football,,,Super Bowl TV Audience Up 1.7% From Last Year as Viewers Tune In for More Than Just Football,,,,By Reuters,[],Reuters,
1,"In a speech last month to farmers in Texas, President Donald Trump won applause as he talked up recent U.S. trade agreements. When he tried to boast of his administration's ethanol policy, however, he was met with silence.",https://www.nytimes.com/reuters/2020/02/04/us/politics/03reuters-usa-election-iowa-biofuels.html,"In a speech last month to farmers in Texas, President Donald Trump won applause as he talked up recent U.S. trade agreements. When he tried to boast of his administration's ethanol policy, however, he was met with silence.","NEW YORK — In a speech last month to farmers in Texas, President Donald Trump won applause as he talked up recent U.S. trade agreements. When he tried to boast of his administration's ethanol policy, however, he was met with silence.",Reuters,[],[],2020-02-04T14:31:15+0000,article,None,U.S.,News,nyt://article/a0c62c38-1cf3-5f52-bc20-dbd66780b2dd,862,nyt://article/a0c62c38-1cf3-5f52-bc20-dbd66780b2dd,Iowa's Anger Over Trump's Ethanol Policy Gives Democrats Opening,,,Iowa's Anger Over Trump's Ethanol Policy Gives Democrats Opening,,,,By Reuters,[],Reuters,Politics
2,"The U.S. Senate impeachment trial of Donald Trump is now in its final stages, with senators devoting Tuesday to short speeches laying out their positions on whether the president should be acquitted or convicted on charges of abuse of power and obstruction of Congress. ",https://www.nytimes.com/reuters/2020/02/04/us/politics/04reuters-usa-trump-impeachment-whatnext-factbox.html,"The U.S. Senate impeachment trial of Donald Trump is now in its final stages, with senators devoting Tuesday to short speeches laying out their positions on whether the president should be acquitted or convicted on charges of abuse of power and ob...","(Reuters) - The U.S. Senate impeachment trial of Donald Trump is now in its final stages, with senators devoting Tuesday to short speeches laying out their positions on whether the president should be acquitted or convicted on charges of abuse of power and obstruction of Congress. ",Reuters,[],[],2020-02-04T14:28:26+0000,article,None,U.S.,News,nyt://article/e4cde54a-b928-5309-881b-4afda4159c98,162,nyt://article/e4cde54a-b928-5309-881b-4afda4159c98,Factbox: Trump Impeachment-What Happens Next?,,,Factbox: Trump Impeachment-What Happens Next?,,,,By Reuters,[],Reuters,Politics
3,"The U.S. Democratic presidential nominating race got off to a slow and rocky start in Iowa on Monday, as the results of the state's caucuses were delayed for hours while party officials double-checked ""inconsistencies"" in the initial count.",https://www.nytimes.com/reuters/2020/02/04/us/politics/03reuters-usa-election.html,"The U.S. Democratic presidential nominating race got off to a slow and rocky start in Iowa on Monday, as the results of the state's caucuses were delayed for hours while party officials double-checked ""inconsistencies"" in the initial count.","DES MOINES, Iowa — The U.S. Democratic presidential nominating race got off to a slow and rocky start in Iowa on Monday, as the results of the state's caucuses were delayed for hours while party officials double-checked ""inconsistencies"" in the initial count.",Reuters,[],[],2020-02-04T14:28:20+0000,article,None,U.S.,News,nyt://article/e645b0d8-a020-559b-811c-540f3facd33b,1043,nyt://article/e645b0d8-a020-559b-811c-540f3facd33b,Democratic Presidential Race Off to Rocky Start as Iowa Results Delayed by 'Inconsistencies',,,Democratic Presidential Race Off to Rocky Start as Iowa Results Delayed by 'Inconsistencies',,,,By Reuters,[],Reuters,Politics
4,Scores of volunteers from across the United States descended on icy Iowa ahead of Monday's Democratic caucus with one goal: nominating a candidate who can defeat Republican President Donald Trump in November. ,https://www.nytimes.com/reuters/2020/02/04/us/politics/03reuters-usa-election-iowa.html,Scores of volunteers from across the United States descended on icy Iowa ahead of Monday's Democratic caucus with one goal: nominating a candidate who can defeat Republican President Donald Trump in November. ,"DES MOINES, Iowa — Scores of volunteers from across the United States descended on icy Iowa ahead of Monday's Democratic caucus with one goal: nominating a candidate who can defeat Republican President Donald Trump in November. ",Reuters,[],[],2020-02-04T14:28:16+0000,article,None,U.S.,News,nyt://article/7af06df6-2efe-5093-ab4a-6af2bd057820,472,nyt://article/7af06df6-2efe-5093-ab4a-6af2bd057820,Volunteers Flock to Iowa for High-Stakes Democratic Nominating Contest,,,Volunteers Flock to Iowa for High-Stakes Democratic Nominating Contest,,,,By Reuters,[],Reuters,Politics
5,"Republican U.S. Senator Lisa Murkowski, an unpredictable moderate in a polarized Washington, on Monday declared she will vote to acquit Donald Trump, but not before leveling an attack against the president and fellow lawmakers of both parties during a partisan impeachment ordeal.",https://www.nytimes.com/reuters/2020/02/04/us/politics/04reuters-usa-trump-impeachment-murkowski.html,"Republican U.S. Senator Lisa Murkowski, an unpredictable moderate in a polarized Washington, on Monday declared she will vote to acquit Donald Trump, but not before leveling an attack against the president and fellow lawmakers of both parties duri...","WASHINGTON — Republican U.S. Senator Lisa Murkowski, an unpredictable moderate in a polarized Washington, on Monday declared she will vote to acquit Donald Trump, but not before leveling an attack against the president and fellow lawmakers of both parties during a partisan impeachment ordeal.",Reuters,[],[],2020-02-04T14:25:38+0000,article,None,U.S.,News,nyt://article/94c20120-de1e-5c0a-9e3f-28327eb8fc65,519,nyt://article/94c20120-de1e-5c0a-9e3f-28327eb8fc65,Republican Senator Murkowski Spares Few in Fiery Impeachment Speech,,,Republican Senator Murkowski Spares Few in Fiery Impeachment Speech,,,,By Reuters,[],Reuters,Politics
6,"Republican U.S. Senator Lisa Murkowski, an unpredictable moderate in a polarized Washington, on Monday declared she will vote to acquit Donald Trump, but not before leveling an attack against the president and fellow lawmakers of both parties during a partisan impeachment ordeal.",https://www.nytimes.com/reuters/2020/02/04/us/politics/03reuters-usa-trump-impeachment-murkowski.html,"Republican U.S. Senator Lisa Murkowski, an unpredictable moderate in a polarized Washington, on Monday declared she will vote to acquit Donald Trump, but not before leveling an attack against the president and fellow lawmakers of both parties duri...","WASHINGTON — Republican U.S. Senator Lisa Murkowski, an unpredictable moderate in a polarized Washington, on Monday declared she will vote to acquit Donald Trump, but not before leveling an attack against the president and fellow lawmakers of both parties during a partisan impeachment ordeal.",Reuters,[],[],2020-02-04T14:25:35+0000,article,None,U.S.,News,nyt://article/fdde26e0-e8d0-53c2-8e21-55f9762b8b72,519,nyt://article/fdde26e0-e8d0-53c2-8e21-55f9762b8b72,Republican Senator Murkowski Spares Few in Fiery Impeachment Speech,,,Republican Senator Murkowski Spares Few in Fiery Impeachment Speech,,,,By Reuters,[],Reuters,Politics
7,"Like many Iowans, Peggy Magner is still grappling with a weighty choice as the state's first-in-the-nation nominating contest fast approaches: which Democratic candidate is best equipped to defeat Republican President Donald Trump in November.",https://www.nytimes.com/reuters/2020/02/04/us/politics/03reuters-usa-election-voters.html,"Like many Iowans, Peggy Magner is still grappling with a weighty choice as the state's first-in-the-nation nominating contest fast approaches: which Democratic candidate is best equipped to defeat Republican President Donald Trump in November.","CEDAR RAPIDS, Iowa — Like many Iowans, Peggy Magner is still grappling with a weighty choice as the state's first-in-the-nation nominating contest fast approaches: which Democratic candidate is best equipped to defeat Republican President Donald Trump in November.",Reuters,[],[],2020-02-04T14:25:18+0000,article,None,U.S.,News,nyt://article/e24c88ad-a15f-5719-a2b6-e329a062b2b8,538,nyt://article/e24c88ad-a15f-5719-a2b6-e329a062b2b8,"Ahead of Crucial Vote, Anxious Iowa Democrats Grapple With Tough Choices",,,"Ahead of Crucial Vote, Anxious Iowa Democrats Grapple With Tough Choices",,,,By Reuters,[],Reuters,Politics
8,The European Union expressed regret on Tuesday that the United States has decided to use anti-personnel landmines more widely and once again considers them to be an important weapon of war.,https://www.nytimes.com/aponline/2020/02/04/world/europe/ap-eu-europe-us-landmines.html,The European Union expressed regret on Tuesday that the United States has decided to use anti-personnel landmines more widely and once again considers them to be an important weapon of war.,BRUSSELS — The European Union expressed regret on Tuesday that the United States has decided to use anti-personnel landmines more widely and once again considers them to be an important weapon of war.,AP,[],[],2020-02-04T14:21:35+0000,article,None,World,News,nyt://article/45c6226b-c939-5852-a4ec-461fb44d23e5,252,nyt://article/45c6226b-c939-5852-a4ec-461fb44d23e5,EU Regrets US Military Policy About-Face on Landmines,,,EU Regrets US Military Policy About-Face on Landmines,,,,By The Associated Press,[],The Associated Press,Europe
9,Iowa's Democrats promised to begin to release long-delayed results on Tuesday afternoon from the party's chaotic first voting in its process of picking a candidate to face Republican Donald Trump in November's U.S. presidential election.,https://www.nytimes.com/reuters/2020/02/04/us/politics/04reuters-usa-election.html,Iowa's Democrats promised to begin to release long-delayed results on Tuesday afternoon from the party's chaotic first voting in its process of picking a candidate to face Republican Donald Trump in November's U.S. presidential election.,"DES MOINES, Iowa — Iowa's Democrats promised to begin to release long-delayed results on Tuesday afternoon from the party's chaotic first voting in its process of picking a candidate to face Republican Donald Trump in November's U.S. presidential election.",Reuters,[],[],2020-02-04T14:19:25+0000,article,None,U.S.,News,nyt://article/e09655f9-357b-5506-92ea-a855d3aab559,974,nyt://article/e09655f9-357b-5506-92ea-a855d3aab559,Iowa Democrats to Release First Results After Presidential Caucus Chaos,,,Iowa Democrats to Release First Results After Presidential Caucus Chaos,,,,By Reuters,[],Reuters,Politics
