,abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,print_section,print_page,subsection_name
0,AROUND TOWN.,https://www.nytimes.com/2008/01/25/arts/25wspare.html,AROUND TOWN.,AROUND TOWN,The New York Times,[],[],2008-01-25T05:00:00+0000,article,Weekend,Arts,Schedule,nyt://article/0afd069d-e7b8-5709-8dd5-4d24956a7315,2284,nyt://article/0afd069d-e7b8-5709-8dd5-4d24956a7315,Spare Times,,,,,,,By The New York Times,[],The New York Times,,,
1,POP.,https://www.nytimes.com/2008/01/18/arts/music/18pop.html,POP.,POP,The New York Times,[],"[{'name': 'subject', 'value': 'Music', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Rock Music', 'rank': 2, 'major': 'N'}]",2008-01-18T05:00:00+0000,article,Weekend,Arts,Schedule,nyt://article/08f25275-978f-5f39-85a2-6ce0a9e1cb12,2152,nyt://article/08f25275-978f-5f39-85a2-6ce0a9e1cb12,Rock & Pop Listings,,,Pop,,,,By The New York Times,[],The New York Times,E,25,Music
2,Dispatches: A look at the many real and fictional New York links to the HBO drama set in Baltimore.,https://cityroom.blogs.nytimes.com/2008/01/11/new-york-connections-to-the-wire/,Dispatches: A look at the many real and fictional New York links to the HBO drama set in Baltimore.,"Maybe because the show never seems to win any of the awards it deserves, but fans of HBO’s “The Wire” can tend to take on a certain evangelical fervor.",The New York Times,[],[],2008-01-11T18:35:36+0000,article,Metro,New York,News,nyt://article/c6aa2c3e-48d1-5753-9e72-85aa674d8182,846,nyt://article/c6aa2c3e-48d1-5753-9e72-85aa674d8182,New York Connections to ‘The Wire’,City Room,,,,,,By Jake Mooney,"[{'firstname': 'Jake', 'middlename': None, 'lastname': 'Mooney', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,
3,POP.,https://www.nytimes.com/2008/01/11/arts/music/11wpop.html,POP.,POP,The New York Times,[],[],2008-01-11T05:00:00+0000,article,Weekend,Arts,Schedule,nyt://article/782e1b2d-873d-50d6-82ef-07c493d52809,2258,nyt://article/782e1b2d-873d-50d6-82ef-07c493d52809,Pop and Rock Listings,,,,,,,By The New York Times,[],The New York Times,,,Music
4,"The most realistic change in format would be the so-called Plus One postseason model, which would essentially have the top two ranked teams play after the five B.C.S. games.",https://www.nytimes.com/2008/01/08/sports/ncaafootball/08format.html,"The most realistic change in format would be the so-called Plus One postseason model, which would essentially have the top two ranked teams play after the five B.C.S. games.","NEW ORLEANS  Mike Slive officially ended his two-year tenure as Bowl Championship Series coordinator Monday, but not before passing along another catchphrase, something he is famous for. ",The New York Times,[],"[{'name': 'subject', 'value': 'Football', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'College Athletics', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Bowl Games', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'Bowl Championship Series', 'rank': 4, 'major': 'N'}]",2008-01-08T05:00:00+0000,article,Sports,Sports,News,nyt://article/04f8a8de-085c-5c9e-a247-4779466c6469,700,nyt://article/04f8a8de-085c-5c9e-a247-4779466c6469,Let the Season of B.C.S. Discussion Begin,,,"For B.C.S., Let the Season of Discussion Begin",,,,By Pete Thamel,"[{'firstname': 'Pete', 'middlename': None, 'lastname': 'Thamel', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,D,3,College Football
5,AROUND TOWN.,https://www.nytimes.com/2008/01/04/arts/04wspare.html,AROUND TOWN.,AROUND TOWN,The New York Times,[],"[{'name': 'glocations', 'value': 'Manhattan (NYC)', 'rank': 1, 'major': 'N'}]",2008-01-04T05:00:00+0000,article,Weekend,Arts,Schedule,nyt://article/170c8500-16a3-5db7-a3a8-9aad0cb637cd,2283,nyt://article/170c8500-16a3-5db7-a3a8-9aad0cb637cd,Spare Times,,,,,,,By The New York Times,[],The New York Times,,,
6,POP.,https://www.nytimes.com/2008/01/04/arts/music/04pop.html,POP.,POP,The New York Times,[],[],2008-01-04T05:00:00+0000,article,Weekend,Arts,Schedule,nyt://article/4c3d84ba-caf5-559b-8ea5-f28e62cac847,1647,nyt://article/4c3d84ba-caf5-559b-8ea5-f28e62cac847,Pop and Rock Listings,,,Pop and Rock Listings,,,,By The New York Times,[],The New York Times,E,29,Music
7,The unexpected demise of Misshapes party left the skinny-jeans-and-Converse crowd asking the question: What’s next?,https://www.nytimes.com/2007/12/31/arts/music/31club.html,The unexpected demise of Misshapes party left the skinny-jeans-and-Converse crowd asking the question: What’s next?,It’s been more than three months since Melissa Maino and Jonathan Murray dressed up in gold lamé pants with matching boots (him) and a sailor hat and bubble dress (her) for the final Misshapes party. And it’s been about two months since they costumed themselves in green body paint (her) and a silver spacesuit (him) for what turned out to be the last Halloween blowout of a long-running series with an unpublishable name.,The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/31/arts/30club.large1.jpg', 'height': 450, 'width': 300, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/31/arts/30club.1901.jpg', 'height': 267, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/31/arts/30club.751.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2007/12/31/arts/30club.751.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'glocations', 'value': 'New York City', 'rank': 1, 'major': 'N'}]",2007-12-31T05:00:00+0000,article,Culture,Arts,News,nyt://article/b0357060-505e-508b-99e6-77e91129739d,1397,nyt://article/b0357060-505e-508b-99e6-77e91129739d,Hipsters Leap to Club-Party Hopscotch,,,Hipsters Leap to Club-Party Hopscotch,,,,By Melena Ryzik,"[{'firstname': 'Melena', 'middlename': None, 'lastname': 'Ryzik', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,E,1,Music
8,A children’s charity says it wasn’t told of mortgage debt risks.,https://www.nytimes.com/2007/12/30/business/30loan.html,A children’s charity says it wasn’t told of mortgage debt risks.,"THE Indiana Children’s Wish Fund, which grants wishes to children and teenagers with life-threatening illnesses, got an early Christmas gift nine days ago. Morgan Keegan, a brokerage firm in Memphis, made an undisclosed payment to the charity to settle an arbitration claim; the Wish Fund said it had lost $48,000 in a mutual fund from Morgan Keegan that had invested heavily in dicey mortgage securities. ",The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/30/business/30loan.xlarge2.jpg', 'height': 360, 'width': 600, 'legacy': {'xlarge': 'images/2007/12/30/business/30loan.xlarge2.jpg', 'xlargewidth': 600, 'xlargeheight': 360}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/30/business/30loan.xlarge2.jpg', 'height': 360, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/30/business/30loan.3952.jpg', 'height': 260, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/30/business/30loan.752.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2007/12/30/business/30loan.752.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Housing', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Stocks and Bonds', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'Indiana', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'Memphis (Tenn)', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Credit', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Mortgages', 'rank': 6, 'major': 'N'}]",2007-12-30T05:00:00+0000,article,SundayBusiness,Business Day,News,nyt://article/aa5093ba-ca49-599b-b88a-592d12adfe97,1791,nyt://article/aa5093ba-ca49-599b-b88a-592d12adfe97,"The Debt Crisis, Where It’s Least Expected",,,"The Debt Crisis, Where It’s Least Expected",,,,By Gretchen Morgenson,"[{'firstname': 'Gretchen', 'middlename': None, 'lastname': 'Morgenson', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,3,1,
9,"Concerts to attend on New Year’s Eve, selected by pop music critics of The New York Times.",https://www.nytimes.com/2007/12/28/arts/28eve.html,"Concerts to attend on New Year’s Eve, selected by pop music critics of The New York Times.",GENE BERTONCINI ,The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/28/arts/28eve-600.jpg', 'height': 346, 'width': 600, 'legacy': {'xlarge': 'images/2007/12/28/arts/28eve-600.jpg', 'xlargewidth': 600, 'xlargeheight': 346}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/28/arts/28eve-600.jpg', 'height': 346, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/28/arts/28eve-75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2007/12/28/arts/28eve-75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]",[],2007-12-28T05:00:00+0000,article,Weekend,Arts,News,nyt://article/ed6f81c1-8e58-58ce-a228-e9f0ef582a57,1804,nyt://article/ed6f81c1-8e58-58ce-a228-e9f0ef582a57,"In With the New, Kicking Out the Jams",,,"In With the New, Kicking Out the Jams",,,,,[],,E,6,
