,abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization
0,,https://www.nytimes.com/1968/08/16/archives/obituary-1-no-title.html,,,33,The New York Times,[],[],1968-08-16T05:00:00+0000,article,None,Archives,Archives,nyt://article/7820e1c0-cedd-5316-ae97-873a0835b6a8,0,nyt://article/7820e1c0-cedd-5316-ae97-873a0835b6a8,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],
1,,https://www.nytimes.com/1968/08/15/archives/obituary-1-no-title.html,,,37,The New York Times,[],[],1968-08-15T05:00:00+0000,article,None,Archives,Archives,nyt://article/b97d5cc7-e290-58e9-8232-573d65906df9,0,nyt://article/b97d5cc7-e290-58e9-8232-573d65906df9,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],
2,,https://www.nytimes.com/1968/08/14/archives/obituary-1-no-title.html,,,43,The New York Times,[],[],1968-08-14T05:00:00+0000,article,None,Archives,Archives,nyt://article/64a32e1c-3567-5f38-8a3c-c2cda14b08a5,0,nyt://article/64a32e1c-3567-5f38-8a3c-c2cda14b08a5,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],
3,,https://www.nytimes.com/1968/08/13/archives/obituary-1-no-title.html,,,39,The New York Times,[],[],1968-08-13T05:00:00+0000,article,None,Archives,Archives,nyt://article/c7cb2508-06ee-5b71-bc01-14e98e02c56a,0,nyt://article/c7cb2508-06ee-5b71-bc01-14e98e02c56a,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],
4,,https://www.nytimes.com/1968/08/12/archives/nuptials-for-amy-rubin.html,,,42,The New York Times,[],[],1968-08-12T05:00:00+0000,article,None,Archives,Archives,nyt://article/f6468518-74e2-5913-870a-8b4057270d92,0,nyt://article/f6468518-74e2-5913-870a-8b4057270d92,Nuptials for Amy Rubin,1,,Nuptials for Amy Rubin,,,,,[],
5,lists of contributors,https://www.nytimes.com/1968/08/11/archives/fresh-air-camp-ends-season-with-salute-to-sounds-of-nature.html,lists of contributors,,72,The New York Times,[],"[{'name': 'organizations', 'value': 'Fresh Air Fund', 'rank': 1, 'major': 'N'}]",1968-08-11T05:00:00+0000,article,None,Archives,Archives,nyt://article/a5da9b31-1487-56ee-bd1f-d83b4265a1f0,0,nyt://article/a5da9b31-1487-56ee-bd1f-d83b4265a1f0,Fresh Air Camp Ends Season With Salute to Sounds of Nature,,,Fresh Air Camp Ends Season With Salute to Sounds of Nature,,,,,[],
6,,https://www.nytimes.com/1968/08/11/archives/birth-notice-1-no-title.html,,,70,The New York Times,[],[],1968-08-11T05:00:00+0000,article,None,Archives,Archives,nyt://article/2251f3ca-6c8c-56f3-807b-53fa92ea3f27,0,nyt://article/2251f3ca-6c8c-56f3-807b-53fa92ea3f27,Birth Notice 1 -- No Title,1,,Birth Notice 1 -- No Title,,,,,[],
7,,https://www.nytimes.com/1968/08/09/archives/amy-lane-on-86-wins-junior-golf-scores-by-6-strokes-over-pam.html,,,40,The New York Times,[],[],1968-08-09T05:00:00+0000,article,None,Archives,Archives,nyt://article/87810175-7408-51fc-bd76-8e26d65b830a,0,nyt://article/87810175-7408-51fc-bd76-8e26d65b830a,"AMY LANE, ON 86, WINS JUNIOR GOLF; Scores by 6 Strokes Over Pam deLorenzo at Alpine ",1,,"AMY LANE, ON 86, WINS JUNIOR GOLF; Scores by 6 Strokes Over Pam deLorenzo at Alpine ",,,,Special to The New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
8,,https://www.nytimes.com/1968/08/07/archives/obituary-1-no-title.html,,,43,The New York Times,[],[],1968-08-07T05:00:00+0000,article,None,Archives,Archives,nyt://article/da1b7aca-89eb-54dc-9238-422a686f2890,0,nyt://article/da1b7aca-89eb-54dc-9238-422a686f2890,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],
9,Daughter Molly weds Lt K K Lunkenheimer; her por,https://www.nytimes.com/1968/08/04/archives/karl-k-lunkenheimer-weds-molly-d-shepard.html,Daughter Molly weds Lt K K Lunkenheimer; her por,,66,The New York Times,[],"[{'name': 'persons', 'value': 'SHEPARD, THOMAS ROCKWELL JR', 'rank': 1, 'major': 'N'}]",1968-08-04T05:00:00+0000,article,None,Archives,Archives,nyt://article/d64332ad-2878-5b72-a927-a4a6cc840617,0,nyt://article/d64332ad-2878-5b72-a927-a4a6cc840617,Karl K. Lunkenheimer Weds Molly D. Shepard,,,Karl K. Lunkenheimer Weds Molly D. Shepard,,,,Special to The New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
