,abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,subsection_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization
0,Conservative U.S. Chief Justice John Roberts always looked unlikely to become the hero for liberals at President Donald Trump's Senate impeachment trial that some of them had hoped for. He turned out to be a mere bit player in the drama.,https://www.nytimes.com/reuters/2020/02/05/us/politics/04reuters-usa-trump-impeachment-chiefjustice-analysis.html,Conservative U.S. Chief Justice John Roberts always looked unlikely to become the hero for liberals at President Donald Trump's Senate impeachment trial that some of them had hoped for. He turned out to be a mere bit player in the drama.,WASHINGTON — Conservative U.S. Chief Justice John Roberts always looked unlikely to become the hero for liberals at President Donald Trump's Senate impeachment trial that some of them had hoped for. He turned out to be a mere bit player in the drama.,Reuters,[],[],2020-02-05T18:04:23+0000,article,None,U.S.,Politics,News,nyt://article/983fa6ba-fdd4-56bf-8a64-2f513a2a3ed5,795,nyt://article/983fa6ba-fdd4-56bf-8a64-2f513a2a3ed5,'Wishful Thinking': Chief Justice No Savior for Liberals at Trump Trial,,,'Wishful Thinking': Chief Justice No Savior for Liberals at Trump Trial,,,,By Reuters,[],Reuters
1,"Pete Buttigieg held a narrow lead over Bernie Sanders on Tuesday in long-delayed results from the chaotic Iowa Democratic Party caucuses, and former Vice President Joe Biden trailed badly in fourth place with about 71% of precincts reporting.",https://www.nytimes.com/reuters/2020/02/05/us/politics/05reuters-usa-election.html,"Pete Buttigieg held a narrow lead over Bernie Sanders on Tuesday in long-delayed results from the chaotic Iowa Democratic Party caucuses, and former Vice President Joe Biden trailed badly in fourth place with about 71% of precincts reporting.","DES MOINES, Iowa/LACONIA, N.H. — Pete Buttigieg held a narrow lead over Bernie Sanders on Tuesday in long-delayed results from the chaotic Iowa Democratic Party caucuses, and former Vice President Joe Biden trailed badly in fourth place with about 71% of precincts reporting.",Reuters,[],[],2020-02-05T17:40:17+0000,article,None,U.S.,Politics,News,nyt://article/12a9969e-cbb5-5ac3-b4ac-f35cbc9eb1bf,1028,nyt://article/12a9969e-cbb5-5ac3-b4ac-f35cbc9eb1bf,"Buttigieg Has Narrow Iowa Lead on Sanders, Biden Lags in Democratic Race",,,"Buttigieg Has Narrow Iowa Lead on Sanders, Biden Lags in Democratic Race",,,,By Reuters,[],Reuters
2,"From excitement to embarrassment to full-on rage, Iowa Democrats who took part in the first of the state-by-state nominating contests in this year's U.S. presidential race ran the gamut of emotions as their quadrennial moment in the spotlight descended into chaos. ",https://www.nytimes.com/reuters/2020/02/05/us/politics/05reuters-usa-election-voters.html,"From excitement to embarrassment to full-on rage, Iowa Democrats who took part in the first of the state-by-state nominating contests in this year's U.S. presidential race ran the gamut of emotions as their quadrennial moment in the spotlight desc...","DES MOINES, Iowa — From excitement to embarrassment to full-on rage, Iowa Democrats who took part in the first of the state-by-state nominating contests in this year's U.S. presidential race ran the gamut of emotions as their quadrennial moment in the spotlight descended into chaos. ",Reuters,[],[],2020-02-05T17:37:39+0000,article,None,U.S.,Politics,News,nyt://article/6eb29757-a7f8-5835-9963-099bf67ad201,417,nyt://article/6eb29757-a7f8-5835-9963-099bf67ad201,'Disorganized Mess': Iowans Angry Over Democratic Presidential Caucus,,,'Disorganized Mess': Iowans Angry Over Democratic Presidential Caucus,,,,By Reuters,[],Reuters
3,"From excitement to embarrassment to full-on rage, Iowa Democrats who took part in the first of the state-by-state nominating contests in this year's U.S. presidential race ran the gamut of emotions as their quadrennial moment in the spotlight descended into chaos. ",https://www.nytimes.com/reuters/2020/02/05/us/politics/04reuters-usa-election-voters.html,"From excitement to embarrassment to full-on rage, Iowa Democrats who took part in the first of the state-by-state nominating contests in this year's U.S. presidential race ran the gamut of emotions as their quadrennial moment in the spotlight desc...","DES MOINES, Iowa — From excitement to embarrassment to full-on rage, Iowa Democrats who took part in the first of the state-by-state nominating contests in this year's U.S. presidential race ran the gamut of emotions as their quadrennial moment in the spotlight descended into chaos. ",Reuters,[],[],2020-02-05T17:37:31+0000,article,None,U.S.,Politics,News,nyt://article/e1e236d1-40c8-5fe8-bd38-15f3fe5884d3,417,nyt://article/e1e236d1-40c8-5fe8-bd38-15f3fe5884d3,'Disorganized Mess': Iowans Angry Over Democratic Presidential Caucus,,,'Disorganized Mess': Iowans Angry Over Democratic Presidential Caucus,,,,By Reuters,[],Reuters
4,The Nevada Democratic Party said on Tuesday it will not use the same app that led to delayed reporting of Iowa's Monday presidential caucus results for Nevada's caucuses on Feb. 22.,https://www.nytimes.com/reuters/2020/02/05/technology/05reuters-usa-election-nevada.html,The Nevada Democratic Party said on Tuesday it will not use the same app that led to delayed reporting of Iowa's Monday presidential caucus results for Nevada's caucuses on Feb. 22.,WASHINGTON — The Nevada Democratic Party said on Tuesday it will not use the same app that led to delayed reporting of Iowa's Monday presidential caucus results for Nevada's caucuses on Feb. 22.,Reuters,[],[],2020-02-05T17:34:22+0000,article,None,Technology,,News,nyt://article/736bb707-3a06-56ed-9b26-2a70d38e3307,621,nyt://article/736bb707-3a06-56ed-9b26-2a70d38e3307,Nevada Democrats Will Not Use Reporting App That Led to Iowa's Delayed Caucus Results,,,Nevada Democrats Will Not Use Reporting App That Led to Iowa's Delayed Caucus Results,,,,By Reuters,[],Reuters
5,Democrats campaigned on healthcare when they won control of the U.S. House of Representatives in 2018. President Donald Trump made plain on Tuesday that he would try to use the issue to his advantage in the 2020 presidential election.,https://www.nytimes.com/reuters/2020/02/05/us/politics/05reuters-usa-trump-speech-healthcare.html,Democrats campaigned on healthcare when they won control of the U.S. House of Representatives in 2018. President Donald Trump made plain on Tuesday that he would try to use the issue to his advantage in the 2020 presidential election.,WASHINGTON — Democrats campaigned on healthcare when they won control of the U.S. House of Representatives in 2018. President Donald Trump made plain on Tuesday that he would try to use the issue to his advantage in the 2020 presidential election.,Reuters,[],[],2020-02-05T17:07:35+0000,article,None,U.S.,Politics,News,nyt://article/a1f4b1f3-6dd9-5b8c-a014-63cd002af8d1,423,nyt://article/a1f4b1f3-6dd9-5b8c-a014-63cd002af8d1,"In Political Speech to Congress, Trump Pokes at Democrats' Divide on Healthcare",,,"In Political Speech to Congress, Trump Pokes at Democrats' Divide on Healthcare",,,,By Reuters,[],Reuters
6,Democratic presidential contender Michael Bloomberg on Tuesday said he will immediately double his already massive nationwide television ad spending and expand his staff after the debacle of Iowa's failure to promptly announce its caucuses results.,https://www.nytimes.com/reuters/2020/02/05/us/politics/05reuters-usa-election-bloomberg.html,Democratic presidential contender Michael Bloomberg on Tuesday said he will immediately double his already massive nationwide television ad spending and expand his staff after the debacle of Iowa's failure to promptly announce its caucuses results...,"DETROIT/DES MOINES, Iowa — Democratic presidential contender Michael Bloomberg on Tuesday said he will immediately double his already massive nationwide television ad spending and expand his staff after the debacle of Iowa's failure to promptly announce its caucuses results.",Reuters,[],[],2020-02-05T17:01:21+0000,article,None,U.S.,Politics,News,nyt://article/6c18cae5-1c79-5e7f-bb42-7c116138322f,422,nyt://article/6c18cae5-1c79-5e7f-bb42-7c116138322f,"Bloomberg to Double TV Spending, Expand Staff After Democrats' Iowa Caucus Chaos",,,"Bloomberg to Double TV Spending, Expand Staff After Democrats' Iowa Caucus Chaos",,,,By Reuters,[],Reuters
7,Democratic presidential contender Michael Bloomberg on Tuesday said he will immediately double his already massive nationwide television ad spending and expand his staff after the debacle of Iowa's failure to promptly announce its caucuses results.,https://www.nytimes.com/reuters/2020/02/05/us/politics/04reuters-usa-election-bloomberg.html,Democratic presidential contender Michael Bloomberg on Tuesday said he will immediately double his already massive nationwide television ad spending and expand his staff after the debacle of Iowa's failure to promptly announce its caucuses results...,"DETROIT/DES MOINES, Iowa — Democratic presidential contender Michael Bloomberg on Tuesday said he will immediately double his already massive nationwide television ad spending and expand his staff after the debacle of Iowa's failure to promptly announce its caucuses results.",Reuters,[],[],2020-02-05T17:01:15+0000,article,None,U.S.,Politics,News,nyt://article/15478b84-2ccd-5412-860e-13e2cf2df311,422,nyt://article/15478b84-2ccd-5412-860e-13e2cf2df311,"Bloomberg to Double TV Spending, Expand Staff After Democrats' Iowa Caucus Chaos",,,"Bloomberg to Double TV Spending, Expand Staff After Democrats' Iowa Caucus Chaos",,,,By Reuters,[],Reuters
8,The latest on the 2020 election (all times local):,https://www.nytimes.com/aponline/2020/02/05/us/politics/ap-us-election-2020-the-latest.html,The latest on the 2020 election (all times local):,"CONCORD, N.H. — The latest on the 2020 election (all times local):",AP,[],[],2020-02-05T16:51:36+0000,article,None,U.S.,Politics,News,nyt://article/8f324206-c85b-5745-a4ad-7cd8986bbfe6,958,nyt://article/8f324206-c85b-5745-a4ad-7cd8986bbfe6,The Latest: Biden Dismayed Limbaugh Awarded Medal of Freedom,,,The Latest: Biden Dismayed Limbaugh Awarded Medal of Freedom,,,,By The Associated Press,[],The Associated Press
9,"Pete Buttigieg held on to a narrow lead on Tuesday as Iowa Democrats released additional results from their chaotic caucuses, as former Vice President Joe Biden trailed badly in fourth place with about 71% of precincts reporting.",https://www.nytimes.com/reuters/2020/02/05/us/politics/05reuters-usa-election-buttigieg.html,"Pete Buttigieg held on to a narrow lead on Tuesday as Iowa Democrats released additional results from their chaotic caucuses, as former Vice President Joe Biden trailed badly in fourth place with about 71% of precincts reporting.","(Reuters) - Pete Buttigieg held on to a narrow lead on Tuesday as Iowa Democrats released additional results from their chaotic caucuses, as former Vice President Joe Biden trailed badly in fourth place with about 71% of precincts reporting.",Reuters,[],[],2020-02-05T16:43:39+0000,article,None,U.S.,Politics,News,nyt://article/d618eabc-2094-5d4b-bf86-75d906d3cb3b,101,nyt://article/d618eabc-2094-5d4b-bf86-75d906d3cb3b,"Buttigieg Holds Narrow Lead in Iowa, Biden Lags in Democrats' Updated Results",,,"Buttigieg Holds Narrow Lead in Iowa, Biden Lags in Democrats' Updated Results",,,,By Reuters,[],Reuters
