,abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,subsection_name
0,Travelers — even children — find that getting their names removed from government terrorism watch lists is a daunting process.,https://www.nytimes.com/2008/09/09/business/09road.html,Travelers — even children — find that getting their names removed from government terrorism watch lists is a daunting process.,"WE’VE heard a lot about airline passengers with common names  Michael Kirby, David Nelson  who are routinely flagged at airports because their names match or resemble one on the federal terrorist watch list.",C,6,The New York Times,"[{'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/09/09/business/09road01-190.jpg', 'height': 215, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}]","[{'name': 'subject', 'value': 'Terrorism', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Travel and Vacations', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'AIRLINES AND AIRPLANES', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'AIRPORTS', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Transportation Security Administration', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'Homeland Security Department', 'rank': 6, 'major': 'N'}]",2008-09-08T22:07:34+0000,article,Business,Business Day,News,nyt://article/bf17cdfb-bf10-58aa-99a4-5840c8473145,718,nyt://article/bf17cdfb-bf10-58aa-99a4-5840c8473145,Mistakes on Terrorist Watch List Affect Even Children,On the Road,,"Mom and Dad Are Cleared, But Junior’s Another Story",,,,By Joe Sharkey,"[{'firstname': 'Joe', 'middlename': None, 'lastname': 'Sharkey', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
1,It was an awfully complicated week to be a Hillary supporter.,https://www.nytimes.com/2008/08/31/world/americas/31iht-31zernike.15764840.html,,It was an awfully complicated week to be a Hillary supporter.,,,International Herald Tribune,[],[],2008-08-31T05:00:00+0000,article,IHT News,World,News,nyt://article/8038b037-d0ea-5c9e-9d3c-91264482118e,1469,nyt://article/8038b037-d0ea-5c9e-9d3c-91264482118e,Can you cross out 'Hillary' and write 'Sarah'?,,,Can you cross out 'Hillary' and write 'Sarah'?,,,,By Kate Zernike,"[{'firstname': 'Kate', 'middlename': None, 'lastname': 'Zernike', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Americas
2,"Sarah Palin’s selection unleashes gender as a live issue again, just when Democrats thought they had it under control.",https://www.nytimes.com/2008/08/31/weekinreview/31zernike.html,"Sarah Palin’s selection unleashes gender as a live issue again, just when Democrats thought they had it under control.",It was an awfully complicated week to be a Hillary supporter.,WK,1,The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/08/31/weekinreview/31zernike.xlarge12.jpg', 'height': 390, 'width': 600, 'legacy': {'xlarge': 'images/2008/08/31/weekinreview/31zernike.xlarge12.jpg', 'xlargewidth': 600, 'xlargeheight': 390}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/08/31/weekinreview/31zernike.xlarge12.jpg', 'height': 390, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/08/31/weekinreview/31zernike.751.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2008/08/31/weekinreview/31zernike.751.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Presidential Election of 2008', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Clinton, Hillary Rodham', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Vice Presidents and Vice Presidency (US)', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Obama, Barack', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Women', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'McCain, John', 'rank': 7, 'major': 'N'}, {'name': 'persons', 'value': 'Palin, Sarah', 'rank': 8, 'major': 'N'}]",2008-08-30T18:21:54+0000,article,WeekInReview,Week in Review,News,nyt://article/c66bc614-be87-50bd-8d43-cf98e6f10570,1562,nyt://article/c66bc614-be87-50bd-8d43-cf98e6f10570,Can You Cross Out ‘Hillary’ and Write ‘Sarah’?,Unity Deferred,,Can You Cross Out ‘Hillary’ and Write ‘Sarah’?,,,,By Kate Zernike,"[{'firstname': 'Kate', 'middlename': None, 'lastname': 'Zernike', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
3,"Aired Monday night on CBS: We go from one exciting thing, the Olympics, to another, the Democratic convention in Denver. The theme of the Democratic convention is “unity.” Unfortunately, they can’t agree on how that works. ",https://laughlines.blogs.nytimes.com/2008/08/26/we-go-from-one-exciting-thing-to-another/,,"Aired Monday night on CBS: We go from one exciting thing, the Olympics, to another, the Democratic convention in Denver. The theme of the Democratic convention is “unity.” Unfortunately, they can’t agree on how that works. ",,,The New York Times,[],[],2008-08-26T16:30:22+0000,article,,Week in Review,News,nyt://article/cddc8fed-51ee-5f7f-9c49-43b3c4907c5d,137,nyt://article/cddc8fed-51ee-5f7f-9c49-43b3c4907c5d,‘We Go From One Exciting Thing … to Another’,Laugh Lines,,,,,,By Laugh Lines,"[{'firstname': 'Laugh', 'middlename': None, 'lastname': 'Lines', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
4,"The following is a tentative schedule of speakers on Monday, Aug. 25 during prime time at the Democratic National Convention in Denver.",https://www.nytimes.com/2008/08/25/us/politics/25dnc-schedule.html,"The following is a tentative schedule of speakers on Monday, Aug. 25 during prime time at the Democratic National Convention in Denver.","The following is a tentative schedule of speakers on Monday, Aug. 25 during prime time at the Democratic National Convention in Denver.",,,The New York Times,[],"[{'name': 'organizations', 'value': 'Democratic Party', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Presidential Election of 2008', 'rank': 2, 'major': 'N'}]",2008-08-25T21:25:05+0000,article,National,U.S.,List,nyt://article/b66d8330-6778-5272-b199-b910e10581ef,107,nyt://article/b66d8330-6778-5272-b199-b910e10581ef,Prime Time Schedule at the Democratic Convention,Schedule,,,,,,,[],,Politics
5,The Democrat from Massachusetts makes his first appearance on Capitol Hill since he began undergoing treatment for a brain tumor.,https://thecaucus.blogs.nytimes.com/2008/07/09/kennedy-returns-to-the-senate/,The Democrat from Massachusetts makes his first appearance on Capitol Hill since he began undergoing treatment for a brain tumor.,"Senator Edward M. Kennedy of Massachusetts walked triumphantly into the Senate on Wednesday for the first time since learning that he had brain cancer, hoping to provide Democrats with the crucial, single vote that they need to reverse a cut in Medicare reimbursements to doctors.",,,The New York Times,[],[],2008-07-09T21:00:36+0000,article,National,U.S.,News,nyt://article/5e135715-d869-5b1d-935b-a82dab74f308,685,nyt://article/5e135715-d869-5b1d-935b-a82dab74f308,Kennedy Returns to the Senate,,,,,,,By David M. Herszenhorn,"[{'firstname': 'David', 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Politics
6,"After hearing from constituents, many lawmakers believe that they cannot afford an energy policy stalemate.",https://www.nytimes.com/2008/07/09/washington/09cong.html,"After hearing from constituents, many lawmakers believe that they cannot afford an energy policy stalemate.","WASHINGTON  Senator Susan Collins, Republican of Maine, said anxiety over fuel oil costs is at crisis proportions in her state. Senator Amy Klobuchar, Democrat of Minnesota, said oil drilling advocates weighed in from the sidelines as she marched in a Fourth of July parade.",A,16,The New York Times,[],"[{'name': 'subject', 'value': 'Law and Legislation', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Energy and Power', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Oil (Petroleum) and Gasoline', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Prices (Fares, Fees and Rates)', 'rank': 5, 'major': 'N'}]",2008-07-09T04:00:00+0000,article,National,Washington,News,nyt://article/a99b7160-ac44-5226-99b1-2a9f114b7300,1002,nyt://article/a99b7160-ac44-5226-99b1-2a9f114b7300,Congress Feels Pressure for Action on Oil Prices,,,Lawmakers Re-energized on Energy,,,,By Carl Hulse and David M. Herszenhorn,"[{'firstname': 'Carl', 'middlename': None, 'lastname': 'Hulse', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'David', 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}]",,
7,WASHINGTON — Senator Hillary Rodham Clinton was gracious in her full-throated endorsement of Senator Barack Obama. But that does not mean all is forgiven by others in the Clinton universe.,https://www.nytimes.com/2008/06/11/world/americas/11iht-11clinton.13626061.html,,WASHINGTON — Senator Hillary Rodham Clinton was gracious in her full-throated endorsement of Senator Barack Obama. But that does not mean all is forgiven by others in the Clinton universe.,,,International Herald Tribune,[],[],2008-06-11T05:00:00+0000,article,IHT News,World,News,nyt://article/bc839fdc-db23-5700-93cd-0f109fe6880c,789,nyt://article/bc839fdc-db23-5700-93cd-0f109fe6880c,Those loyal to the Clintons take note of those who were not,,,Those loyal to the Clintons take note of those who were not,,,,By Mark Leibovich,"[{'firstname': 'Mark', 'middlename': None, 'lastname': 'Leibovich', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Americas
8,Hillary Rodham Clinton’s aides have kept close track of the past allies and beneficiaries of the Clintons who supported Barack Obama’s campaign.,https://www.nytimes.com/2008/06/11/us/politics/11clinton.html,Hillary Rodham Clinton’s aides have kept close track of the past allies and beneficiaries of the Clintons who supported Barack Obama’s campaign.,WASHINGTON  Senator Hillary Rodham Clinton was gracious in her full-throated endorsement of Senator Barack Obama. But that does not mean all is forgiven by others in the Clinton universe. ,A,20,The New York Times,[],"[{'name': 'subject', 'value': 'Politics and Government', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Presidential Election of 2008', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Clinton, Hillary Rodham', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Obama, Barack', 'rank': 4, 'major': 'N'}]",2008-06-11T04:00:00+0000,article,National,U.S.,News,nyt://article/61f35bea-5bef-5feb-a065-2ac3f76deaab,832,nyt://article/61f35bea-5bef-5feb-a065-2ac3f76deaab,Those Loyal to the Clintons Take Note of Who Was Not,Political Memo,,Those Loyal to the Clintons Take Note of Who Was Not,,,,By Mark Leibovich,"[{'firstname': 'Mark', 'middlename': None, 'lastname': 'Leibovich', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Politics
9,WASHINGTON — Hillary Rodham Clinton might have been gracious in her full-throated endorsement Saturday of Senator Barack Obama. But that does not mean all is forgiven in the Clinton universe.,https://www.nytimes.com/2008/06/10/world/americas/10iht-list.4.13616132.html,,WASHINGTON — Hillary Rodham Clinton might have been gracious in her full-throated endorsement Saturday of Senator Barack Obama. But that does not mean all is forgiven in the Clinton universe.,,,International Herald Tribune,[],[],2008-06-10T05:00:00+0000,article,IHT News,World,News,nyt://article/0396ff36-7e2d-59c3-9538-7039b13ae715,997,nyt://article/0396ff36-7e2d-59c3-9538-7039b13ae715,Clinton camp has a little list. A long one actually,,,Clinton camp has a little list. A long one actually,,,,By Mark Leibovich,"[{'firstname': 'Mark', 'middlename': None, 'lastname': 'Leibovich', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Americas
