,abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,print_section,print_page,subsection_name
0,"LOS ANGELES — NBA executives and referees are accused of broad misconduct and outright manipulation of game results, including a highly disputed 2002 playoff series, in the latest court filing by the lawyer for the former referee Tim Donaghy.",https://www.nytimes.com/2008/06/11/sports/11iht-REF.1.13635698.html,,"LOS ANGELES — NBA executives and referees are accused of broad misconduct and outright manipulation of game results, including a highly disputed 2002 playoff series, in the latest court filing by the lawyer for the former referee Tim Donaghy.",International Herald Tribune,[],[],2008-06-11T05:00:00+0000,article,IHT News,Sports,News,nyt://article/8bc4397d-cd78-5e41-a9ad-c96b8658fe9f,929,nyt://article/8bc4397d-cd78-5e41-a9ad-c96b8658fe9f,"Series in 2002 was rigged, says disgraced former NBA referee",,,"Series in 2002 was rigged, says disgraced former NBA referee",,,,By Howard Beck,"[{'firstname': 'Howard', 'middlename': None, 'lastname': 'Beck', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,
1,N.B.A. executives and referees are accused of broad misconduct and outright manipulation of game results in the latest court filing by the lawyer for the former referee Tim Donaghy.,https://www.nytimes.com/2008/06/11/sports/basketball/11refs.html,N.B.A. executives and referees are accused of broad misconduct and outright manipulation of game results in the latest court filing by the lawyer for the former referee Tim Donaghy.,LOS ANGELES  N.B.A. executives and referees are accused of broad misconduct and outright manipulation of game results  including a highly disputed 2002 playoff series  in the latest court filing by the lawyer for the former referee Tim Donaghy.,The New York Times,[],"[{'name': 'subject', 'value': 'Basketball', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Officiating (Sports)', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'National Basketball Assn', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Donaghy, Tim', 'rank': 4, 'major': 'N'}]",2008-06-11T04:00:00+0000,article,Sports,Sports,News,nyt://article/75894e4e-80c6-5480-97c3-71c1e351ea92,922,nyt://article/75894e4e-80c6-5480-97c3-71c1e351ea92,Donaghy Cites Broad Misconduct in N.B.A.,,,The Lakers Win One the Hard Way,,,,By Howard Beck,"[{'firstname': 'Howard', 'middlename': None, 'lastname': 'Beck', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,D,1,Pro Basketball
2,"Whatever its faults, “Army Wives” continues to get at the agonizing uncertainty of military life.",https://www.nytimes.com/2008/06/07/arts/television/07wive.html,"Whatever its faults, “Army Wives” continues to get at the agonizing uncertainty of military life.","For years, Lifetime has been regarded as “television for women.” But if you are familiar with the movies for which the channel serves as fear-mongering auteur  “A Lover’s Revenge,” “A Face to Die For,” “A Face to Kill For,” “A Killer Upstairs,” “A Vow to Kill,” “A Killing Spring”  then you know that Lifetime is not television for every woman, and certainly it is television for no man. ",The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/06/07/arts/armyspan.jpg', 'height': 290, 'width': 600, 'legacy': {'xlarge': 'images/2008/06/07/arts/armyspan.jpg', 'xlargewidth': 600, 'xlargeheight': 290}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/06/07/arts/armyspan.jpg', 'height': 290, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/06/07/arts/armysec.jpg', 'height': 274, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/06/07/arts/army75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2008/06/07/arts/army75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'organizations', 'value': 'Lifetime Television', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Obama, Barack', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Television', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'United States Army', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'UNITED STATES ARMAMENT AND DEFENSE', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'McCain, John', 'rank': 6, 'major': 'N'}]",2008-06-07T04:00:00+0000,article,Culture,Arts,Review,nyt://article/5f612918-c321-5c06-9468-71970604aff1,1064,nyt://article/5f612918-c321-5c06-9468-71970604aff1,"Married, Not So Happily, to the Army",Television Review,,"Married, Not So Happily, to the Army",,,,By Ginia Bellafante,"[{'firstname': 'Ginia', 'middlename': None, 'lastname': 'Bellafante', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,B,10,Television
3,POP.,https://www.nytimes.com/2008/06/06/arts/music/06pop.html,POP.,POP,The New York Times,[],[],2008-06-06T04:00:00+0000,article,Weekend,Arts,Schedule,nyt://article/da03cdf5-aa61-536c-9df6-611df2c3e528,2481,nyt://article/da03cdf5-aa61-536c-9df6-611df2c3e528,Pop and Rock Listings,,,THE LISTINGS| POP,,,,By The New York Times,[],The New York Times,E,20,Music
4,"Verizon Wireless announced it would buy Alltell to create the largest cellphone operator in the United States, while in Europe, a bid was made to create the world’s fourth-largest mobile operator.",https://www.nytimes.com/2008/06/06/business/worldbusiness/06tele.html,"Verizon Wireless announced it would buy Alltell to create the largest cellphone operator in the United States, while in Europe, a bid was made to create the world’s fourth-largest mobile operator.","BERLIN  A multibillion-dollar telecommunications merger was announced Thursday, reflecting a trend for mobile phone operators to consolidate in their own crowded backyards while they scout for growth in emerging economies. ",The New York Times,[],"[{'name': 'subject', 'value': 'Mergers, Acquisitions and Divestitures', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Wireless Communications', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'France Telecom', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Telephones and Telecommunications', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'ALLTEL CORP', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'TeliaSonera AB', 'rank': 6, 'major': 'N'}, {'name': 'organizations', 'value': 'Verizon Communications', 'rank': 7, 'major': 'N'}, {'name': 'organizations', 'value': 'Vodafone Group Plc', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Cellular Telephones', 'rank': 9, 'major': 'N'}]",2008-06-06T04:00:00+0000,article,Business,Business Day,News,nyt://article/41546f64-a00b-5555-9c7f-c1974347cb28,684,nyt://article/41546f64-a00b-5555-9c7f-c1974347cb28,Mergers Accelerate as Telecoms Seek Growth,,,Mergers Accelerate As Telecoms Seek Growth,,,,By Kevin J. O'Brien,"[{'firstname': 'Kevin', 'middlename': 'J.', 'lastname': ""O'Brien"", 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,C,2,World Business
5,"BERLIN — A multibillion-dollar telecommunications merger announced Thursday - as well as another possible deal in the works - shows how global cellular powerhouses are scouting for growth in emerging economies while consolidating in their own, crowded backyards.",https://www.nytimes.com/2008/06/05/technology/05iht-telecom.4.13505696.html,,"BERLIN — A multibillion-dollar telecommunications merger announced Thursday - as well as another possible deal in the works - shows how global cellular powerhouses are scouting for growth in emerging economies while consolidating in their own, crowded backyards.",International Herald Tribune,[],[],2008-06-05T05:00:00+0000,article,IHT News,Technology,News,nyt://article/4e1f2c42-ec7e-50ca-93c8-60d819b62d65,915,nyt://article/4e1f2c42-ec7e-50ca-93c8-60d819b62d65,Telecoms look to grow by acquisition,,,Telecoms look to grow by acquisition,,,,By Kevin J. O'Brien,"[{'firstname': 'Kevin', 'middlename': 'J.', 'lastname': ""O'Brien"", 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,
6,POP.,https://www.nytimes.com/2008/05/30/arts/music/30pop.html,POP.,POP,The New York Times,[],[],2008-05-30T04:00:00+0000,article,Weekend,Arts,Schedule,nyt://article/d227b918-541b-5bb1-a68a-827dfa52f744,2225,nyt://article/d227b918-541b-5bb1-a68a-827dfa52f744,Pop and Rock Listings,,,The Listings ,,,,By The New York Times,[],The New York Times,E,19,Music
7,"Long known as a cradle of coaches, Wyoming has stumbled through two consecutive losing seasons.",https://thequad.blogs.nytimes.com/2008/05/29/the-quad-countdown-no-92-wyoming/,"Long known as a cradle of coaches, Wyoming has stumbled through two consecutive losing seasons.","Location: Laramie, Wyo.",The New York Times,[],[],2008-05-29T04:32:28+0000,article,,Sports,News,nyt://article/c5440a36-9de6-5d64-bd15-1090b24a0c12,1326,nyt://article/c5440a36-9de6-5d64-bd15-1090b24a0c12,The Quad Countdown: No. 92 Wyoming,The Quad,,,,,,By Paul Myerberg,"[{'firstname': 'Paul', 'middlename': None, 'lastname': 'Myerberg', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,
8,Art,https://www.nytimes.com/2008/05/25/arts/25weekahead.html,,Art,The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/05/25/arts/week_4_450.jpg', 'height': 450, 'width': 360, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/05/25/arts/week_4_190.jpg', 'height': 238, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/05/25/arts/week_4_7575.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2008/05/25/arts/week_4_7575.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]",[],2008-05-25T08:26:00+0000,article,Arts&Leisure,Arts,Schedule,nyt://article/3b90a892-24cd-5833-b4d3-5298a3d40567,1791,nyt://article/3b90a892-24cd-5833-b4d3-5298a3d40567,The Week Ahead: May 25-31,,,,,,,By The New York Times,[],The New York Times,,,
9,"You can learn a lot about the state of a campaign from its rope lines, and about the style of the person running.",https://www.nytimes.com/2008/05/24/us/politics/24rope.html,"You can learn a lot about the state of a campaign from its rope lines, and about the style of the person running.","GRAND RAPIDS, Mich.  The man was persistent in demanding Senator Barack Obama’s tie. ",The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/05/24/us/24rope_5_600.jpg', 'height': 300, 'width': 600, 'legacy': {'xlarge': 'images/2008/05/24/us/24rope_5_600.jpg', 'xlargewidth': 600, 'xlargeheight': 300}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/05/24/us/24rope_5_600.jpg', 'height': 300, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}]","[{'name': 'persons', 'value': 'McCain, John', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Presidential Election of 2008', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Obama, Barack', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Clinton, Hillary Rodham', 'rank': 4, 'major': 'N'}]",2008-05-24T04:00:00+0000,article,National,U.S.,News,nyt://article/86cc4372-5965-5a6d-a2d1-05fd4319c073,1173,nyt://article/86cc4372-5965-5a6d-a2d1-05fd4319c073,"Where to Catch the Sights, Sound and Smell of a Campaign",,,"Where to Catch the Sights, Sound and Smell of a Campaign",,,,By Mark Leibovich,"[{'firstname': 'Mark', 'middlename': None, 'lastname': 'Leibovich', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A,12,Politics
