,abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,print_section,print_page,subsection_name
0,Parents who depend on hired caregivers were left especially unsettled after a nanny was accused by police of killing two small children on the Upper West Side.,https://www.nytimes.com/2012/10/26/nyregion/new-york-parents-rattled-by-fatal-stabbing-of-2-children-on-upper-west-side.html,Parents who depend on hired caregivers were left especially unsettled after a nanny was accused by police of killing two small children on the Upper West Side.,"It is often the sweetest time of day for harried parents. That magical moment when children retreat from the unpredictable, aggressive city to wash off the dirt of the day and settle into their soothing evening routine of bath time and bedtime stories.",The New York Times,[],"[{'name': 'subject', 'value': 'Parenting', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Child Care', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Murders and Attempted Murders', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'Upper West Side (NYC)', 'rank': 4, 'major': 'N'}]",2012-10-26T05:11:51+0000,article,Metro,New York,News,nyt://article/ff0b1c39-6b5f-5c81-9987-493a5ec63d13,748,nyt://article/ff0b1c39-6b5f-5c81-9987-493a5ec63d13,New York Parents Rattled by Fatal Stabbing of Two Siblings,,,New York Parents Rattled by Fatal Stabbing of Two Siblings,,,,By Jenny Anderson,"[{'firstname': 'Jenny', 'middlename': None, 'lastname': 'Anderson', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,
1,"A selected, critical guide to plays running in New York, with special note of productions in previews or opening.",https://www.nytimes.com/2012/10/26/theater/theater-listings-for-oct-26-nov-1.html,"A selected, critical guide to plays running in New York, with special note of productions in previews or opening.",Theater,The New York Times,"[{'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/26/arts/LISTINGS-THEATER/LISTINGS-THEATER-jumbo.jpg', 'height': 1024, 'width': 787, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/26/arts/LISTINGS-THEATER/LISTINGS-THEATER-popup.jpg', 'height': 500, 'width': 384, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'superJumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/26/arts/LISTINGS-THEATER/LISTINGS-THEATER-superJumbo.jpg', 'height': 2048, 'width': 1574, 'legacy': {}, 'subType': 'superJumbo', 'crop_name': 'superJumbo'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/26/arts/LISTINGS-THEATER/LISTINGS-THEATER-articleInline.jpg', 'height': 247, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/26/arts/LISTINGS-THEATER/LISTINGS-THEATER-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2012/10/26/arts/LISTINGS-THEATER/LISTINGS-THEATER-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}, {'rank': 0, 'subtype': 'thumbLarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/26/arts/LISTINGS-THEATER/LISTINGS-THEATER-thumbLarge.jpg', 'height': 150, 'width': 150, 'legacy': {}, 'subType': 'thumbLarge', 'crop_name': 'thumbLarge'}]","[{'name': 'subject', 'value': 'Theater', 'rank': 1, 'major': 'N'}]",2012-10-25T21:23:57+0000,article,Weekend,Theater,Schedule,nyt://article/5cb7cfdc-ed59-5251-b8f5-616d09078926,5737,nyt://article/5cb7cfdc-ed59-5251-b8f5-616d09078926,Theater Listings for Oct. 26-Nov. 1,,,The Listings,,,,,[],,C,15,
2,"The Giants won their sixth elimination game of the postseason, advancing to the World Series and suggesting fate is on their side.",https://bats.blogs.nytimes.com/2012/10/23/leading-off-the-karma-of-a-champion/,"The Giants won their sixth elimination game of the postseason, advancing to the World Series and suggesting fate is on their side.","Sometime in the middle of Game 7 falling far short of its expected Game 7-ness, it became clear that karma had become a Giants fan. Sure, the Giants and the Cardinals had basked in her good graces throughout the playoffs, doing their incredible high-wire acts to get to the finale of the National League Championship Series, but the Cardinals did not so much fall off the wire as had it pulled out from under them before they could take a step. Karma could be seen nearby, drumming her fingers against her forearms, trying to look all cute and innocent.",The New York Times,[],"[{'name': 'subject', 'value': 'Baseball', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Miklasz, Bernie', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Pence, Hunter', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'New York Giants', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'St Louis Cardinals', 'rank': 5, 'major': 'N'}]",2012-10-23T13:57:07+0000,article,,Sports,News,nyt://article/d5165fc8-4739-584b-9efc-e5acee706d7f,504,nyt://article/d5165fc8-4739-584b-9efc-e5acee706d7f,Leading Off: Karma’s Champion,Bats,,,,,,By Lynn Zinser,"[{'firstname': 'Lynn', 'middlename': None, 'lastname': 'Zinser', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,Baseball
3,"Another hedge fund is preparing to move onto life beyond its founder, as Farallon Capital announced on Monday that its senior managing member, Thomas F. Steyer, will leave the firm at year-end.",https://dealbook.nytimes.com/2012/10/22/farrallons-founder-to-leave-by-year-end/,"Another hedge fund is preparing to move onto life beyond its founder, as Farallon Capital announced on Monday that its senior managing member, Thomas F. Steyer, will leave the firm at year-end.",9:19 p.m. | Updated ,The New York Times,[],"[{'name': 'subject', 'value': 'Hedge Funds', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Steyer, Thomas F', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'Farallon Capital Management LLC', 'rank': 6, 'major': 'N'}]",2012-10-22T18:04:23+0000,article,,Business Day,News,nyt://article/2770d026-c7f4-5b3b-a2e4-bae5b7324cfa,657,nyt://article/2770d026-c7f4-5b3b-a2e4-bae5b7324cfa,Farallon Capital’s Founder to Step Down This Year,DealBook,,Farallon Capital’s Founder To Step Down This Year,,,,By Michael J. de la Merced and Peter Lattman,"[{'firstname': 'Michael', 'middlename': 'J.', 'lastname': 'de la Merced', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'Peter', 'middlename': None, 'lastname': 'Lattman', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}]",,B,7,
4,"A selected, critical guide to plays running in New York, with special note of productions in previews or opening.",https://www.nytimes.com/2012/10/19/theater/theater-listings-for-oct-19-25.html,"A selected, critical guide to plays running in New York, with special note of productions in previews or opening.",Theater,The New York Times,[],"[{'name': 'subject', 'value': 'Theater', 'rank': 1, 'major': 'N'}]",2012-10-18T21:43:22+0000,article,Weekend,Theater,Schedule,nyt://article/554c145f-3d1e-513e-a63b-212e699ac0cc,5501,nyt://article/554c145f-3d1e-513e-a63b-212e699ac0cc,Theater Listings for Oct. 19-25,,,The Listings,,,,By The New York Times,[],The New York Times,C,16,
5,Tom Wolfe’s novel “Back to Blood” imagines a city where “everybody hates everybody.”,https://www.nytimes.com/2012/10/19/books/back-to-blood-by-tom-wolfe.html,Tom Wolfe’s novel “Back to Blood” imagines a city where “everybody hates everybody.”,"In “Back to Blood,” Tom Wolfe tries to do for Miami what he did for New York in “The Bonfire of the Vanities”  and Atlanta in “A Man in Full.”  The result is a soapy, gripping and sometimes glib novel that’s filled with heaps of contrivance and cartoonish antics, but that also stars two characters who attest to Mr. Wolfe’s new and improved ability to conjure fully realized people. ",The New York Times,"[{'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/19/arts/19BOOK/19BOOK-jumbo-v2.jpg', 'height': 1024, 'width': 817, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/19/arts/19BOOK/19BOOK-popup-v2.jpg', 'height': 500, 'width': 399, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'superJumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/19/arts/19BOOK/19BOOK-superJumbo-v2.jpg', 'height': 2048, 'width': 1634, 'legacy': {}, 'subType': 'superJumbo', 'crop_name': 'superJumbo'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/19/arts/19BOOK/19BOOK-articleInline-v3.jpg', 'height': 282, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/19/arts/19BOOK/19BOOK-thumbStandard-v2.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2012/10/19/arts/19BOOK/19BOOK-thumbStandard-v2.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}, {'rank': 0, 'subtype': 'thumbLarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/19/arts/19BOOK/19BOOK-thumbLarge-v2.jpg', 'height': 150, 'width': 150, 'legacy': {}, 'subType': 'thumbLarge', 'crop_name': 'thumbLarge'}]","[{'name': 'subject', 'value': 'Books and Literature', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Wolfe, Tom', 'rank': 2, 'major': 'N'}]",2012-10-18T12:00:10+0000,article,Weekend,Books,Review,nyt://article/df12f19b-3f40-55ac-a325-fda52d103cda,1106,nyt://article/df12f19b-3f40-55ac-a325-fda52d103cda,A Dog-Eat-Dog World Along Biscayne Bay,Books of The Times,,A Dog-Eat-Dog World Along Biscayne Bay,,,,By Michiko Kakutani,"[{'firstname': 'Michiko', 'middlename': None, 'lastname': 'Kakutani', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,C,23,
6,"California’s ballot propositions include several from billionaires, a sign that the wealthy are using “super PACs”  to influence politics in the nation’s most populous state.",https://www.nytimes.com/2012/10/17/us/politics/california-ballot-initiatives-dominated-by-the-very-rich.html,"California’s ballot propositions include several from billionaires, a sign that the wealthy are using “super PACs”  to influence politics in the nation’s most populous state.","SAN FRANCISCO — Next month, California voters will be asked to consider 11 ballot propositions whose passage would carry the full force of law, an exercise in direct democracy that traces back to the Progressive Era of the early 20th century. ",The New York Times,"[{'rank': 0, 'subtype': 'blog480', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/17/us/PROPOSALS-1/PROPOSALS-1-blog480.jpg', 'height': 320, 'width': 480, 'legacy': {}, 'subType': 'blog480', 'crop_name': 'blog480'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/17/us/PROPOSALS-1/PROPOSALS-1-jumbo.jpg', 'height': 683, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/17/us/PROPOSALS-1/PROPOSALS-1-popup.jpg', 'height': 433, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'superJumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/17/us/PROPOSALS-1/PROPOSALS-1-superJumbo.jpg', 'height': 1365, 'width': 2048, 'legacy': {}, 'subType': 'superJumbo', 'crop_name': 'superJumbo'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/17/us/PROPOSALS-1/PROPOSALS-1-articleInline.jpg', 'height': 127, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/17/us/PROPOSALS-1/PROPOSALS-1-sfSpan.jpg', 'height': 263, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}]","[{'name': 'subject', 'value': 'Referendums', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'High Net Worth Individuals', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Political Action Committees', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Kelly, Chris', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Munger, Molly', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Elections', 'rank': 6, 'major': 'N'}, {'name': 'glocations', 'value': 'California', 'rank': 7, 'major': 'N'}]",2012-10-17T02:58:45+0000,article,National,U.S.,News,nyt://article/1114506b-9d08-5633-a2e3-ed6c2dc9be02,1178,nyt://article/1114506b-9d08-5633-a2e3-ed6c2dc9be02,"California Ballot Initiatives, Born in Populism, Now Come From Billionaires",,,"California Ballot Initiatives, Born in Populism, Now Come From Billionaires",,,,By Norimitsu Onishi,"[{'firstname': 'Norimitsu', 'middlename': None, 'lastname': 'Onishi', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A,22,Politics
7,"Most institutions are pursuing alternative investments, which have been underperforming a simple mix of stocks and bonds in recent years.",https://www.nytimes.com/2012/10/13/business/colleges-and-universities-invest-in-unconventional-ways.html,"Most institutions are pursuing alternative investments, which have been underperforming a simple mix of stocks and bonds in recent years.","For years, America’s largest, richest and most prestigious universities have been the envy of investors. They churned out double-digit returns over the last two decades, even with steep losses during the financial crisis. Harvard’s endowment today is over $30 billion and has generated annualized returns of 12.5 percent over the last 20 years.",The New York Times,"[{'rank': 0, 'subtype': 'blog480', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/13/business/13stewart/13stewart-blog480.jpg', 'height': 326, 'width': 480, 'legacy': {}, 'subType': 'blog480', 'crop_name': 'blog480'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/13/business/13stewart/13stewart-jumbo.jpg', 'height': 696, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/13/business/13stewart/13stewart-popup.jpg', 'height': 442, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'superJumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/13/business/13stewart/13stewart-superJumbo.jpg', 'height': 1391, 'width': 2048, 'legacy': {}, 'subType': 'superJumbo', 'crop_name': 'superJumbo'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/13/business/13stewart/13stewart-articleInline.jpg', 'height': 129, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/13/business/13stewart/13stewart-sfSpan.jpg', 'height': 268, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/13/business/13stewart/13stewart-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2012/10/13/business/13stewart/13stewart-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}, {'rank': 0, 'subtype': 'thumbLarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/13/business/13stewart/13stewart-thumbLarge.jpg', 'height': 150, 'width': 150, 'legacy': {}, 'subType': 'thumbLarge', 'crop_name': 'thumbLarge'}]","[{'name': 'subject', 'value': 'Endowments', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Colleges and Universities', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Ivy League', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Hedge Funds', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Stocks and Bonds', 'rank': 5, 'major': 'N'}]",2012-10-12T14:55:05+0000,article,Business,Business Day,News,nyt://article/5b0db9b6-3e42-5cbf-967e-b718c8eba51c,1425,nyt://article/5b0db9b6-3e42-5cbf-967e-b718c8eba51c,University Endowments Face a Hard Landing,Common Sense,,University Endowments Face a Hard Landing,,,,By James B. Stewart,"[{'firstname': 'James', 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,B,1,
8,"Democrats saw the vice president’s appearance as energizing, but many Republicans sensed an easy opening and called him “unhinged.”",https://www.nytimes.com/2012/10/13/us/politics/partisans-on-both-sides-seize-on-bidens-performance.html,"Democrats saw the vice president’s appearance as energizing, but many Republicans sensed an easy opening and called him “unhinged.”","WASHINGTON — Vice President Joseph R. Biden Jr.’s smirking, aggressive performance during the vice-presidential debate on Thursday could be seen as a message for his boss: Here’s how you do it.",The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/12/us/subDEBATE/subDEBATE-articleLarge.jpg', 'height': 330, 'width': 600, 'legacy': {'xlarge': 'images/2012/10/12/us/subDEBATE/subDEBATE-articleLarge.jpg', 'xlargewidth': 600, 'xlargeheight': 330}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'blog480', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/12/us/subDEBATE/subDEBATE-blog480.jpg', 'height': 314, 'width': 480, 'legacy': {}, 'subType': 'blog480', 'crop_name': 'blog480'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/12/us/subDEBATE/subDEBATE-jumbo.jpg', 'height': 575, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/12/us/subDEBATE/subDEBATE-popup.jpg', 'height': 365, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'superJumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/12/us/subDEBATE/subDEBATE-superJumbo.jpg', 'height': 1149, 'width': 2048, 'legacy': {}, 'subType': 'superJumbo', 'crop_name': 'superJumbo'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/12/us/subDEBATE/subDEBATE-articleInline.jpg', 'height': 124, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/12/us/subDEBATE/subDEBATE-sfSpan.jpg', 'height': 258, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/12/us/subDEBATE/subDEBATE-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2012/10/12/us/subDEBATE/subDEBATE-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}, {'rank': 0, 'subtype': 'thumbLarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/12/us/subDEBATE/subDEBATE-thumbLarge.jpg', 'height': 150, 'width': 150, 'legacy': {}, 'subType': 'thumbLarge', 'crop_name': 'thumbLarge'}]","[{'name': 'subject', 'value': 'Debates (Political)', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Biden, Joseph R Jr', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Presidential Election of 2012', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Vice Presidents and Vice Presidency (US)', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Ryan, Paul D Jr', 'rank': 5, 'major': 'N'}]",2012-10-12T14:41:30+0000,article,National,U.S.,News,nyt://article/1c8e4d94-9c16-541b-8f73-1a33deba1f7d,700,nyt://article/1c8e4d94-9c16-541b-8f73-1a33deba1f7d,Show of Teeth Spurs a Debate Over Biden,,,"In Biden, Inspiration, but Imitation Is Not Expected",,,,By Michael D. Shear,"[{'firstname': 'Michael', 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A,13,Politics
9,"A selected, critical guide to plays running in New York, with special note of productions in previews or opening.",https://www.nytimes.com/2012/10/12/theater/theater-listings-for-oct-12-18.html,"A selected, critical guide to plays running in New York, with special note of productions in previews or opening.",Theater,The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/12/arts/LISTINGS-THEATER/LISTINGS-THEATER-articleLarge.jpg', 'height': 354, 'width': 600, 'legacy': {'xlarge': 'images/2012/10/12/arts/LISTINGS-THEATER/LISTINGS-THEATER-articleLarge.jpg', 'xlargewidth': 600, 'xlargeheight': 354}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'blog480', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/12/arts/LISTINGS-THEATER/LISTINGS-THEATER-blog480.jpg', 'height': 297, 'width': 480, 'legacy': {}, 'subType': 'blog480', 'crop_name': 'blog480'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/12/arts/LISTINGS-THEATER/LISTINGS-THEATER-jumbo.jpg', 'height': 634, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/12/arts/LISTINGS-THEATER/LISTINGS-THEATER-popup.jpg', 'height': 402, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'superJumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/12/arts/LISTINGS-THEATER/LISTINGS-THEATER-superJumbo.jpg', 'height': 1268, 'width': 2048, 'legacy': {}, 'subType': 'superJumbo', 'crop_name': 'superJumbo'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/12/arts/LISTINGS-THEATER/LISTINGS-THEATER-articleInline.jpg', 'height': 118, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/12/arts/LISTINGS-THEATER/LISTINGS-THEATER-sfSpan.jpg', 'height': 244, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/12/arts/LISTINGS-THEATER/LISTINGS-THEATER-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2012/10/12/arts/LISTINGS-THEATER/LISTINGS-THEATER-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}, {'rank': 0, 'subtype': 'thumbLarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/12/arts/LISTINGS-THEATER/LISTINGS-THEATER-thumbLarge.jpg', 'height': 150, 'width': 150, 'legacy': {}, 'subType': 'thumbLarge', 'crop_name': 'thumbLarge'}]","[{'name': 'subject', 'value': 'Theater', 'rank': 1, 'major': 'N'}]",2012-10-11T21:50:38+0000,article,Weekend,Theater,Schedule,nyt://article/f44ef73e-19cd-50c9-bc8a-a0cf64be75fc,4814,nyt://article/f44ef73e-19cd-50c9-bc8a-a0cf64be75fc,Theater Listings for Oct. 12-18,,,The Listings,,,,,[],,C,18,
