,abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,subsection_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,print_section,print_page
0,The long-festering feud between Elizabeth Warren and Pete Buttigieg erupted Thursday night in a high-stakes debate that tested the strength of the Democratic Party's shrinking pool of presidential contenders just six weeks before primary voting begins.,https://www.nytimes.com/aponline/2019/12/19/us/politics/ap-us-election-2020-debate.html,The long-festering feud between Elizabeth Warren and Pete Buttigieg erupted Thursday night in a high-stakes debate that tested the strength of the Democratic Party's shrinking pool of presidential contenders just six weeks before primary voting be...,LOS ANGELES — The long-festering feud between Elizabeth Warren and Pete Buttigieg erupted Thursday night in a high-stakes debate that tested the strength of the Democratic Party's shrinking pool of presidential contenders just six weeks before primary voting begins.,AP,[],[],2019-12-19T05:24:32+0000,article,None,U.S.,Politics,News,nyt://article/e489b3d1-d18e-598c-9091-4538cb552001,1104,nyt://article/e489b3d1-d18e-598c-9091-4538cb552001,Buttigieg-Warren Clash on Campaign Trail Spills Into Debate,,,Buttigieg-Warren Clash on Campaign Trail Spills Into Debate,,,,By The Associated Press,[],The Associated Press,,
1,"One day after impeaching President Donald Trump, the Democratic-led House is expected to overwhelmingly pass one of his signature priorities, a rewrite of the 25-year-old free trade agreement he blames for shipping U.S. manufacturing jobs to Mexico. ",https://www.nytimes.com/aponline/2019/12/19/us/politics/ap-us-congress-trade.html,"One day after impeaching President Donald Trump, the Democratic-led House is expected to overwhelmingly pass one of his signature priorities, a rewrite of the 25-year-old free trade agreement he blames for shipping U.S. manufacturing jobs to Mexic...","WASHINGTON — One day after impeaching President Donald Trump, the Democratic-led House is expected to overwhelmingly pass one of his signature priorities, a rewrite of the 25-year-old free trade agreement he blames for shipping U.S. manufacturing jobs to Mexico. ",AP,[],[],2019-12-19T05:24:30+0000,article,None,U.S.,Politics,News,nyt://article/177b75cc-56b1-55d3-9583-433eb25cdfa7,825,nyt://article/177b75cc-56b1-55d3-9583-433eb25cdfa7,Democratic-Led House Expected to Give Trump Big Win on Trade,,,Democratic-Led House Expected to Give Trump Big Win on Trade,,,,By The Associated Press,[],The Associated Press,,
2,"President Donald Trump railed behind closed doors Thursday about House Speaker Nancy Pelosi's decision to delay sending articles of impeachment to the Republican Senate, putting an expected trial in limbo.",https://www.nytimes.com/aponline/2019/12/19/us/politics/ap-us-trump-impeachment.html,"President Donald Trump railed behind closed doors Thursday about House Speaker Nancy Pelosi's decision to delay sending articles of impeachment to the Republican Senate, putting an expected trial in limbo.","WASHINGTON — President Donald Trump railed behind closed doors Thursday about House Speaker Nancy Pelosi's decision to delay sending articles of impeachment to the Republican Senate, putting an expected trial in limbo.",AP,[],[],2019-12-19T05:15:35+0000,article,None,U.S.,Politics,News,nyt://article/719de645-9aa8-5299-bba9-8d6152661751,638,nyt://article/719de645-9aa8-5299-bba9-8d6152661751,Trump Rails Against Delay in Moving Impeachment to Senate,,,Trump Rails Against Delay in Moving Impeachment to Senate,,,,By The Associated Press,[],The Associated Press,,
3,Congress has headed home for the holidays leaving plans and a possible timeline for President Donald Trump's impeachment trial in disarray.,https://www.nytimes.com/aponline/2019/12/18/us/politics/ap-us-trump-impeachment-senate-trial.html,Congress has headed home for the holidays leaving plans and a possible timeline for President Donald Trump's impeachment trial in disarray.,WASHINGTON — Congress has headed home for the holidays leaving plans and a possible timeline for President Donald Trump's impeachment trial in disarray.,AP,[],[],2019-12-19T04:45:29+0000,article,None,U.S.,Politics,News,nyt://article/0cf94d62-e300-5f1a-ab1d-6cc5ab5e8d2e,813,nyt://article/0cf94d62-e300-5f1a-ab1d-6cc5ab5e8d2e,Impeachment Trial Plans in Disarray as Congress Heads Home,,,Impeachment Trial Plans in Disarray as Congress Heads Home,,,,By The Associated Press,[],The Associated Press,,
4,"In declining to say when she might send the articles of impeachment to the Senate, Speaker Nancy Pelosi suggested she might keep them as leverage for negotiations on the rules for a trial.",https://www.nytimes.com/2019/12/18/us/politics/impeachment-trial.html,"In declining to say when she might send the articles of impeachment to the Senate, Speaker Nancy Pelosi suggested she might keep them as leverage for negotiations on the rules for a trial.","WASHINGTON — Speaker Nancy Pelosi indicated Wednesday night that the House could indefinitely delay sending the articles of impeachment against President Trump to the Senate, leaving ambiguous the timing of a trial to decide whether to acquit him or convict and remove him from office.",The New York Times,[],"[{'name': 'subject', 'value': 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Impeachment', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Republican Party', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'House of Representatives', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Senate', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Pelosi, Nancy', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Trump, Donald J', 'rank': 7, 'major': 'N'}]",2019-12-19T04:32:40+0000,article,Washington,U.S.,Politics,News,nyt://article/d4a3cd4b-7307-518d-8186-67f8cea637a3,912,nyt://article/d4a3cd4b-7307-518d-8186-67f8cea637a3,Timing of Trump Impeachment Trial in Limbo as Pelosi Holds Out for Assurances,,,"Pelosi, Asking For Fair Trial, Might Hold Articles Back",,,,By Nicholas Fandos,"[{'firstname': 'Nicholas', 'middlename': None, 'lastname': 'Fandos', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A,12
5,"President Donald Trump's impeachment night crack that the late Michigan Rep. John Dingell might be “looking up” from hell drew wide scorn and scant defense from his allies Thursday, on the cusp of the 2020 election year and just days before Christmas.",https://www.nytimes.com/aponline/2019/12/18/us/politics/ap-us-trump-dingell-.html,"President Donald Trump's impeachment night crack that the late Michigan Rep. John Dingell might be “looking up” from hell drew wide scorn and scant defense from his allies Thursday, on the cusp of the 2020 election year and just days before Christ...","WASHINGTON — President Donald Trump's impeachment night crack that the late Michigan Rep. John Dingell might be “looking up” from hell drew wide scorn and scant defense from his allies Thursday, on the cusp of the 2020 election year and just days before Christmas.",AP,[],[],2019-12-19T04:30:38+0000,article,None,U.S.,Politics,News,nyt://article/f3f32fae-cca6-54a4-a3ac-18c561e4a264,945,nyt://article/f3f32fae-cca6-54a4-a3ac-18c561e4a264,Some in GOP Want Trump Apology for Denigrating Late Dingell,,,Some in GOP Want Trump Apology for Denigrating Late Dingell,,,,By The Associated Press,[],The Associated Press,,
6,"The House's center of power took a seat toward the back of the chamber Wednesday. Her golden mace brooch, symbol of the House and the speaker's authority, glinted.",https://www.nytimes.com/aponline/2019/12/18/us/politics/ap-us-trump-impeachment-pelosi-3rd-ld-writethru.html,"The House's center of power took a seat toward the back of the chamber Wednesday. Her golden mace brooch, symbol of the House and the speaker's authority, glinted.","WASHINGTON — The House's center of power took a seat toward the back of the chamber Wednesday. Her golden mace brooch, symbol of the House and the speaker's authority, glinted.",AP,[],[],2019-12-19T03:39:34+0000,article,None,U.S.,Politics,News,nyt://article/8af4bb9f-7b87-5d63-9e8b-5d257b33ef89,945,nyt://article/8af4bb9f-7b87-5d63-9e8b-5d257b33ef89,Legacy Moment: Pelosi Leads 'Somber' Trump Impeachment,,,Legacy Moment: Pelosi Leads 'Somber' Trump Impeachment,,,,By The Associated Press,[],The Associated Press,,
7,"An embattled President Donald Trump condemned the Democratic-led impeachment vote against him on Wednesday, irked that he made U.S. history in a bad way but assured that Republicans in the Senate will save him from being ousted.",https://www.nytimes.com/reuters/2019/12/18/world/europe/18reuters-usa-trump-impeachment-rally.html,"An embattled President Donald Trump condemned the Democratic-led impeachment vote against him on Wednesday, irked that he made U.S. history in a bad way but assured that Republicans in the Senate will save him from being ousted.","BATTLE CREEK, Mich.,/WASHINGTON — An embattled President Donald Trump condemned the Democratic-led impeachment vote against him on Wednesday, irked that he made U.S. history in a bad way but assured that Republicans in the Senate will save him from being ousted.",Reuters,[],[],2019-12-19T03:25:12+0000,article,None,World,Europe,News,nyt://article/073cc9c3-cdb3-5e6f-8851-87a1fba7b686,746,nyt://article/073cc9c3-cdb3-5e6f-8851-87a1fba7b686,"At Campaign Rally, Embattled Trump Gives Withering Review of Impeachment Vote",,,"At Campaign Rally, Embattled Trump Gives Withering Review of Impeachment Vote",,,,By Reuters,[],Reuters,,
8,"Wednesday's impeachment vote against President Donald Trump posed a political test for 31 House Democrats who represent districts that backed Trump in the 2016 presidential election, as Republicans warned that those lawmakers could face a backlash if they supported the effort to remove the president from office. ",https://www.nytimes.com/reuters/2019/12/18/world/europe/18reuters-usa-trump-impeachment-nos.html,"Wednesday's impeachment vote against President Donald Trump posed a political test for 31 House Democrats who represent districts that backed Trump in the 2016 presidential election, as Republicans warned that those lawmakers could face a backlash...","WASHINGTON — Wednesday's impeachment vote against President Donald Trump posed a political test for 31 House Democrats who represent districts that backed Trump in the 2016 presidential election, as Republicans warned that those lawmakers could face a backlash if they supported the effort to remove the president from office. ",Reuters,[],[],2019-12-19T03:25:11+0000,article,None,World,Europe,News,nyt://article/9e70bf57-9258-55cb-b4c4-0afee247caf4,449,nyt://article/9e70bf57-9258-55cb-b4c4-0afee247caf4,Democrat 'No's' Say Party Didn't Make Impeachment Case Against Trump,,,Democrat 'No's' Say Party Didn't Make Impeachment Case Against Trump,,,,By Reuters,[],Reuters,,
9,"China touted its proposal offering sanctions relief to North Korea as the best option to diffuse tensions, calling on Thursday for a compromise in the standoff between Washington and Pyongyang over the latter's nuclear and missiles programmes.",https://www.nytimes.com/reuters/2019/12/18/world/asia/18reuters-northkorea-usa-china.html,"China touted its proposal offering sanctions relief to North Korea as the best option to diffuse tensions, calling on Thursday for a compromise in the standoff between Washington and Pyongyang over the latter's nuclear and missiles programmes.","BEIJING — China touted its proposal offering sanctions relief to North Korea as the best option to diffuse tensions, calling on Thursday for a compromise in the standoff between Washington and Pyongyang over the latter's nuclear and missiles programmes.",Reuters,[],[],2019-12-19T03:25:09+0000,article,None,World,Asia Pacific,News,nyt://article/9330eba3-062a-5284-85f9-1e0de28c9c1b,375,nyt://article/9330eba3-062a-5284-85f9-1e0de28c9c1b,China Says North Korean Sanctions Relief Is Best Plan With U.S. Envoy Set to Arrive,,,China Says North Korean Sanctions Relief Is Best Plan With U.S. Envoy Set to Arrive,,,,By Reuters,[],Reuters,,
