,abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,print_section
0,,https://www.nytimes.com/1967/10/01/archives/births.html,,,94,The New York Times,[],[],1967-10-01T05:00:00+0000,article,None,Archives,Archives,nyt://article/b7255c96-0ad0-5b77-b960-0e8fc97960d0,0,nyt://article/b7255c96-0ad0-5b77-b960-0e8fc97960d0,Births,1,,Births,,,,,[],,
1,,https://www.nytimes.com/1967/10/01/archives/football-scores-colleges.html,,,195,The New York Times,[],[],1967-10-01T05:00:00+0000,article,None,Archives,Archives,nyt://article/6e504426-eaad-5cb4-866d-1acc53ebb2e2,0,nyt://article/6e504426-eaad-5cb4-866d-1acc53ebb2e2,Football Scores; COLLEGES,2,,Football Scores; COLLEGES,,,,,[],,S
2,,https://www.nytimes.com/1967/10/01/archives/deaths.html,,,84,The New York Times,[],[],1967-10-01T05:00:00+0000,article,None,Archives,Archives,nyt://article/a24decbe-f556-5df3-b282-5e1af76d1187,0,nyt://article/a24decbe-f556-5df3-b282-5e1af76d1187,Deaths,1,,Deaths,,,,,[],,
3,ed on arrest,https://www.nytimes.com/1967/09/30/archives/deaths.html,ed on arrest,,33,The New York Times,[],"[{'name': 'glocations', 'value': 'Greece', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'NEWS AND NEWSPAPERS', 'rank': 2, 'major': 'N'}]",1967-09-30T05:00:00+0000,article,None,Archives,Archives,nyt://article/4ec95575-5c5a-554c-bdb4-3146da2ffb02,0,nyt://article/4ec95575-5c5a-554c-bdb4-3146da2ffb02,Deaths,,,Deaths,,,,,[],,
4,,https://www.nytimes.com/1967/09/30/archives/roosevelt-raceway-results.html,,,36,The New York Times,[],[],1967-09-30T05:00:00+0000,article,None,Archives,Archives,nyt://article/d09f0210-efb9-56b8-998e-042b44408f27,0,nyt://article/d09f0210-efb9-56b8-998e-042b44408f27,Roosevelt Raceway Results,1,,Roosevelt Raceway Results,,,,,[],,S
5,,https://www.nytimes.com/1967/09/30/archives/visible-satellites.html,,,66,The New York Times,[],[],1967-09-30T05:00:00+0000,article,None,Archives,Archives,nyt://article/e7cdf05e-089d-5f37-9e63-7084e6e5eef9,0,nyt://article/e7cdf05e-089d-5f37-9e63-7084e6e5eef9,Visible Satellites,1,,Visible Satellites,,,,,[],,
6,,https://www.nytimes.com/1967/09/29/archives/roosevelt-raceway-entries.html,,,68,The New York Times,[],[],1967-09-29T05:00:00+0000,article,None,Archives,Archives,nyt://article/818a044b-5b9f-5794-b891-d294d47556d9,0,nyt://article/818a044b-5b9f-5794-b891-d294d47556d9,Roosevelt Raceway Entries,1,,Roosevelt Raceway Entries,,,,,[],,S
7,Lr on fatal cog ry accident on Mt Washington urges ry be replaced with modern cableway,https://www.nytimes.com/1967/09/26/archives/letters-to-the-editor-of-the-times.html,Lr on fatal cog ry accident on Mt Washington urges ry be replaced with modern cableway,,46,The New York Times,[],"[{'name': 'glocations', 'value': 'California', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'United States', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Forests and Forestry', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Taxation', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'FEDERAL', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'SALES TAX (PROPOSED)', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'CABLE CARS', 'rank': 7, 'major': 'N'}]",1967-09-26T05:00:00+0000,article,None,Archives,Archives,nyt://article/0ee904c1-6a4d-58ca-8d9b-f65683ecfb01,0,nyt://article/0ee904c1-6a4d-58ca-8d9b-f65683ecfb01,Letters to the Editor of The Times,,,Letters to the Editor of The Times,,,,,[],,
8,Columbia Records to again subsidize bus service to theaters resuming Oct 9,https://www.nytimes.com/1967/09/26/archives/buses-to-theater-resume-on-oct-9-columbia-records-will-again.html,Columbia Records to again subsidize bus service to theaters resuming Oct 9,,54,The New York Times,[],"[{'name': 'glocations', 'value': 'NEW YORK CITY AND METROPOLITAN AREA', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'NEW YORK CITY TRANSIT SYSTEM', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'SERVICES AND EQUIPMENT', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Buses', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Theater', 'rank': 5, 'major': 'N'}]",1967-09-26T05:00:00+0000,article,None,Archives,Archives,nyt://article/2cf611c3-95f1-50f9-89f9-5cf812cafba8,0,nyt://article/2cf611c3-95f1-50f9-89f9-5cf812cafba8,BUSES TO THEATER RESUME ON OCT. 9; Columbia Records Will Again Sponsor Nightly Service,,,BUSES TO THEATER RESUME ON OCT. 9; Columbia Records Will Again Sponsor Nightly Service,,,,By Sam Zolotow,"[{'firstname': 'Sam', 'middlename': None, 'lastname': 'Zolotow', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
9,"WESTBURY, L.I., Sept. 23-- Vernon Dancer moved Lana Hanover through a narrow opening between trotters in the closing yards tonight and his daring drive brought the daughter of Hickory SmokeLatona Hanover a nose victory over Jamie's Beauty in the eighth annual Lady Suffolk Trot before 30,523 at Roosevelt Raceway.  ",https://www.nytimes.com/1967/09/24/archives/westbury-trot-to-lana-hanover-jamies-beauty-is-second-in-35540-lady.html,,,221,The New York Times,[],[],1967-09-24T05:00:00+0000,article,None,Archives,Archives,nyt://article/23f6385d-4449-58bf-a13d-97ad8bee55e4,0,nyt://article/23f6385d-4449-58bf-a13d-97ad8bee55e4,"WESTBURY TROT TO LANA HANOVER; Jamies Beauty Is Second in $35,540 Lady Suffolk",1,,"WESTBURY TROT TO LANA HANOVER; Jamies Beauty Is Second in $35,540 Lady Suffolk",,,,,[],,S
