,abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization
0,"Danish energy firm Orsted said on Friday it had secured funding for a demonstration project using offshore wind power to produce renewable hydrogen to power buses, lorries and potentially taxis.",https://www.nytimes.com/reuters/2019/12/20/business/20reuters-orsted-renewables-hydrogen.html,"Danish energy firm Orsted said on Friday it had secured funding for a demonstration project using offshore wind power to produce renewable hydrogen to power buses, lorries and potentially taxis.","COPENHAGEN — Danish energy firm Orsted said on Friday it had secured funding for a demonstration project using offshore wind power to produce renewable hydrogen to power buses, lorries and potentially taxis.",Reuters,[],[],2019-12-20T10:09:58+0000,article,None,Business Day,News,nyt://article/96191451-064d-54b3-be03-0c9e3400d2bf,264,nyt://article/96191451-064d-54b3-be03-0c9e3400d2bf,Offshore Wind Developer Orsted Secures Money for Renewable Hydrogen Project,,,Offshore Wind Developer Orsted Secures Money for Renewable Hydrogen Project,,,,By Reuters,[],Reuters
1,"China's foreign ministry said on Friday that an investigation into two Canadians detained on state security charges since December last year had ended, and the case had been turned over to prosecutors. ",https://www.nytimes.com/reuters/2019/12/20/business/20reuters-usa-trade-china-canada.html,"China's foreign ministry said on Friday that an investigation into two Canadians detained on state security charges since December last year had ended, and the case had been turned over to prosecutors. ","BEIJING — China's foreign ministry said on Friday that an investigation into two Canadians detained on state security charges since December last year had ended, and the case had been turned over to prosecutors. ",Reuters,[],[],2019-12-20T10:09:57+0000,article,None,Business Day,News,nyt://article/99cee8da-eadc-5fee-91a7-d99336defb6c,260,nyt://article/99cee8da-eadc-5fee-91a7-d99336defb6c,China Says Case of Detained Canadians Turned Over to Prosecutors,,,China Says Case of Detained Canadians Turned Over to Prosecutors,,,,By Reuters,[],Reuters
2,"Indian will emerge stronger from an economic slowdown, Prime Minister Narendra Modi said in a speech on Friday, reassuring investors about their long-term bets on Asia's third-biggest economy. ",https://www.nytimes.com/reuters/2019/12/20/business/20reuters-india-economy.html,"Indian will emerge stronger from an economic slowdown, Prime Minister Narendra Modi said in a speech on Friday, reassuring investors about their long-term bets on Asia's third-biggest economy. ","NEW DELHI — Indian will emerge stronger from an economic slowdown, Prime Minister Narendra Modi said in a speech on Friday, reassuring investors about their long-term bets on Asia's third-biggest economy. ",Reuters,[],[],2019-12-20T10:09:55+0000,article,None,Business Day,News,nyt://article/6cb95da2-d452-5cf3-a3d4-37e230e31d58,132,nyt://article/6cb95da2-d452-5cf3-a3d4-37e230e31d58,"India Will Emerge Stronger From Economic Slowdown, Modi Says",,,"India Will Emerge Stronger From Economic Slowdown, Modi Says",,,,By Reuters,[],Reuters
3,"In a ruling hailed as an “immense victory for climate justice,” the Netherlands' top court ruled Friday in favor of activists who have for years been seeking legal orders to force the Dutch government into cutting greenhouse gas emissions.",https://www.nytimes.com/aponline/2019/12/20/business/bc-eu-netherlands-climate-case.html,"In a ruling hailed as an “immense victory for climate justice,” the Netherlands' top court ruled Friday in favor of activists who have for years been seeking legal orders to force the Dutch government into cutting greenhouse gas emissions.","THE HAGUE, Netherlands — In a ruling hailed as an “immense victory for climate justice,” the Netherlands' top court ruled Friday in favor of activists who have for years been seeking legal orders to force the Dutch government into cutting greenhouse gas emissions.",AP,[],[],2019-12-20T10:09:28+0000,article,None,Business Day,News,nyt://article/082cbf6d-004e-5d32-bdeb-da9b858d68fc,940,nyt://article/082cbf6d-004e-5d32-bdeb-da9b858d68fc,Activists Cheer Victory in Landmark Dutch Climate Case,,,Activists Cheer Victory in Landmark Dutch Climate Case,,,,By The Associated Press,[],The Associated Press
4,"Most major economies have likely averted recession for now but growth will remain subdued in 2020, according to Reuters polls, despite the recent round of central bank stimulus and signs of a preliminary truce in the U.S.-China trade war.",https://www.nytimes.com/reuters/2019/12/20/business/20reuters-global-economy-poll.html,"Most major economies have likely averted recession for now but growth will remain subdued in 2020, according to Reuters polls, despite the recent round of central bank stimulus and signs of a preliminary truce in the U.S.-China trade war.","BENGALURU — Most major economies have likely averted recession for now but growth will remain subdued in 2020, according to Reuters polls, despite the recent round of central bank stimulus and signs of a preliminary truce in the U.S.-China trade war.",Reuters,[],[],2019-12-20T10:07:07+0000,article,None,Business Day,News,nyt://article/49ab4899-93bb-5455-be14-3143af721547,824,nyt://article/49ab4899-93bb-5455-be14-3143af721547,Global Outlook Sombre for Late-Cycle Expansion Despite Market Joy-Reuters Poll,,,Global Outlook Sombre for Late-Cycle Expansion Despite Market Joy-Reuters Poll,,,,By Reuters,[],Reuters
5,"The pound rose 0.4% on Friday after three days of declines, trading close to its biggest weekly loss since 2017 after gains last week on the Conservatives' clear election win were erased by the resurfacing risk of a no-deal Brexit.",https://www.nytimes.com/reuters/2019/12/20/business/20reuters-britain-sterling.html,"The pound rose 0.4% on Friday after three days of declines, trading close to its biggest weekly loss since 2017 after gains last week on the Conservatives' clear election win were erased by the resurfacing risk of a no-deal Brexit.","LONDON — The pound rose 0.4% on Friday after three days of declines, trading close to its biggest weekly loss since 2017 after gains last week on the Conservatives' clear election win were erased by the resurfacing risk of a no-deal Brexit.",Reuters,[],[],2019-12-20T10:07:06+0000,article,None,Business Day,News,nyt://article/f8f6a4e8-16ff-56df-8dfd-5a953b418228,436,nyt://article/f8f6a4e8-16ff-56df-8dfd-5a953b418228,Sterling Rises After Bruising Week of Losses,,,Sterling Rises After Bruising Week of Losses,,,,By Reuters,[],Reuters
6,"Confidence among British consumers and businesses rose to the highest level in five months in the run-up to Prime Minister Boris Johnson's emphatic election victory last week, surveys showed on Friday.",https://www.nytimes.com/reuters/2019/12/20/business/20reuters-britain-economy-consumers.html,"Confidence among British consumers and businesses rose to the highest level in five months in the run-up to Prime Minister Boris Johnson's emphatic election victory last week, surveys showed on Friday.","LONDON, Dec 20 — Confidence among British consumers and businesses rose to the highest level in five months in the run-up to Prime Minister Boris Johnson's emphatic election victory last week, surveys showed on Friday.",Reuters,[],[],2019-12-20T10:07:00+0000,article,None,Business Day,News,nyt://article/787b2a65-b3e2-521f-bf27-8806daffe18c,257,nyt://article/787b2a65-b3e2-521f-bf27-8806daffe18c,UK Consumer and Business Morale Touched Five-Month High Before Election-Surveys,,,UK Consumer and Business Morale Touched Five-Month High Before Election-Surveys,,,,By Reuters,[],Reuters
7,"One of the hardiest investment fixtures has been the annual 'buy' note on emerging markets equities, but their dismal performance over the past decade begs the question why.",https://www.nytimes.com/reuters/2019/12/20/business/20reuters-global-markets-decade-emerging.html,"One of the hardiest investment fixtures has been the annual 'buy' note on emerging markets equities, but their dismal performance over the past decade begs the question why.","LONDON — One of the hardiest investment fixtures has been the annual 'buy' note on emerging markets equities, but their dismal performance over the past decade begs the question why.",Reuters,[],[],2019-12-20T10:06:59+0000,article,None,Business Day,News,nyt://article/dc292ca6-c84e-5053-b6aa-c88701a213fa,1232,nyt://article/dc292ca6-c84e-5053-b6aa-c88701a213fa,Dismal Decade for Emerging Markets Casts Pall Over Repeated 'Buy' Notes,,,Dismal Decade for Emerging Markets Casts Pall Over Repeated 'Buy' Notes,,,,By Reuters,[],Reuters
8,"Foreign investors are on their longest spell of buying Chinese stocks this year, increasing their bets on the mainland markets as Beijing and Washington prepare to resolve a long-running trade war.",https://www.nytimes.com/reuters/2019/12/20/business/20reuters-china-markets-tech-stocks-graphic.html,"Foreign investors are on their longest spell of buying Chinese stocks this year, increasing their bets on the mainland markets as Beijing and Washington prepare to resolve a long-running trade war.","SHANGHAI — Foreign investors are on their longest spell of buying Chinese stocks this year, increasing their bets on the mainland markets as Beijing and Washington prepare to resolve a long-running trade war.",Reuters,[],[],2019-12-20T10:06:58+0000,article,None,Business Day,News,nyt://article/f62e1b17-b6df-5a57-91bc-c642a517572b,486,nyt://article/f62e1b17-b6df-5a57-91bc-c642a517572b,China's Tech Stocks Valuations Soar as Foreign Investors Pile In,,,China's Tech Stocks Valuations Soar as Foreign Investors Pile In,,,,By Reuters,[],Reuters
9,"China will actively help firms in the traditional manufacturing sector to get out of liquidity trouble next year, the banking and insurance regulator said on Friday, after recent liquidity woes and bond defaults by private firms.",https://www.nytimes.com/reuters/2019/12/20/business/20reuters-china-economy-banks.html,"China will actively help firms in the traditional manufacturing sector to get out of liquidity trouble next year, the banking and insurance regulator said on Friday, after recent liquidity woes and bond defaults by private firms.","BEIJING — China will actively help firms in the traditional manufacturing sector to get out of liquidity trouble next year, the banking and insurance regulator said on Friday, after recent liquidity woes and bond defaults by private firms.",Reuters,[],[],2019-12-20T10:04:23+0000,article,None,Business Day,News,nyt://article/aef7ca6e-de80-5e79-9e0b-118e4d9eadd5,428,nyt://article/aef7ca6e-de80-5e79-9e0b-118e4d9eadd5,China Will Push More Lending to Manufacturing Sector Next Year,,,China Will Push More Lending to Manufacturing Sector Next Year,,,,By Reuters,[],Reuters
