,abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,subsection_name,slideshow_credits
0,"Boeing's CEO is stepping down with no end in sight for a crisis that has enveloped the manufacturer and its marquee aircraft, the Max 737.",https://www.nytimes.com/aponline/2019/12/23/business/bc-boeing-ceo.html,"Boeing's CEO is stepping down with no end in sight for a crisis that has enveloped the manufacturer and its marquee aircraft, the Max 737.","Boeing's CEO is stepping down with no end in sight for a crisis that has enveloped the manufacturer and its marquee aircraft, the Max 737.",AP,[],[],2019-12-23T14:21:32+0000,article,None,Business Day,News,nyt://article/2b9ab560-592d-5aa8-acab-7cd53e330856,774,nyt://article/2b9ab560-592d-5aa8-acab-7cd53e330856,"After Deadly Crashes of Marquee Aircraft, Boeing CEO Is Out",,,"After Deadly Crashes of Marquee Aircraft, Boeing CEO Is Out",,,,By The Associated Press,[],The Associated Press,,
1,"A vehicle rigged with explosives blew up in a market in a northern Syrian town on Monday, killing five people and wounding others, state media and opposition activists said.",https://www.nytimes.com/aponline/2019/12/23/world/middleeast/ap-ml-syria.html,"A vehicle rigged with explosives blew up in a market in a northern Syrian town on Monday, killing five people and wounding others, state media and opposition activists said.","BEIRUT — A vehicle rigged with explosives blew up in a market in a northern Syrian town on Monday, killing five people and wounding others, state media and opposition activists said.",AP,[],[],2019-12-23T14:18:27+0000,article,None,World,News,nyt://article/e5bc9848-18d0-5b4e-a160-d5805affc33a,186,nyt://article/e5bc9848-18d0-5b4e-a160-d5805affc33a,Blast Kills 5 in North Syria Town Controlled by Opposition,,,Blast Kills 5 in North Syria Town Controlled by Opposition,,,,By The Associated Press,[],The Associated Press,Middle East,
2,"Turkey said on Monday that Saudi Arabia's decision to sentence five people to death and three more to jail terms for the murder of journalist Jamal Khashoggi was far from serving justice, and repeated its call judicial cooperation with Saudi authorities.",https://www.nytimes.com/reuters/2019/12/23/world/europe/23reuters-saudi-khashoggi-turkey.html,"Turkey said on Monday that Saudi Arabia's decision to sentence five people to death and three more to jail terms for the murder of journalist Jamal Khashoggi was far from serving justice, and repeated its call judicial cooperation with Saudi autho...","ANKARA — Turkey said on Monday that Saudi Arabia's decision to sentence five people to death and three more to jail terms for the murder of journalist Jamal Khashoggi was far from serving justice, and repeated its call judicial cooperation with Saudi authorities.",Reuters,[],[],2019-12-23T14:13:18+0000,article,None,World,News,nyt://article/9e773fec-b661-532e-83e5-278854e55d08,114,nyt://article/9e773fec-b661-532e-83e5-278854e55d08,Turkey Says Saudi Ruling on Khashoggi Murder Far From Serving Justice,,,Turkey Says Saudi Ruling on Khashoggi Murder Far From Serving Justice,,,,By Reuters,[],Reuters,Europe,
3,"Bombardier Inc said on Monday its newest business jets, Global 5500 and 6500, received U.S. Federal Aviation Administration certification, clearing the way for the Canadian plane maker to start deliveries.",https://www.nytimes.com/reuters/2019/12/23/business/23reuters-bombardier-global-aircraft.html,"Bombardier Inc said on Monday its newest business jets, Global 5500 and 6500, received U.S. Federal Aviation Administration certification, clearing the way for the Canadian plane maker to start deliveries.","(Reuters) - Bombardier Inc said on Monday its newest business jets, Global 5500 and 6500, received U.S. Federal Aviation Administration certification, clearing the way for the Canadian plane maker to start deliveries.",Reuters,[],[],2019-12-23T14:13:17+0000,article,None,Business Day,News,nyt://article/edf954a5-0dfb-5596-88bf-64aa7b371487,96,nyt://article/edf954a5-0dfb-5596-88bf-64aa7b371487,Bombardier's New Global Business Jets Get U.S. FAA Certification,,,Bombardier's New Global Business Jets Get U.S. FAA Certification,,,,By Reuters,[],Reuters,,
4,Chelsea defender Antonio Rudiger has urged Tottenham Hotspur to find and punish the individuals who allegedly directed racist abuse at him during Sunday's Premier League match.,https://www.nytimes.com/reuters/2019/12/23/sports/soccer/23reuters-soccer-england-tot-che.html,Chelsea defender Antonio Rudiger has urged Tottenham Hotspur to find and punish the individuals who allegedly directed racist abuse at him during Sunday's Premier League match.,LONDON — Chelsea defender Antonio Rudiger has urged Tottenham Hotspur to find and punish the individuals who allegedly directed racist abuse at him during Sunday's Premier League match.,Reuters,[],[],2019-12-23T14:13:10+0000,article,None,Sports,News,nyt://article/c2c4a4dc-c339-5fb3-ab82-6cc3a5e22c1b,423,nyt://article/c2c4a4dc-c339-5fb3-ab82-6cc3a5e22c1b,Chelsea's Rudiger Wants Swift Action Against Alleged Racist Abusers,,,Chelsea's Rudiger Wants Swift Action Against Alleged Racist Abusers,,,,By Reuters,[],Reuters,Soccer,
5,"West Ham United goalkeepers Lukasz Fabianski and David Martin are recovering well from hip muscle injuries and both players could play a role over the festive period, manager Manuel Pellegrini said on Monday.",https://www.nytimes.com/reuters/2019/12/23/sports/soccer/23reuters-soccer-england-cry-whu-preview.html,"West Ham United goalkeepers Lukasz Fabianski and David Martin are recovering well from hip muscle injuries and both players could play a role over the festive period, manager Manuel Pellegrini said on Monday.","(Reuters) - West Ham United goalkeepers Lukasz Fabianski and David Martin are recovering well from hip muscle injuries and both players could play a role over the festive period, manager Manuel Pellegrini said on Monday.",Reuters,[],[],2019-12-23T14:13:09+0000,article,None,Sports,News,nyt://article/9a2237ae-2c71-5b2e-b245-735b5e69d638,269,nyt://article/9a2237ae-2c71-5b2e-b245-735b5e69d638,"West Ham Keeper Fabianski Nearing Injury Return, Says Pellegrini",,,"West Ham Keeper Fabianski Nearing Injury Return, Says Pellegrini",,,,By Reuters,[],Reuters,Soccer,
6,"Sterling fell to a three-week low against the dollar on Monday, pulled down in holiday-thinned trade by nagging concern over the British government's hard line on Brexit talks.",https://www.nytimes.com/reuters/2019/12/23/business/23reuters-britain-markets.html,"Sterling fell to a three-week low against the dollar on Monday, pulled down in holiday-thinned trade by nagging concern over the British government's hard line on Brexit talks.","LONDON — Sterling fell to a three-week low against the dollar on Monday, pulled down in holiday-thinned trade by nagging concern over the British government's hard line on Brexit talks.",Reuters,[],[],2019-12-23T14:09:50+0000,article,None,Business Day,News,nyt://article/1738bc6b-83a2-56f6-ab36-afb5cdc41c49,112,nyt://article/1738bc6b-83a2-56f6-ab36-afb5cdc41c49,Sterling Falls to Three-Week Low Against Dollar,,,Sterling Falls to Three-Week Low Against Dollar,,,,By Reuters,[],Reuters,,
