,abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,subsection_name
0,"Oil prices slipped on Monday, but held near recent three-month highs amid optimism that the United States and China are close to signing a trade deal, with President Donald Trump saying an agreement would be signed ""very shortly"".",https://www.nytimes.com/reuters/2019/12/22/business/22reuters-global-oil.html,"Oil prices slipped on Monday, but held near recent three-month highs amid optimism that the United States and China are close to signing a trade deal, with President Donald Trump saying an agreement would be signed ""very shortly"".","TOKYO — Oil prices slipped on Monday, but held near recent three-month highs amid optimism that the United States and China are close to signing a trade deal, with President Donald Trump saying an agreement would be signed ""very shortly"".",Reuters,[],[],2019-12-23T01:39:29+0000,article,None,Business Day,News,nyt://article/bbc10423-bb85-5d40-9983-0f179a44af7e,398,nyt://article/bbc10423-bb85-5d40-9983-0f179a44af7e,"Oil Declines, but Losses Limited as U.S.-China Near Trade Deal",,,"Oil Declines, but Losses Limited as U.S.-China Near Trade Deal",,,,By Reuters,[],Reuters,
1,The Boston Celtics found a game plan that worked in crunch time against the Charlotte Hornets.,https://www.nytimes.com/aponline/2019/12/22/sports/basketball/bc-bkn-hornets-celtics.html,The Boston Celtics found a game plan that worked in crunch time against the Charlotte Hornets.,BOSTON — The Boston Celtics found a game plan that worked in crunch time against the Charlotte Hornets.,AP,[],[],2019-12-23T01:36:38+0000,article,None,Sports,News,nyt://article/dbbfb44b-724e-53c5-9550-a3aac0192166,833,nyt://article/dbbfb44b-724e-53c5-9550-a3aac0192166,"Tatum, Walker Lead Celtics to 119-93 Win Over Hornets",,,"Tatum, Walker Lead Celtics to 119-93 Win Over Hornets",,,,By The Associated Press,[],The Associated Press,Pro Basketball
2,Dwayne Haskins was knocked out of Washington's game Sunday with an ankle injury but wants to end his rookie season on the field.,https://www.nytimes.com/aponline/2019/12/22/sports/football/ap-fbn-nfl-injuries.html,Dwayne Haskins was knocked out of Washington's game Sunday with an ankle injury but wants to end his rookie season on the field.,Dwayne Haskins was knocked out of Washington's game Sunday with an ankle injury but wants to end his rookie season on the field.,AP,[],[],2019-12-23T01:36:33+0000,article,None,Sports,News,nyt://article/c0644097-9a93-5153-a3c3-325ee31f5e26,661,nyt://article/c0644097-9a93-5153-a3c3-325ee31f5e26,"Rookie QBs Haskins, Murray Leave Games With Injuries",,,"Rookie QBs Haskins, Murray Leave Games With Injuries",,,,By The Associated Press,[],The Associated Press,Pro Football
3,China will lower tariffs on products ranging from frozen pork and avocado to some types of semiconductors next year as Beijing looks to boost imports amid a slowing economy and a trade war with the United States.,https://www.nytimes.com/reuters/2019/12/22/business/22reuters-china-economy-imports.html,China will lower tariffs on products ranging from frozen pork and avocado to some types of semiconductors next year as Beijing looks to boost imports amid a slowing economy and a trade war with the United States.,BEIJING — China will lower tariffs on products ranging from frozen pork and avocado to some types of semiconductors next year as Beijing looks to boost imports amid a slowing economy and a trade war with the United States.,Reuters,[],[],2019-12-23T01:33:29+0000,article,None,Business Day,News,nyt://article/4414f845-feae-5e18-a538-1ee55b615660,553,nyt://article/4414f845-feae-5e18-a538-1ee55b615660,"China to Lower Import Tariffs on Frozen Pork, Avocados From January 1",,,"China to Lower Import Tariffs on Frozen Pork, Avocados From January 1",,,,By Reuters,[],Reuters,
4,Australian rare earths miner Arafura Resources Ltd on Monday said it had signed a preliminary agreement with a U.S. based company for the treatment of a certain variety of its rare earth concentrate.,https://www.nytimes.com/reuters/2019/12/22/business/22reuters-arafura-deals.html,Australian rare earths miner Arafura Resources Ltd on Monday said it had signed a preliminary agreement with a U.S. based company for the treatment of a certain variety of its rare earth concentrate.,(Reuters) - Australian rare earths miner Arafura Resources Ltd on Monday said it had signed a preliminary agreement with a U.S. based company for the treatment of a certain variety of its rare earth concentrate.,Reuters,[],[],2019-12-23T01:18:35+0000,article,None,Business Day,News,nyt://article/c598c372-e91e-5471-8739-02b7e32db5db,281,nyt://article/c598c372-e91e-5471-8739-02b7e32db5db,Arafura Resources Signs Initial Agreement for Rare Earth Processing in the U.S.,,,Arafura Resources Signs Initial Agreement for Rare Earth Processing in the U.S.,,,,By Reuters,[],Reuters,
5,Mexico's ambassador to Argentina resigned on Sunday citing health problems following new allegations of shoplifting after video from late October showed the diplomat attempting to steal a $10 book.,https://www.nytimes.com/reuters/2019/12/22/world/americas/22reuters-mexico-diplomacy.html,Mexico's ambassador to Argentina resigned on Sunday citing health problems following new allegations of shoplifting after video from late October showed the diplomat attempting to steal a $10 book.,MEXICO CITY — Mexico's ambassador to Argentina resigned on Sunday citing health problems following new allegations of shoplifting after video from late October showed the diplomat attempting to steal a $10 book.,Reuters,[],[],2019-12-23T01:18:33+0000,article,None,World,News,nyt://article/cea54264-2b60-5665-a0fc-fc4e5b251afc,190,nyt://article/cea54264-2b60-5665-a0fc-fc4e5b251afc,Mexican Ambassador Caught Shoplifting in Buenos Aires Resigns,,,Mexican Ambassador Caught Shoplifting in Buenos Aires Resigns,,,,By Reuters,[],Reuters,Americas
6,Jailyn Ingram had a season-high 21 points as Florida Atlantic topped Mercer 65-50 on Sunday night. ,https://www.nytimes.com/aponline/2019/12/22/sports/ncaabasketball/bc-bkc-fau-mercer.html,Jailyn Ingram had a season-high 21 points as Florida Atlantic topped Mercer 65-50 on Sunday night. ,"MACON, Ga. — Jailyn Ingram had a season-high 21 points as Florida Atlantic topped Mercer 65-50 on Sunday night. ",AP,[],[],2019-12-23T01:18:27+0000,article,None,Sports,News,nyt://article/0bff1ed6-3bed-5ea2-8495-75ab6a89b172,78,nyt://article/0bff1ed6-3bed-5ea2-8495-75ab6a89b172,Ingram Scores 21 to Lead FAU Over Mercer 65-50,,,Ingram Scores 21 to Lead FAU Over Mercer 65-50,,,,By The Associated Press,[],The Associated Press,College Basketball
7,U.S. oil and gas producer Apache Corp said on Sunday it entered into a joint venture agreement with France's Total S.A. to explore and develop an offshore block off Suriname.,https://www.nytimes.com/reuters/2019/12/22/business/22reuters-apache-total-suriname.html,U.S. oil and gas producer Apache Corp said on Sunday it entered into a joint venture agreement with France's Total S.A. to explore and develop an offshore block off Suriname.,(Reuters) - U.S. oil and gas producer Apache Corp said on Sunday it entered into a joint venture agreement with France's Total S.A. to explore and develop an offshore block off Suriname.,Reuters,[],[],2019-12-23T01:12:34+0000,article,None,Business Day,News,nyt://article/768b0c53-6d6c-5a6c-9e2d-f3f450ec9402,339,nyt://article/768b0c53-6d6c-5a6c-9e2d-f3f450ec9402,"Apache, Total Form Venture to Explore Offshore Suriname Block 58",,,"Apache, Total Form Venture to Explore Offshore Suriname Block 58",,,,By Reuters,[],Reuters,
8,"When 12-meter (39 ft) waves slammed into Banda Aceh on the northern tip of Indonesia's Sumatra island on Boxing Day in 2004, Arif Munandar lost his wife, three sons, and 20 other members of his family as much of the city was obliterated. ",https://www.nytimes.com/reuters/2019/12/22/world/asia/22reuters-indianocean-tsunami-risk.html,"When 12-meter (39 ft) waves slammed into Banda Aceh on the northern tip of Indonesia's Sumatra island on Boxing Day in 2004, Arif Munandar lost his wife, three sons, and 20 other members of his family as much of the city was obliterated. ","BANDA ACEH, Indonesia/NEW YORK — When 12-meter (39 ft) waves slammed into Banda Aceh on the northern tip of Indonesia's Sumatra island on Boxing Day in 2004, Arif Munandar lost his wife, three sons, and 20 other members of his family as much of the city was obliterated. ",Reuters,[],[],2019-12-23T01:12:32+0000,article,None,World,News,nyt://article/3b828696-4106-5a93-a9a7-b449515d0b9c,924,nyt://article/3b828696-4106-5a93-a9a7-b449515d0b9c,'We Can't Be Afraid': Rebuilding in Indonesia's Tsunami Zone Leaves City in Peril,,,'We Can't Be Afraid': Rebuilding in Indonesia's Tsunami Zone Leaves City in Peril,,,,By Reuters,[],Reuters,Asia Pacific
9,Arinze Chidom scored 17 points and Dikymbe Martin scored 15 and UC Riverside beat San Jose State 80-65 on Sunday.,https://www.nytimes.com/aponline/2019/12/22/sports/ncaabasketball/bc-bkc-uc-riverside-san-jose-st.html,Arinze Chidom scored 17 points and Dikymbe Martin scored 15 and UC Riverside beat San Jose State 80-65 on Sunday.,"SAN JOSE, Calif. — Arinze Chidom scored 17 points and Dikymbe Martin scored 15 and UC Riverside beat San Jose State 80-65 on Sunday.",AP,[],[],2019-12-23T01:12:30+0000,article,None,Sports,News,nyt://article/d8ae4fe5-73a7-5f96-9a93-968abeb48a68,146,nyt://article/d8ae4fe5-73a7-5f96-9a93-968abeb48a68,UC Riverside Adds to San Jose State's Woes With 80-65 Win,,,UC Riverside Adds to San Jose State's Woes With 80-65 Win,,,,By The Associated Press,[],The Associated Press,College Basketball
