,abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,subsection_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization
0,"A parked car exploded in Iraq's western province of Anbar early on Monday, killing two soldiers and wounding an officer close to an area that was once Islamic State's last stronghold in the country, the military said.",https://www.nytimes.com/reuters/2019/12/23/world/middleeast/23reuters-iraq-security.html,"A parked car exploded in Iraq's western province of Anbar early on Monday, killing two soldiers and wounding an officer close to an area that was once Islamic State's last stronghold in the country, the military said.","BAGHDAD — A parked car exploded in Iraq's western province of Anbar early on Monday, killing two soldiers and wounding an officer close to an area that was once Islamic State's last stronghold in the country, the military said.",Reuters,[],[],2019-12-23T08:42:39+0000,article,None,World,Middle East,News,nyt://article/ac763f2d-bcdc-5c21-89be-8fb5154a1382,197,nyt://article/ac763f2d-bcdc-5c21-89be-8fb5154a1382,Car Bomb Kills Two Soldiers in Western Iraq,,,Car Bomb Kills Two Soldiers in Western Iraq,,,,By Reuters,[],Reuters
1,"Anglo American has received the final operating licence it needs to boost production at its Minas-Rio iron ore mine in Brazil to its full capacity of 26.5 million tonnes a year, the mining company said on Monday.",https://www.nytimes.com/reuters/2019/12/23/business/23reuters-angloamerican-brazil.html,"Anglo American has received the final operating licence it needs to boost production at its Minas-Rio iron ore mine in Brazil to its full capacity of 26.5 million tonnes a year, the mining company said on Monday.","LONDON — Anglo American has received the final operating licence it needs to boost production at its Minas-Rio iron ore mine in Brazil to its full capacity of 26.5 million tonnes a year, the mining company said on Monday.",Reuters,[],[],2019-12-23T08:42:37+0000,article,None,Business Day,,News,nyt://article/eb84cbaf-030f-5ef6-9f56-de1cf81da1a3,402,nyt://article/eb84cbaf-030f-5ef6-9f56-de1cf81da1a3,Anglo American Gets Licence to Boost Minas-Rio Mine to Full Capacity,,,Anglo American Gets Licence to Boost Minas-Rio Mine to Full Capacity,,,,By Reuters,[],Reuters
2,"ArcelorMittal, the world's largest steelmaker, has agreed to sell a 50% stake in its shipping business, the first step in its plan to offload $2 billion (1.5 billion pounds) of assets by the middle of 2021 to reduce its debt",https://www.nytimes.com/reuters/2019/12/23/business/23reuters-arcelormittal-divestiture.html,"ArcelorMittal, the world's largest steelmaker, has agreed to sell a 50% stake in its shipping business, the first step in its plan to offload $2 billion (1.5 billion pounds) of assets by the middle of 2021 to reduce its debt","BRUSSELS — ArcelorMittal, the world's largest steelmaker, has agreed to sell a 50% stake in its shipping business, the first step in its plan to offload $2 billion (1.5 billion pounds) of assets by the middle of 2021 to reduce its debt",Reuters,[],[],2019-12-23T08:36:30+0000,article,None,Business Day,,News,nyt://article/ae186f40-2153-53fb-bff1-e0f0e70c6040,145,nyt://article/ae186f40-2153-53fb-bff1-e0f0e70c6040,ArcelorMittal Sells Shipping Stake in Drive to Cut Debt,,,ArcelorMittal Sells Shipping Stake in Drive to Cut Debt,,,,By Reuters,[],Reuters
3,"Unknown assailants set the car of a Turkish consulate employee ablaze early on Monday in the northern Greek city of Thessaloniki, a police official said.",https://www.nytimes.com/reuters/2019/12/23/world/europe/23reuters-greece-turkey-police-car.html,"Unknown assailants set the car of a Turkish consulate employee ablaze early on Monday in the northern Greek city of Thessaloniki, a police official said.","ATHENS — Unknown assailants set the car of a Turkish consulate employee ablaze early on Monday in the northern Greek city of Thessaloniki, a police official said.",Reuters,[],[],2019-12-23T08:33:41+0000,article,None,World,Europe,News,nyt://article/dd8a8d43-7a0f-54ab-a391-42150ecb0f38,122,nyt://article/dd8a8d43-7a0f-54ab-a391-42150ecb0f38,Assailants Set Turkish Consulate Employee's Car on Fire in Greece,,,Assailants Set Turkish Consulate Employee's Car on Fire in Greece,,,,By Reuters,[],Reuters
4,"A drop in healthcare and financial stocks led London's main index away from a near five-month high on Monday and halted its eight-day rally, though NMC Health outperformed after launching a review of its books following an attack by a short-seller.",https://www.nytimes.com/reuters/2019/12/23/business/23reuters-britain-stocks.html,"A drop in healthcare and financial stocks led London's main index away from a near five-month high on Monday and halted its eight-day rally, though NMC Health outperformed after launching a review of its books following an attack by a short-seller...","(Reuters) - A drop in healthcare and financial stocks led London's main index away from a near five-month high on Monday and halted its eight-day rally, though NMC Health outperformed after launching a review of its books following an attack by a short-seller.",Reuters,[],[],2019-12-23T08:33:34+0000,article,None,Business Day,,News,nyt://article/8a5fe817-f687-5c30-8b21-41ee2f9d8d7b,361,nyt://article/8a5fe817-f687-5c30-8b21-41ee2f9d8d7b,FTSE Dips After Best Run in Two and a Half Years; NMC Outshines,,,FTSE Dips After Best Run in Two and a Half Years; NMC Outshines,,,,By Reuters,[],Reuters
5,"The Bank of Japan will make changes to its closely watched ""tankan"" quarterly survey starting from the next time it is due in March next year, the central bank said on Monday.",https://www.nytimes.com/reuters/2019/12/23/business/23reuters-japan-economy-tankan.html,"The Bank of Japan will make changes to its closely watched ""tankan"" quarterly survey starting from the next time it is due in March next year, the central bank said on Monday.","TOKYO — The Bank of Japan will make changes to its closely watched ""tankan"" quarterly survey starting from the next time it is due in March next year, the central bank said on Monday.",Reuters,[],[],2019-12-23T08:30:30+0000,article,None,Business Day,,News,nyt://article/21040843-92eb-5448-994b-ce2489455729,201,nyt://article/21040843-92eb-5448-994b-ce2489455729,BOJ to Revamp 'Tankan' Survey to Add Details on FX Rates,,,BOJ to Revamp 'Tankan' Survey to Add Details on FX Rates,,,,By Reuters,[],Reuters
6,"European shares dipped slightly on Monday after nearing a record high in the previous session, as investors locked in some of the recent gains in thin trading ahead of the Christmas and Boxing Day holidays later in the week.",https://www.nytimes.com/reuters/2019/12/23/business/23reuters-europe-stocks.html,"European shares dipped slightly on Monday after nearing a record high in the previous session, as investors locked in some of the recent gains in thin trading ahead of the Christmas and Boxing Day holidays later in the week.","(Reuters) - European shares dipped slightly on Monday after nearing a record high in the previous session, as investors locked in some of the recent gains in thin trading ahead of the Christmas and Boxing Day holidays later in the week.",Reuters,[],[],2019-12-23T08:27:53+0000,article,None,Business Day,,News,nyt://article/f5df0601-c71a-5841-85d4-d6c8b2beeda9,404,nyt://article/f5df0601-c71a-5841-85d4-d6c8b2beeda9,European Shares Edge Lower Ahead of Christmas Holiday Break,,,European Shares Edge Lower Ahead of Christmas Holiday Break,,,,By Reuters,[],Reuters
7,"Credit Suisse and law firm Homburger will continue their investigation into employee observation at the bank, a spokesman said, after the bank on Monday confirmed a second former executive was tailed. [nL8N28X0TX]",https://www.nytimes.com/reuters/2019/12/23/business/23reuters-credit-suisse-gp-snooping-cases.html,"Credit Suisse and law firm Homburger will continue their investigation into employee observation at the bank, a spokesman said, after the bank on Monday confirmed a second former executive was tailed. [nL8N28X0TX]","ZURICH — Credit Suisse and law firm Homburger will continue their investigation into employee observation at the bank, a spokesman said, after the bank on Monday confirmed a second former executive was tailed. [nL8N28X0TX]",Reuters,[],[],2019-12-23T08:27:49+0000,article,None,Business Day,,News,nyt://article/7332c25e-24a4-5568-b328-0dd8a294f2ac,61,nyt://article/7332c25e-24a4-5568-b328-0dd8a294f2ac,Credit Suisse Surveillance Probe to Continue,,,Credit Suisse Surveillance Probe to Continue,,,,By Reuters,[],Reuters
8,"The logistics unit of Chinese e-commerce company JD.com Inc has held early discussions with banks about a potential overseas IPO that could raise $8 billion to $10 billion, two people with direct knowledge of the matter told Reuters.",https://www.nytimes.com/reuters/2019/12/23/business/23reuters-jd-logistics-ipo.html,"The logistics unit of Chinese e-commerce company JD.com Inc has held early discussions with banks about a potential overseas IPO that could raise $8 billion to $10 billion, two people with direct knowledge of the matter told Reuters.","HONG KONG — The logistics unit of Chinese e-commerce company JD.com Inc has held early discussions with banks about a potential overseas IPO that could raise $8 billion to $10 billion, two people with direct knowledge of the matter told Reuters.",Reuters,[],[],2019-12-23T08:21:34+0000,article,None,Business Day,,News,nyt://article/8964bd68-0d29-5eb6-b184-72b96b5ba14f,278,nyt://article/8964bd68-0d29-5eb6-b184-72b96b5ba14f,JD.Com's Logistics Unit Taps Banks for Potential $8-$10 Billion IPO: Sources,,,JD.Com's Logistics Unit Taps Banks for Potential $8-$10 Billion IPO: Sources,,,,By Reuters,[],Reuters
9,"SoftBank Group Corp's talks to secure $3 billion (2.3 billion pounds) from Japan's three biggest banks have stalled as the lenders have hit internal lending limits to the firm, two people said, complicating a $9.5 billion rescue package for WeWork.",https://www.nytimes.com/reuters/2019/12/23/business/23reuters-softbank-group-wework.html,"SoftBank Group Corp's talks to secure $3 billion (2.3 billion pounds) from Japan's three biggest banks have stalled as the lenders have hit internal lending limits to the firm, two people said, complicating a $9.5 billion rescue package for WeWork...","TOKYO — SoftBank Group Corp's talks to secure $3 billion (2.3 billion pounds) from Japan's three biggest banks have stalled as the lenders have hit internal lending limits to the firm, two people said, complicating a $9.5 billion rescue package for WeWork.",Reuters,[],[],2019-12-23T08:18:41+0000,article,None,Business Day,,News,nyt://article/882eb428-0a4a-5193-a117-c7061713352a,449,nyt://article/882eb428-0a4a-5193-a117-c7061713352a,SoftBank's $3 Billion WeWork Financing Talks Stall With Japan Banks-Sources,,,SoftBank's $3 Billion WeWork Financing Talks Stall With Japan Banks-Sources,,,,By Reuters,[],Reuters
