,abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,subsection_name
0,"A 1988 clapboard-and-stone house in Sonora, a recently built townhouse in La Jolla and a newly renovated ranch in Sebastopol.",https://www.nytimes.com/2019/12/23/realestate/2-million-homes-in-california.html,"A 1988 clapboard-and-stone house in Sonora, a recently built townhouse in La Jolla and a newly renovated ranch in Sebastopol.","Constructed as a family home by a local builder, this house is 10 miles northeast of the Gold Rush town of Sonora and about 45 miles northwest of Yosemite National Park. The area is popular with second-home owners from Silicon Valley, who enjoy the proximity (about 25 miles) to Pinecrest Lake and the Dodge Ridge Ski Resort.",The New York Times,[],"[{'name': 'subject', 'value': 'Real Estate and Housing (Residential)', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'La Jolla (Calif)', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'Sebastopol (Calif)', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'SONORA (CALIF)', 'rank': 4, 'major': 'N'}]",2019-12-23T14:00:03+0000,article,RealEstate,Real Estate,News,nyt://article/ba977bfe-7b48-5b3c-aed4-d56900511ddb,1040,nyt://article/ba977bfe-7b48-5b3c-aed4-d56900511ddb,$2 Million Homes in California,What you Get,,,,,,By Julie Lasky,"[{'firstname': 'Julie', 'middlename': None, 'lastname': 'Lasky', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
1, A  Mississippi man searching for his missing dog was left an anonymous note that said his dog had been killed and that he should abide by the county leash law.,https://www.nytimes.com/aponline/2019/12/23/us/ap-us-missing-dog-shot.html, A  Mississippi man searching for his missing dog was left an anonymous note that said his dog had been killed and that he should abide by the county leash law.,"OZONA, Miss. — A Mississippi man searching for his missing dog was left an anonymous note that said his dog had been killed and that he should abide by the county leash law.",AP,[],[],2019-12-23T13:42:27+0000,article,None,U.S.,News,nyt://article/acbd52e5-ebbf-54c7-a147-8168e442f77b,313,nyt://article/acbd52e5-ebbf-54c7-a147-8168e442f77b,Mississippi Man Finds Note Saying His Missing Dog Was Killed,,,Mississippi Man Finds Note Saying His Missing Dog Was Killed,,,,By The Associated Press,[],The Associated Press,
2,"Malta suffered a nation-wide power cut on Monday, the second in less than a month, shutting off electricity to all homes, businesses and factories and causing rush-hour road chaos as traffic lights went dark.",https://www.nytimes.com/reuters/2019/12/23/world/23reuters-malta-blackout.html,"Malta suffered a nation-wide power cut on Monday, the second in less than a month, shutting off electricity to all homes, businesses and factories and causing rush-hour road chaos as traffic lights went dark.","VALLETTA — Malta suffered a nation-wide power cut on Monday, the second in less than a month, shutting off electricity to all homes, businesses and factories and causing rush-hour road chaos as traffic lights went dark.",Reuters,[],[],2019-12-23T13:39:39+0000,article,None,World,News,nyt://article/9457508c-374f-5b48-8b5c-1f93da198222,186,nyt://article/9457508c-374f-5b48-8b5c-1f93da198222,Malta Suffers Second Nationwide Power Cut in a Month,,,Malta Suffers Second Nationwide Power Cut in a Month,,,,By Reuters,[],Reuters,
3,"Orders to U.S. factories for big-ticket manufactured goods fell by the largest amount in six months, led by a large decrease in orders for defense aircraft and parts. A closely watched category that tracks business investment ticked up 0.1%. ",https://www.nytimes.com/aponline/2019/12/23/business/bc-durable-goods.html,"Orders to U.S. factories for big-ticket manufactured goods fell by the largest amount in six months, led by a large decrease in orders for defense aircraft and parts. A closely watched category that tracks business investment ticked up 0.1%. ","WASHINGTON — Orders to U.S. factories for big-ticket manufactured goods fell by the largest amount in six months, led by a large decrease in orders for defense aircraft and parts. A closely watched category that tracks business investment ticked up 0.1%. ",AP,[],[],2019-12-23T13:36:27+0000,article,None,Business Day,News,nyt://article/bc868d10-5851-58d1-8912-ec56a3f7a201,500,nyt://article/bc868d10-5851-58d1-8912-ec56a3f7a201,Orders for Big-Ticket Manufactured Goods Slide 2%,,,Orders for Big-Ticket Manufactured Goods Slide 2%,,,,By The Associated Press,[],The Associated Press,
4,"Six migrants were missing and are presumed dead after a boat in which they were trying to cross into Croatia capsized and sunk in the river Danube in Serbia's north, a government official told Reuters on Monday. ",https://www.nytimes.com/reuters/2019/12/23/world/europe/23reuters-europe-migrants.html,"Six migrants were missing and are presumed dead after a boat in which they were trying to cross into Croatia capsized and sunk in the river Danube in Serbia's north, a government official told Reuters on Monday. ","BELGRADE — Six migrants were missing and are presumed dead after a boat in which they were trying to cross into Croatia capsized and sunk in the river Danube in Serbia's north, a government official told Reuters on Monday. ",Reuters,[],[],2019-12-23T13:33:54+0000,article,None,World,News,nyt://article/cad5888c-ef24-5d5f-8d22-22f6db50c2f0,256,nyt://article/cad5888c-ef24-5d5f-8d22-22f6db50c2f0,Six Migrants Missing as Boat Capsizes in Danube: Serbian Official,,,Six Migrants Missing as Boat Capsizes in Danube: Serbian Official,,,,By Reuters,[],Reuters,Europe
5,"Russia's Gazprom will produce more than 500 billion cubic metres of natural gas in 2019, the Interfax news agency cited the company's deputy chief executive Vitaly Markelov as saying on Monday. ",https://www.nytimes.com/reuters/2019/12/23/business/23reuters-gazprom-output.html,"Russia's Gazprom will produce more than 500 billion cubic metres of natural gas in 2019, the Interfax news agency cited the company's deputy chief executive Vitaly Markelov as saying on Monday. ","MOSCOW — Russia's Gazprom will produce more than 500 billion cubic metres of natural gas in 2019, the Interfax news agency cited the company's deputy chief executive Vitaly Markelov as saying on Monday. ",Reuters,[],[],2019-12-23T13:33:52+0000,article,None,Business Day,News,nyt://article/a4bfc9d4-73e7-554a-8c11-f41611033b7b,63,nyt://article/a4bfc9d4-73e7-554a-8c11-f41611033b7b,Russia's Gazprom Sees 2019 Gas Output at More Than 500 Bcm - Ifax,,,Russia's Gazprom Sees 2019 Gas Output at More Than 500 Bcm - Ifax,,,,By Reuters,[],Reuters,
6,Saudi Arabia on Monday sentenced five people to death and three more to jail terms totalling 24 years over the killing of Saudi journalist Jamal Khashoggi in Istanbul in October last year. ,https://www.nytimes.com/reuters/2019/12/23/world/europe/23reuters-saudi-khashoggi-suspects-factbox.html,Saudi Arabia on Monday sentenced five people to death and three more to jail terms totalling 24 years over the killing of Saudi journalist Jamal Khashoggi in Istanbul in October last year. ,DUBAI — Saudi Arabia on Monday sentenced five people to death and three more to jail terms totalling 24 years over the killing of Saudi journalist Jamal Khashoggi in Istanbul in October last year. ,Reuters,[],[],2019-12-23T13:33:51+0000,article,None,World,News,nyt://article/50577a25-0b3b-5bda-8421-fb804096b145,985,nyt://article/50577a25-0b3b-5bda-8421-fb804096b145,Factbox-Who Are Saudis Under Spotlight Over Khashoggi's Killing?,,,Factbox-Who Are Saudis Under Spotlight Over Khashoggi's Killing?,,,,By Reuters,[],Reuters,Europe
7,"Major port operator DP World has been awarded a 30-year concession deal by the Saudi Ports Authority (Mawani), for the management and development of the Jeddah South Container Terminal at the multi-purpose Jeddah Islamic Port, the government of Dubai said in a statement on Monday.",https://www.nytimes.com/reuters/2019/12/23/business/23reuters-saudi-dp-world.html,"Major port operator DP World has been awarded a 30-year concession deal by the Saudi Ports Authority (Mawani), for the management and development of the Jeddah South Container Terminal at the multi-purpose Jeddah Islamic Port, the government of Du...","DUBAI — Major port operator DP World has been awarded a 30-year concession deal by the Saudi Ports Authority (Mawani), for the management and development of the Jeddah South Container Terminal at the multi-purpose Jeddah Islamic Port, the government of Dubai said in a statement on Monday.",Reuters,[],[],2019-12-23T13:33:49+0000,article,None,Business Day,News,nyt://article/e9706494-eab3-585e-a014-5ca68d00d677,91,nyt://article/e9706494-eab3-585e-a014-5ca68d00d677,DP World to Invest $500 Million to Develop Jeddah Islamic Port - Statement,,,DP World to Invest $500 Million to Develop Jeddah Islamic Port - Statement,,,,By Reuters,[],Reuters,
8,"Park rangers found human bones in a remote areas of Southern California's Joshua Tree National Park, the park service said.",https://www.nytimes.com/aponline/2019/12/23/us/ap-us-desert-park-human-remains.html,"Park rangers found human bones in a remote areas of Southern California's Joshua Tree National Park, the park service said.","JOSHUA TREE NATIONAL PARK, Calif. — Park rangers found human bones in a remote areas of Southern California's Joshua Tree National Park, the park service said.",AP,[],[],2019-12-23T13:27:38+0000,article,None,U.S.,News,nyt://article/b9ef7da4-321b-5ccd-89ed-e97e7256aff1,115,nyt://article/b9ef7da4-321b-5ccd-89ed-e97e7256aff1,Human Bones Found in Joshua Tree Park; No Signs of Foul Play,,,Human Bones Found in Joshua Tree Park; No Signs of Foul Play,,,,By The Associated Press,[],The Associated Press,
9,"Several roads were closed for the Monday morning rush hour in downtown Charleston, South Carolina, as heavy rain soaked several southern states, forecasters said.",https://www.nytimes.com/aponline/2019/12/23/us/ap-us-southern-flooding.html,"Several roads were closed for the Monday morning rush hour in downtown Charleston, South Carolina, as heavy rain soaked several southern states, forecasters said.","Several roads were closed for the Monday morning rush hour in downtown Charleston, South Carolina, as heavy rain soaked several southern states, forecasters said.",AP,[],[],2019-12-23T13:18:27+0000,article,None,U.S.,News,nyt://article/e730e459-7154-51b7-bec6-e4c1010f57ad,230,nyt://article/e730e459-7154-51b7-bec6-e4c1010f57ad,"Downpours Drench South, Closing Streets and Delaying Flights",,,"Downpours Drench South, Closing Streets and Delaying Flights",,,,By The Associated Press,[],The Associated Press,
