,abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,subsection_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization
0,Cletrell Pope had 20 points and Isaiah Bailey added a double-double as Bethune-Cookman rolled past Marist 85-56 on Saturday. ,https://www.nytimes.com/aponline/2019/12/21/sports/ncaabasketball/bc-bkc-marist-bethune-cookman.html,Cletrell Pope had 20 points and Isaiah Bailey added a double-double as Bethune-Cookman rolled past Marist 85-56 on Saturday. ,"DAYTONA BEACH, Fla. — Cletrell Pope had 20 points and Isaiah Bailey added a double-double as Bethune-Cookman rolled past Marist 85-56 on Saturday. ",AP,[],[],2019-12-21T20:57:29+0000,article,None,Sports,College Basketball,News,nyt://article/4c17cc08-43b9-5952-bf32-4ceec2206a74,143,nyt://article/4c17cc08-43b9-5952-bf32-4ceec2206a74,"Pope, Bailey Carry Bethune-Cookman Past Marist 85-56",,,"Pope, Bailey Carry Bethune-Cookman Past Marist 85-56",,,,By The Associated Press,[],The Associated Press
1,"Linus Ullmark is taking control in goal for the Buffalo Sabres. He’s got the Los Angeles Kings’ number, too.",https://www.nytimes.com/aponline/2019/12/21/sports/hockey/bc-hkn-kings-sabres.html,"Linus Ullmark is taking control in goal for the Buffalo Sabres. He’s got the Los Angeles Kings’ number, too.","BUFFALO, N.Y. — Linus Ullmark is taking control in goal for the Buffalo Sabres. He’s got the Los Angeles Kings’ number, too.",AP,[],[],2019-12-21T20:57:28+0000,article,None,Sports,Hockey,News,nyt://article/84c5c58f-3135-551a-af20-fa33e4eac908,656,nyt://article/84c5c58f-3135-551a-af20-fa33e4eac908,Sabres End 3-Game Losing Streak With 3-2 Win Over Kings,,,Sabres End 3-Game Losing Streak With 3-2 Win Over Kings,,,,By The Associated Press,[],The Associated Press
2,"Once a year, the running club at San Quentin Prison gets a chance to race in pursuit of glory.",https://www.nytimes.com/aponline/2019/12/21/sports/ap-us-san-quentin-marathon.html,"Once a year, the running club at San Quentin Prison gets a chance to race in pursuit of glory.","SAN FRANCISCO — Once a year, the running club at San Quentin Prison gets a chance to race in pursuit of glory.",AP,[],[],2019-12-21T20:54:27+0000,article,None,Sports,,News,nyt://article/bbbe8271-06a7-5bdc-975b-3d9ca8ac8c28,206,nyt://article/bbbe8271-06a7-5bdc-975b-3d9ca8ac8c28,San Quentin Marathon Offers Inmates a Sense of Freedom,,,San Quentin Marathon Offers Inmates a Sense of Freedom,,,,By The Associated Press,[],The Associated Press
3,The U.S. Environmental Protection Agency and the Justice Department said a federal appeals court should reverse a lower court verdict finding Bayer AG liable in the case of a California man who blamed its Roundup weed killer for his cancer.,https://www.nytimes.com/reuters/2019/12/21/business/21reuters-bayer-glyphosate-lawsuit.html,The U.S. Environmental Protection Agency and the Justice Department said a federal appeals court should reverse a lower court verdict finding Bayer AG liable in the case of a California man who blamed its Roundup weed killer for his cancer.,(Reuters) - The U.S. Environmental Protection Agency and the Justice Department said a federal appeals court should reverse a lower court verdict finding Bayer AG liable in the case of a California man who blamed its Roundup weed killer for his cancer.,Reuters,[],[],2019-12-21T20:48:32+0000,article,None,Business Day,,News,nyt://article/5b77ccc6-1af7-5de1-b6ff-ae8ebaa4d85a,294,nyt://article/5b77ccc6-1af7-5de1-b6ff-ae8ebaa4d85a,U.S. Government Says Verdict in Bayer's Roundup Case Should Be Reversed,,,U.S. Government Says Verdict in Bayer's Roundup Case Should Be Reversed,,,,By Reuters,[],Reuters
4,Kari Niblack scored 21 points on 8-of-10 shooting and No. 22 West Virginia edged No. 19 Michigan State 63-57 in the Florida Sunshine Classic on Saturday.,https://www.nytimes.com/aponline/2019/12/21/sports/ncaabasketball/bc-bkw-t25-michigan-st-west-virginia.html,Kari Niblack scored 21 points on 8-of-10 shooting and No. 22 West Virginia edged No. 19 Michigan State 63-57 in the Florida Sunshine Classic on Saturday.,"WINTER PARK, Fla. — Kari Niblack scored 21 points on 8-of-10 shooting and No. 22 West Virginia edged No. 19 Michigan State 63-57 in the Florida Sunshine Classic on Saturday.",AP,[],[],2019-12-21T20:45:27+0000,article,None,Sports,College Basketball,News,nyt://article/01bbad50-9cc5-5aac-9585-c89ef3d8c94f,175,nyt://article/01bbad50-9cc5-5aac-9585-c89ef3d8c94f,"Niblack, No. 22 West Virginia Women Edge No. 19 Michigan St",,,"Niblack, No. 22 West Virginia Women Edge No. 19 Michigan St",,,,By The Associated Press,[],The Associated Press
5,"Douglas Wilson scored 18 points and Matt Dentlinger notched a double-double to propel South Dakota State to an 85-57 victory over Idaho on Saturday, the Jackrabbits' eighth consecutive home victory.",https://www.nytimes.com/aponline/2019/12/21/sports/ncaabasketball/bc-bkc-idaho-south-dakota-st.html,"Douglas Wilson scored 18 points and Matt Dentlinger notched a double-double to propel South Dakota State to an 85-57 victory over Idaho on Saturday, the Jackrabbits' eighth consecutive home victory.","BROOKINGS, S.D. — Douglas Wilson scored 18 points and Matt Dentlinger notched a double-double to propel South Dakota State to an 85-57 victory over Idaho on Saturday, the Jackrabbits' eighth consecutive home victory.",AP,[],[],2019-12-21T20:42:31+0000,article,None,Sports,College Basketball,News,nyt://article/8a460193-cc4e-5a86-a302-c7f13a4a9b12,142,nyt://article/8a460193-cc4e-5a86-a302-c7f13a4a9b12,South Dakota State Cruises Past Idaho 85-57,,,South Dakota State Cruises Past Idaho 85-57,,,,By The Associated Press,[],The Associated Press
6,Alani Moore II made five 3-pointers and scored 15 points on Saturday to lead Temple past Rider 78-66 to end the Broncs five-game win streak.,https://www.nytimes.com/aponline/2019/12/21/sports/ncaabasketball/bc-bkc-rider-temple.html,Alani Moore II made five 3-pointers and scored 15 points on Saturday to lead Temple past Rider 78-66 to end the Broncs five-game win streak.,PHILADELPHIA — Alani Moore II made five 3-pointers and scored 15 points on Saturday to lead Temple past Rider 78-66 to end the Broncs five-game win streak.,AP,[],[],2019-12-21T20:42:29+0000,article,None,Sports,College Basketball,News,nyt://article/84a604f2-e314-5db8-a888-ebf9bef1910b,126,nyt://article/84a604f2-e314-5db8-a888-ebf9bef1910b,3 Moore Leads Temple Past Rider in a 12-Point Victory,,,3 Moore Leads Temple Past Rider in a 12-Point Victory,,,,By The Associated Press,[],The Associated Press
7,"BUIES CREEK, N.C. — LaDarius Knight scored 15 points off the bench to help Campbell defeat Johnson & Wales (NC) 82-59 on Saturday.",https://www.nytimes.com/aponline/2019/12/21/sports/ncaabasketball/bc-bkc-johnson-wales-nc-campbell.html,,"BUIES CREEK, N.C. — LaDarius Knight scored 15 points off the bench to help Campbell defeat Johnson & Wales (NC) 82-59 on Saturday.",AP,[],[],2019-12-21T20:39:35+0000,article,None,Sports,College Basketball,News,nyt://article/312158d8-b921-552c-baa4-2e9fed480c47,109,nyt://article/312158d8-b921-552c-baa4-2e9fed480c47,Knight's 15 Points Lead Campbell's Win Over Johnson & Wales,,,Knight's 15 Points Lead Campbell's Win Over Johnson & Wales,,,,By The Associated Press,[],The Associated Press
8,"Chennedy Carter scored 27 points, Ciera Johnson added 17 and No. 11 Texas A&M held off Montana State 78-67 at the Coqui Classic on Saturday. ",https://www.nytimes.com/aponline/2019/12/21/sports/ncaabasketball/bc-bkw-t25-montana-st-texas-am.html,"Chennedy Carter scored 27 points, Ciera Johnson added 17 and No. 11 Texas A&M held off Montana State 78-67 at the Coqui Classic on Saturday. ","GUAYNBO, Puerto Rico — Chennedy Carter scored 27 points, Ciera Johnson added 17 and No. 11 Texas A&M held off Montana State 78-67 at the Coqui Classic on Saturday. ",AP,[],[],2019-12-21T20:36:29+0000,article,None,Sports,College Basketball,News,nyt://article/64ff85a5-dd5b-5902-872c-e1b14d06f887,227,nyt://article/64ff85a5-dd5b-5902-872c-e1b14d06f887,"Carter, Johnson Rally No. 11 A&M Women Past Montana St 78-67",,,"Carter, Johnson Rally No. 11 A&M Women Past Montana St 78-67",,,,By The Associated Press,[],The Associated Press
9,Oscar Tshiebwe scored 19 points and Derek Culver added 15 as No. 25 West Virginia overcame Youngstown State for a 75-64 victory Saturday.,https://www.nytimes.com/aponline/2019/12/21/sports/ncaabasketball/bc-bkc-t25-west-virginia-youngstown-state.html,Oscar Tshiebwe scored 19 points and Derek Culver added 15 as No. 25 West Virginia overcame Youngstown State for a 75-64 victory Saturday.,"YOUNGSTOW, Ohio — Oscar Tshiebwe scored 19 points and Derek Culver added 15 as No. 25 West Virginia overcame Youngstown State for a 75-64 victory Saturday.",AP,[],[],2019-12-21T20:33:35+0000,article,None,Sports,College Basketball,News,nyt://article/f919121e-87f6-5169-887c-7101ae888e03,446,nyt://article/f919121e-87f6-5169-887c-7101ae888e03,Tshiebwe Leads No. 25 West Virginia Past Youngstown St 72-64,,,Tshiebwe Leads No. 25 West Virginia Past Youngstown St 72-64,,,,By The Associated Press,[],The Associated Press
