,abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,subsection_name,slideshow_credits
0,"Why recognizability matters, to politicians and celebrities alike.",https://www.nytimes.com/interactive/2019/12/23/upshot/recognizability-quiz.html,"Why recognizability matters, to politicians and celebrities alike.","Why recognizability matters, to politicians and celebrities alike.",The New York Times,[],"[{'name': 'subject', 'value': 'Polls and Public Opinion', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Celebrities', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Presidential Election of 2020', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 4, 'major': 'N'}]",2019-12-23T10:08:01+0000,multimedia,The Upshot,The Upshot,Interactive Feature,nyt://interactive/c161e69f-c433-5d7b-8005-3f09ca5ed176,0,nyt://interactive/c161e69f-c433-5d7b-8005-3f09ca5ed176,"Quiz: Can You Identify These Politicians, Athletes and Celebrities? Most Americans Can’t.",,,,,,,"By Quoctrung Bui, Josh Katz, Kevin Quealy and Matt Ruby","[{'firstname': 'Quoctrung', 'middlename': None, 'lastname': 'Bui', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'Josh', 'middlename': None, 'lastname': 'Katz', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}, {'firstname': 'Kevin', 'middlename': None, 'lastname': 'Quealy', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 3}, {'firstname': 'Matt', 'middlename': None, 'lastname': 'Ruby', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 4}]",,,
1,"Heavy rain and flooding are expected in the southeast United States on Monday, as millions of Americans embark on holiday travel two days before Christmas.",https://www.nytimes.com/reuters/2019/12/23/us/23reuters-usa-weather.html,"Heavy rain and flooding are expected in the southeast United States on Monday, as millions of Americans embark on holiday travel two days before Christmas.","NEW YORK — Heavy rain and flooding are expected in the southeast United States on Monday, as millions of Americans embark on holiday travel two days before Christmas.",Reuters,[],[],2019-12-23T10:06:37+0000,article,None,U.S.,News,nyt://article/8ebfc3d1-f996-558f-8961-74d33d283e7b,192,nyt://article/8ebfc3d1-f996-558f-8961-74d33d283e7b,"As Busy Holiday Travel Week Begins, Southeast U.S. to See Heavy Rain, Flooding",,,"As Busy Holiday Travel Week Begins, Southeast U.S. to See Heavy Rain, Flooding",,,,By Reuters,[],Reuters,,
2,"A Turkish team was in Russia on Monday for talks on the conflicts in Syria and Libya, following reports that tens of thousands more Syrians were heading to Turkey, which is already host to the world's biggest refugee population.",https://www.nytimes.com/reuters/2019/12/23/world/europe/23reuters-syria-security-turkey-russia.html,"A Turkish team was in Russia on Monday for talks on the conflicts in Syria and Libya, following reports that tens of thousands more Syrians were heading to Turkey, which is already host to the world's biggest refugee population.","ANKARA — A Turkish team was in Russia on Monday for talks on the conflicts in Syria and Libya, following reports that tens of thousands more Syrians were heading to Turkey, which is already host to the world's biggest refugee population.",Reuters,[],[],2019-12-23T10:06:36+0000,article,None,World,News,nyt://article/3c2fc30a-66ea-55e3-8038-820901eb0a1b,346,nyt://article/3c2fc30a-66ea-55e3-8038-820901eb0a1b,"Turkish Team to Discuss Syria, Libya Conflicts in Russia",,,"Turkish Team to Discuss Syria, Libya Conflicts in Russia",,,,By Reuters,[],Reuters,Europe,
3,"Algeria's powerful military chief Gen. Ahmed Gaid Salah, who was instrumental in pushing out the gas-rich country's long-serving president amid pro-democracy protests earlier this year, died unexpectedly Monday at age 79.",https://www.nytimes.com/aponline/2019/12/23/world/middleeast/ap-ml-algeria-obit-military-chief.html,"Algeria's powerful military chief Gen. Ahmed Gaid Salah, who was instrumental in pushing out the gas-rich country's long-serving president amid pro-democracy protests earlier this year, died unexpectedly Monday at age 79.","ALGIERS, Algeria — Algeria's powerful military chief Gen. Ahmed Gaid Salah, who was instrumental in pushing out the gas-rich country's long-serving president amid pro-democracy protests earlier this year, died unexpectedly Monday at age 79.",AP,[],[],2019-12-23T10:06:27+0000,article,None,World,News,nyt://article/e87ca75b-b1d9-5b59-a737-6bcada7124e0,484,nyt://article/e87ca75b-b1d9-5b59-a737-6bcada7124e0,Algeria's Military Chief Gaid Salah Dies Amid Protest Crisis,,,Algeria's Military Chief Gaid Salah Dies Amid Protest Crisis,,,,By The Associated Press,[],The Associated Press,Middle East,
