,abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,subsection_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,print_section,print_page
0,"U.S. President Donald Trump signed a $1.4 trillion budget package for the fiscal year 2020 into law on Friday to avert a government shutdown, White House spokesman Judd Deere told journalists traveling with the president on Air Force One.",https://www.nytimes.com/reuters/2019/12/20/us/politics/20reuters-usa-trump-package.html,"U.S. President Donald Trump signed a $1.4 trillion budget package for the fiscal year 2020 into law on Friday to avert a government shutdown, White House spokesman Judd Deere told journalists traveling with the president on Air Force One.","WASHINGTON — U.S. President Donald Trump signed a $1.4 trillion budget package for the fiscal year 2020 into law on Friday to avert a government shutdown, White House spokesman Judd Deere told journalists traveling with the president on Air Force One.",Reuters,[],[],2019-12-21T03:51:30+0000,article,None,U.S.,Politics,News,nyt://article/2b44e925-d861-5249-aa10-07329731e679,91,nyt://article/2b44e925-d861-5249-aa10-07329731e679,Trump Signs Spending Package to Avert Shutdown: White House Spokesman,,,Trump Signs Spending Package to Avert Shutdown: White House Spokesman,,,,By Reuters,[],Reuters,,
1,"Australia’s most populous state was paralyzed by “catastrophic” fire conditions Saturday amid soaring temperatures, while one person died as wildfires ravaged the country’s southeast, officials said. ",https://www.nytimes.com/aponline/2019/12/20/world/asia/ap-as-australia-wildfires.html,"Australia’s most populous state was paralyzed by “catastrophic” fire conditions Saturday amid soaring temperatures, while one person died as wildfires ravaged the country’s southeast, officials said. ","PERTH, Australia — Australia’s most populous state was paralyzed by “catastrophic” fire conditions Saturday amid soaring temperatures, while one person died as wildfires ravaged the country’s southeast, officials said. ",AP,[],[],2019-12-21T03:48:28+0000,article,None,World,Asia Pacific,News,nyt://article/b2abe486-7b10-57b0-9986-0d04269d8b26,559,nyt://article/b2abe486-7b10-57b0-9986-0d04269d8b26,Australia Battles 'Catastrophic' Wildfires as PM Rushes Home,,,Australia Battles 'Catastrophic' Wildfires as PM Rushes Home,,,,By The Associated Press,[],The Associated Press,,
2,The Oklahoma City Thunder proved earlier in the week they can rally for dramatic wins.,https://www.nytimes.com/aponline/2019/12/20/sports/basketball/bc-bkn-suns-thunder.html,The Oklahoma City Thunder proved earlier in the week they can rally for dramatic wins.,OKLAHOMA CITY — The Oklahoma City Thunder proved earlier in the week they can rally for dramatic wins.,AP,[],[],2019-12-21T03:42:30+0000,article,None,Sports,Pro Basketball,News,nyt://article/9ba85b52-0535-5889-aa86-0f5ec8482db3,683,nyt://article/9ba85b52-0535-5889-aa86-0f5ec8482db3,"Thunder Get 32 Points From Gilgeous-Alexander, Beat Suns",,,"Thunder Get 32 Points From Gilgeous-Alexander, Beat Suns",,,,By The Associated Press,[],The Associated Press,,
3,"Corrections that appeared in print on Saturday, Dec. 21, 2019.",https://www.nytimes.com/2019/12/20/pageoneplus/corrections-dec-21-2019.html,"Corrections that appeared in print on Saturday, Dec. 21, 2019.","An article on Friday about the haggling and eventual agreement between congressional Democrats and the Trump Administration over the new North American trade deal misstated the stance of Representative Terri A. Sewell of Alabama on past trade deals. It is not true that she had never voted on a trade deal. The article also misstated the timing of a conversation Speaker Nancy Pelosi’s office had with Robert Lighthizer, the country’s top trade negotiator, and when Ms. Pelosi told the Democratic caucus “We ate their lunch.” Ms. Pelosi’s office informed Mr. Lighthizer of a news conference late Monday, not Tuesday, and the speaker talked to her caucus on Tuesday, not Wednesday.",The New York Times,[],[],2019-12-21T03:41:55+0000,article,Corrections,Corrections,,Correction,nyt://article/656a3e04-e02e-5e52-bc6b-3c0039bc6bac,465,nyt://article/656a3e04-e02e-5e52-bc6b-3c0039bc6bac,"Corrections: Dec. 21, 2019",,,Corrections,,,,,[],,A,23
4,Goran Dragic said he was rusty. The stat sheet disagreed.,https://www.nytimes.com/aponline/2019/12/20/sports/basketball/bc-bkn-knicks-heat.html,Goran Dragic said he was rusty. The stat sheet disagreed.,MIAMI — Goran Dragic said he was rusty. The stat sheet disagreed.,AP,[],[],2019-12-21T03:39:36+0000,article,None,Sports,Pro Basketball,News,nyt://article/8602d388-683b-56cf-a6e8-d359c4e21d91,688,nyt://article/8602d388-683b-56cf-a6e8-d359c4e21d91,"Heat Ease Past Knicks, Lead Wire-To-Wire in 129-114 Win",,,"Heat Ease Past Knicks, Lead Wire-To-Wire in 129-114 Win",,,,By The Associated Press,[],The Associated Press,,
5,"Jonah Radebaugh made a career-high 10 assists and scored 24 points, including his 1,000th career point, and Northern Colorado beat South Dakota 87-68 on Friday night to with its fourth straight.",https://www.nytimes.com/aponline/2019/12/20/sports/ncaabasketball/bc-bkc-northern-colorado-south-dakota.html,"Jonah Radebaugh made a career-high 10 assists and scored 24 points, including his 1,000th career point, and Northern Colorado beat South Dakota 87-68 on Friday night to with its fourth straight.","SIOUX FALLS, S.D. — Jonah Radebaugh made a career-high 10 assists and scored 24 points, including his 1,000th career point, and Northern Colorado beat South Dakota 87-68 on Friday night to with its fourth straight.",AP,[],[],2019-12-21T03:36:25+0000,article,None,Sports,College Basketball,News,nyt://article/4099d1d7-5c3d-513f-b1aa-abf836b507c1,160,nyt://article/4099d1d7-5c3d-513f-b1aa-abf836b507c1,"Radebaugh Scores 1,000th Point in Northern Colorado Win",,,"Radebaugh Scores 1,000th Point in Northern Colorado Win",,,,By The Associated Press,[],The Associated Press,,
6,"Chante Stonewall had 25 points, eight rebounds and four steals to help No. 16 DePaul hand Loyola Chicago its first loss of the season 83-76 on Friday night.",https://www.nytimes.com/aponline/2019/12/20/sports/ncaabasketball/bc-bkw-t25-depaul-loyola-chicago.html,"Chante Stonewall had 25 points, eight rebounds and four steals to help No. 16 DePaul hand Loyola Chicago its first loss of the season 83-76 on Friday night.","CHICAGO — Chante Stonewall had 25 points, eight rebounds and four steals to help No. 16 DePaul hand Loyola Chicago its first loss of the season 83-76 on Friday night.",AP,[],[],2019-12-21T03:33:41+0000,article,None,Sports,College Basketball,News,nyt://article/51eb6608-57d6-5972-ba73-71fe2042ddf4,155,nyt://article/51eb6608-57d6-5972-ba73-71fe2042ddf4,No. 16 DePaul Women Hold Off Loyola Chicago 83-76,,,No. 16 DePaul Women Hold Off Loyola Chicago 83-76,,,,By The Associated Press,[],The Associated Press,,
7,"President Donald Trump signed off Friday on nearly $1.4 trillion in spending that will keep the government funded through Sept. 30, dodging the possibility of a shutdown ahead of what's expected to be a contentious election season.",https://www.nytimes.com/aponline/2019/12/20/us/politics/ap-us-trump-spending-.html,"President Donald Trump signed off Friday on nearly $1.4 trillion in spending that will keep the government funded through Sept. 30, dodging the possibility of a shutdown ahead of what's expected to be a contentious election season.","WEST PALM BEACH, Fla. — President Donald Trump signed off Friday on nearly $1.4 trillion in spending that will keep the government funded through Sept. 30, dodging the possibility of a shutdown ahead of what's expected to be a contentious election season.",AP,[],[],2019-12-21T03:33:38+0000,article,None,U.S.,Politics,News,nyt://article/a819f2f3-2739-5f16-9a3b-7cfb4760ad78,184,nyt://article/a819f2f3-2739-5f16-9a3b-7cfb4760ad78,"Trump Signs $1.4 Trillion in Spending, Avoids Shutdown",,,"Trump Signs $1.4 Trillion in Spending, Avoids Shutdown",,,,By The Associated Press,[],The Associated Press,,
8,Colombia on Friday instructed Uber to stop operating after a lawsuit by a group of taxi drivers that accused the ride-sharing app of unfair business practices.,https://www.nytimes.com/aponline/2019/12/20/world/americas/ap-lt-colombia-uber.html,Colombia on Friday instructed Uber to stop operating after a lawsuit by a group of taxi drivers that accused the ride-sharing app of unfair business practices.,"BOGOTA, Colombia — Colombia on Friday instructed Uber to stop operating after a lawsuit by a group of taxi drivers that accused the ride-sharing app of unfair business practices.",AP,[],[],2019-12-21T03:27:27+0000,article,None,World,Americas,News,nyt://article/5bbae1c3-5481-567e-84cf-b354674ec610,124,nyt://article/5bbae1c3-5481-567e-84cf-b354674ec610,Colombia Orders Uber to Halt Its Operations After Lawsuit,,,Colombia Orders Uber to Halt Its Operations After Lawsuit,,,,By The Associated Press,[],The Associated Press,,
9,Jordan Lyons tossed in 25 points and scored on a layup with 17 seconds remaining in the game and Furman slipped past Mercer 64-62 on Friday night.,https://www.nytimes.com/aponline/2019/12/20/sports/ncaabasketball/bc-bkc-furman-mercer.html,Jordan Lyons tossed in 25 points and scored on a layup with 17 seconds remaining in the game and Furman slipped past Mercer 64-62 on Friday night.,"MACON, Ga. — Jordan Lyons tossed in 25 points and scored on a layup with 17 seconds remaining in the game and Furman slipped past Mercer 64-62 on Friday night.",AP,[],[],2019-12-21T03:24:30+0000,article,None,Sports,College Basketball,News,nyt://article/a15bf2d2-d3fc-5b08-9279-508ef6afbe25,160,nyt://article/a15bf2d2-d3fc-5b08-9279-508ef6afbe25,"Lyons Hits Winner, Scores 25 as Furman Edges Mercer 64-62",,,"Lyons Hits Winner, Scores 25 as Furman Edges Mercer 64-62",,,,By The Associated Press,[],The Associated Press,,
