,abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,subsection_name
0,Canadian Prime Minister Justin Trudeau said on Thursday that the U.S. government should not finalize a trade deal with China unless the pact also secured the release of two Canadians detained by Beijing. ,https://www.nytimes.com/reuters/2019/12/19/business/19reuters-usa-trade-china-canada.html,Canadian Prime Minister Justin Trudeau said on Thursday that the U.S. government should not finalize a trade deal with China unless the pact also secured the release of two Canadians detained by Beijing. ,OTTAWA — Canadian Prime Minister Justin Trudeau said on Thursday that the U.S. government should not finalize a trade deal with China unless the pact also secured the release of two Canadians detained by Beijing. ,Reuters,[],[],2019-12-19T23:01:17+0000,article,None,Business Day,News,nyt://article/4e902976-8294-5b0e-b1a4-bc10335bcf9d,264,nyt://article/4e902976-8294-5b0e-b1a4-bc10335bcf9d,U.S. Should Not Finalize China Trade Deal Unless Detained Canadians Are Released: Trudeau,,,U.S. Should Not Finalize China Trade Deal Unless Detained Canadians Are Released: Trudeau,,,,By Reuters,[],Reuters,
1,"BMW AG and Daimler AG said Wednesday they plan to exit the North American car-sharing market, with the joint venture partners halting operations in Montreal, New York, Seattle, Washington, D.C., and Vancouver, as they focus on the European market.",https://www.nytimes.com/reuters/2019/12/19/business/19reuters-autos-carsharing.html,"BMW AG and Daimler AG said Wednesday they plan to exit the North American car-sharing market, with the joint venture partners halting operations in Montreal, New York, Seattle, Washington, D.C., and Vancouver, as they focus on the European market.","WASHINGTON — BMW AG and Daimler AG said Wednesday they plan to exit the North American car-sharing market, with the joint venture partners halting operations in Montreal, New York, Seattle, Washington, D.C., and Vancouver, as they focus on the European market.",Reuters,[],[],2019-12-19T23:01:14+0000,article,None,Business Day,News,nyt://article/ea01e332-8982-53a7-b9fc-cbe493bf1205,400,nyt://article/ea01e332-8982-53a7-b9fc-cbe493bf1205,"Daimler, BMW Exiting North American Car-Sharing Market, Cutting in Europe",,,"Daimler, BMW Exiting North American Car-Sharing Market, Cutting in Europe",,,,By Reuters,[],Reuters,
2,"Nestle said on Thursday it had agreed to sell a majority stake in Herta, its packaged meat business, to family-run Spanish company Casa Tarradellas to create a joint venture.",https://www.nytimes.com/reuters/2019/12/19/business/19reuters-nestle-herta.html,"Nestle said on Thursday it had agreed to sell a majority stake in Herta, its packaged meat business, to family-run Spanish company Casa Tarradellas to create a joint venture.","(Reuters) - Nestle said on Thursday it had agreed to sell a majority stake in Herta, its packaged meat business, to family-run Spanish company Casa Tarradellas to create a joint venture.",Reuters,[],[],2019-12-19T23:01:12+0000,article,None,Business Day,News,nyt://article/feec45b3-497e-5d7f-bebd-8ac2e7c31b43,204,nyt://article/feec45b3-497e-5d7f-bebd-8ac2e7c31b43,Nestle to Sell 60% of Herta Meats to Casa Tarradellas to Create JV,,,Nestle to Sell 60% of Herta Meats to Casa Tarradellas to Create JV,,,,By Reuters,[],Reuters,
3,Starbucks Corp agreed on Thursday to pay restitution and accept greater oversight to settle a multi-year probe finding that it had illegally required New York City employees to find substitutes when they needed to use sick leave.,https://www.nytimes.com/reuters/2019/12/19/business/19reuters-starbucks-new-york-settlement.html,Starbucks Corp agreed on Thursday to pay restitution and accept greater oversight to settle a multi-year probe finding that it had illegally required New York City employees to find substitutes when they needed to use sick leave.,NEW YORK — Starbucks Corp agreed on Thursday to pay restitution and accept greater oversight to settle a multi-year probe finding that it had illegally required New York City employees to find substitutes when they needed to use sick leave.,Reuters,[],[],2019-12-19T23:01:10+0000,article,None,Business Day,News,nyt://article/b92ee7ea-cd4a-5212-bea0-6b1216d398eb,258,nyt://article/b92ee7ea-cd4a-5212-bea0-6b1216d398eb,Starbucks Settles New York Probe Into Illegal Sick Leave Policy,,,Starbucks Settles New York Probe Into Illegal Sick Leave Policy,,,,By Reuters,[],Reuters,
4,Amazon.com Inc said on Thursday it was on track to deliver 3.5 billion customer packages globally this year through its in-house delivery network.,https://www.nytimes.com/reuters/2019/12/19/business/19reuters-amazon-com-delivery.html,Amazon.com Inc said on Thursday it was on track to deliver 3.5 billion customer packages globally this year through its in-house delivery network.,(Reuters) - Amazon.com Inc said on Thursday it was on track to deliver 3.5 billion customer packages globally this year through its in-house delivery network.,Reuters,[],[],2019-12-19T23:01:09+0000,article,None,Business Day,News,nyt://article/4bcf69d7-bbf0-5679-aa54-b0f7a95c8746,168,nyt://article/4bcf69d7-bbf0-5679-aa54-b0f7a95c8746,Amazon to Deliver 3.5 Billion Packages Through Own Network in 2019,,,Amazon to Deliver 3.5 Billion Packages Through Own Network in 2019,,,,By Reuters,[],Reuters,
5,Le'Veon Bell will jog onto the field at MetLife Stadium on Sunday and spot plenty of Jets fans in the stands wearing his green and white jersey.,https://www.nytimes.com/aponline/2019/12/19/sports/football/ap-fbn-jets-bell-familiar-foe.html,Le'Veon Bell will jog onto the field at MetLife Stadium on Sunday and spot plenty of Jets fans in the stands wearing his green and white jersey.,"FLORHAM PARK, N.J. — Le'Veon Bell will jog onto the field at MetLife Stadium on Sunday and spot plenty of Jets fans in the stands wearing his green and white jersey.",AP,[],[],2019-12-19T23:00:38+0000,article,None,Sports,News,nyt://article/3ae5791b-8fd4-507a-a77d-c97398fd23d0,999,nyt://article/3ae5791b-8fd4-507a-a77d-c97398fd23d0,"Jets' Bell Has No Regrets, No Animosity Toward Steelers",,,"Jets' Bell Has No Regrets, No Animosity Toward Steelers",,,,By The Associated Press,[],The Associated Press,Pro Football
6,"One minute the road was clear. The next minute, there was a snowy whiteout that led to a deadly pileup of dozens of cars and tractor-trailers on Interstate 78 in central Pennsylvania.",https://www.nytimes.com/aponline/2019/12/19/us/ap-us-snow-squall-alerts.html,"One minute the road was clear. The next minute, there was a snowy whiteout that led to a deadly pileup of dozens of cars and tractor-trailers on Interstate 78 in central Pennsylvania.","One minute the road was clear. The next minute, there was a snowy whiteout that led to a deadly pileup of dozens of cars and tractor-trailers on Interstate 78 in central Pennsylvania.",AP,[],[],2019-12-19T23:00:35+0000,article,None,U.S.,News,nyt://article/95a290da-aec3-5d5e-8059-509e1173d4f6,627,nyt://article/95a290da-aec3-5d5e-8059-509e1173d4f6,Buzz! Cellphones Now Warn of Traffic-Snarling Snow Squalls,,,Buzz! Cellphones Now Warn of Traffic-Snarling Snow Squalls,,,,By The Associated Press,[],The Associated Press,
7,The U.S. House of Representatives overwhelmingly approved a new North American trade deal on Thursday that includes tougher labor and automotive content rules but leaves $1.2 trillion in annual U.S.-Mexico-Canada trade flows largely unchanged.,https://www.nytimes.com/reuters/2019/12/19/business/19reuters-usa-trade-usmca.html,The U.S. House of Representatives overwhelmingly approved a new North American trade deal on Thursday that includes tougher labor and automotive content rules but leaves $1.2 trillion in annual U.S.-Mexico-Canada trade flows largely unchanged.,WASHINGTON — The U.S. House of Representatives overwhelmingly approved a new North American trade deal on Thursday that includes tougher labor and automotive content rules but leaves $1.2 trillion in annual U.S.-Mexico-Canada trade flows largely unchanged.,Reuters,[],[],2019-12-19T22:58:20+0000,article,None,Business Day,News,nyt://article/408894c1-9c66-52f5-abfe-193a8fe6dfb5,850,nyt://article/408894c1-9c66-52f5-abfe-193a8fe6dfb5,"U.S. House Passes New North American Trade Deal, Senate Timing Unclear",,,"U.S. House Passes New North American Trade Deal, Senate Timing Unclear",,,,By Reuters,[],Reuters,
8,Australia's biggest lenders are bracing for another year of pain as the fallout from a string of scandals shows no sign of letting up following a blistering public inquiry into financial sector misconduct.,https://www.nytimes.com/reuters/2019/12/19/business/19reuters-australia-banks-year.html,Australia's biggest lenders are bracing for another year of pain as the fallout from a string of scandals shows no sign of letting up following a blistering public inquiry into financial sector misconduct.,SYDNEY — Australia's biggest lenders are bracing for another year of pain as the fallout from a string of scandals shows no sign of letting up following a blistering public inquiry into financial sector misconduct.,Reuters,[],[],2019-12-19T22:58:18+0000,article,None,Business Day,News,nyt://article/6a97ceb6-0298-5670-b8f4-1ee8360522b4,635,nyt://article/6a97ceb6-0298-5670-b8f4-1ee8360522b4,Bad to Worse: Pain Not Over for Australia's Beleaguered Banks,,,Bad to Worse: Pain Not Over for Australia's Beleaguered Banks,,,,By Reuters,[],Reuters,
9,"Apple Inc executives met James Bond franchise-owner MGM Holdings Inc and the collegiate athletic conference Pac-12 earlier this year as part of its efforts to boost the Apple TV service, the Wall Street Journal reported https://on.wsj.com/2PEGhH7 on Thursday.",https://www.nytimes.com/reuters/2019/12/19/business/19reuters-apple-mgm-holdings.html,"Apple Inc executives met James Bond franchise-owner MGM Holdings Inc and the collegiate athletic conference Pac-12 earlier this year as part of its efforts to boost the Apple TV service, the Wall Street Journal reported https://on.wsj.com/2PEGhH7 ...","(Reuters) - Apple Inc executives met James Bond franchise-owner MGM Holdings Inc and the collegiate athletic conference Pac-12 earlier this year as part of its efforts to boost the Apple TV service, the Wall Street Journal reported https://on.wsj.com/2PEGhH7 on Thursday.",Reuters,[],[],2019-12-19T22:58:13+0000,article,None,Business Day,News,nyt://article/d4a238df-2d65-5c69-b3d6-6e687f7911b1,129,nyt://article/d4a238df-2d65-5c69-b3d6-6e687f7911b1,"Apple Held Talks to Add James Bond, Live Sports to Streaming Service: WSJ",,,"Apple Held Talks to Add James Bond, Live Sports to Streaming Service: WSJ",,,,By Reuters,[],Reuters,
